BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    836.5   mb     COEFFICIENT   -0.72     % / mb
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    110.56      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BAKSAN     061213 300  063500-064000   00     110.29  837.9    111.43     0.80    -9999
BAKSAN     061213 300  064000-064500   00     110.67  837.9    111.82     1.14    -9999
BAKSAN     061213 300  064500-065000   00     109.70  837.9    110.82     0.24    -9999
BAKSAN     061213 300  065000-065500   00     111.87  837.9    113.02     2.23    -9999
BAKSAN     061213 300  065500-070000   00     109.88  837.9    111.00     0.40    -9999
BAKSAN     061213 300  070000-070500   00     109.47  837.9    110.58     0.02    -9999
BAKSAN     061213 300  070500-071000   00     110.08  837.9    111.20     0.58    -9999
BAKSAN     061213 300  071000-071500   00     109.95  837.9    111.06     0.45    -9999
BAKSAN     061213 300  071500-072000   00     111.32  837.9    112.44     1.71    -9999
BAKSAN     061213 300  072000-072500   00     109.01  837.9    110.11    -0.41    -9999
BAKSAN     061213 300  072500-073000   00     111.42  837.9    112.55     1.80    -9999
BAKSAN     061213 300  073000-073500   00     110.57  837.9    111.69     1.03    -9999
BAKSAN     061213 300  073500-074000   00     109.89  837.9    111.00     0.40    -9999
BAKSAN     061213 300  074000-074500   00     110.35  837.9    111.47     0.83    -9999
BAKSAN     061213 300  074500-075000   00     110.33  837.9    111.44     0.80    -9999
BAKSAN     061213 300  075000-075500   00     108.93  837.9    110.03    -0.47    -9999
BAKSAN     061213 300  075500-080000   00     112.01  837.9    113.14     2.34    -9999
BAKSAN     061213 3600 080000-090000   00    -999.00 -999.0    110.97     0.40    -9999
BAKSAN     061213 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
BAKSAN     061213 3600 100000-110000   00    -999.00 -999.0    111.62     1.00    -9999
BAKSAN     061213 3600 110000-120000   00     110.33  837.4    111.05     0.44    -9999
BAKSAN     061213 3600 120000-130000   00     109.83  838.1    111.10     0.49    -9999
BAKSAN     061213 3600 130000-140000   00     108.87  838.7    110.61     0.05    -9999
BAKSAN     061213 3600 140000-150000   00     108.69  839.0    110.66     0.09    -9999
BAKSAN     061213 3600 150000-160000   00     108.25  839.2    110.37    -0.17    -9999
BAKSAN     061213 3600 160000-170000   00     108.07  839.3    110.27    -0.26    -9999
BAKSAN     061213 3600 170000-180000   00     108.80  839.3    111.02     0.42    -9999
BAKSAN     061213 3600 180000-190000   00     108.14  839.3    110.35    -0.19    -9999
BAKSAN     061213 3600 190000-200000   00     107.94  839.3    110.14    -0.38    -9999
BAKSAN     061213 3600 200000-210000   00     107.69  839.4    109.96    -0.54    -9999
BAKSAN     061213 3600 210000-220000   00     107.54  839.2    109.65    -0.82    -9999
BAKSAN     061213 3600 220000-230000   00     108.20  839.1    110.25    -0.28    -9999
BAKSAN     061213 3600 230000-240000   00     108.21  839.0    110.18    -0.34    -9999
*
Comment: The Clock of Regisrator is fast on + 0 sec;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070BKSN.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
