ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18-NM-64  NEUTRON MONITOR
ALMA-ATA-B STANDARD PRESSURE    679.3   MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,138.36      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    60          3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 000714 60   085400-085500   00    1130.13  678.9   1127.21    -1.00    -9999
ALMA-ATA-B 000714 60   085500-085600   00    1141.60  678.9   1138.71     0.00    -9999
ALMA-ATA-B 000714 60   085600-085700   00    1136.93  679.0   1134.12    -0.40    -9999
ALMA-ATA-B 000714 60   085700-085800   00    1125.33  679.0   1122.61    -1.40    -9999
ALMA-ATA-B 000714 60   085800-085900   00    1142.00  679.0   1139.30     0.10    -9999
ALMA-ATA-B 000714 60   085900-090000   00    1119.20  679.0   1116.62    -1.90    -9999
ALMA-ATA-B 000714 60   090000-090100   00    1124.67  679.1   1123.35    -1.30    -9999
ALMA-ATA-B 000714 60   090100-090200   00    1129.20  679.1   1127.95    -0.90    -9999
ALMA-ATA-B 000714 60   090200-090300   00    1150.53  679.2   1149.33     1.00    -9999
ALMA-ATA-B 000714 60   090300-090400   00    1136.13  679.2   1135.01    -0.30    -9999
ALMA-ATA-B 000714 60   090400-090500   00    1127.87  679.2   1126.81    -1.00    -9999
ALMA-ATA-B 000714 60   090500-090600   00    1142.00  679.2   1141.00     0.20    -9999
ALMA-ATA-B 000714 60   090600-090700   00    1140.80  679.2   1139.86     0.10    -9999
ALMA-ATA-B 000714 60   090700-090800   00    1117.20  679.2   1116.34    -1.90    -9999
ALMA-ATA-B 000714 60   090800-090900   00    1121.07  679.2   1120.26    -1.60    -9999
ALMA-ATA-B 000714 60   090900-091000   00    1153.60  679.2   1152.82     1.30    -9999
ALMA-ATA-B 000714 60   091000-091100   00    1156.93  679.2   1156.21     1.60    -9999
ALMA-ATA-B 000714 60   091100-091200   00    1155.73  679.2   1155.06     1.50    -9999
ALMA-ATA-B 000714 60   091200-091300   00    1122.53  679.2   1121.93    -1.40    -9999
ALMA-ATA-B 000714 60   091300-091400   00    1134.93  679.2   1134.37    -0.40    -9999
ALMA-ATA-B 000714 60   091400-091500   00    1132.67  679.2   1132.15    -0.50    -9999
ALMA-ATA-B 000714 60   091500-091600   00    1148.00  679.2   1147.52     0.80    -9999
ALMA-ATA-B 000714 60   091600-091700   00    1142.93  679.2   1142.50     0.40    -9999
ALMA-ATA-B 000714 60   091700-091800   00    1140.53  679.3   1140.14     0.20    -9999
ALMA-ATA-B 000714 60   091800-091900   00    1127.47  679.3   1127.12    -1.00    -9999
ALMA-ATA-B 000714 60   091900-092000   00    1153.73  679.3   1153.42     1.30    -9999
