THULE      LATITUDE    76.58     LONGITUDE     291.58    ALTITUDE    260 M
THULE      INSTRUMENT   IGY     NEUTRON MONITOR                           
THULE      STANDARD PRESSURE    754     MMHG   COEFFICIENT   -0.99     % / MMHG
THULE      PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    104.19      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
THULE      000714 300  173000-173500   00     113.69  750.0    109.33     4.90     4.94
THULE      000714 300  173500-174000   00     112.40  750.0    108.09     3.70     3.74
THULE      000714 300  174000-174500   00     113.26  750.1    108.94     4.50     4.53
THULE      000714 300  174500-175000   00     111.12  750.2    106.96     2.70     2.73
THULE      000714 300  175000-175500   00     110.68  750.2    106.55     2.20     2.23
THULE      000714 300  175500-180000   00     109.83  750.2    105.72     1.50     1.53
THULE      000714 300  180000-180500   00     111.54  750.2    107.37     3.00     3.03
THULE      000714 300  180500-181000   00     111.54  750.2    107.37     3.00     3.03
THULE      000714 300  181000-181500   00     108.97  750.2    104.90     0.70     0.73
THULE      000714 300  181500-182000   00     114.12  750.2    109.85     5.40     5.43
THULE      000714 300  182000-182500   00     110.68  750.3    106.65     2.40     2.43
THULE      000714 300  182500-183000   00     112.83  750.3    108.72     4.40     4.43
THULE      000714 300  183000-183500   00     111.54  750.3    107.48     3.20     3.22
THULE      000714 300  183500-184000   00     111.97  750.4    107.98     3.70     3.72
THULE      000714 300  184000-184500   00     110.68  750.4    106.76     2.50     2.52
THULE      000714 300  184500-185000   00     112.40  750.4    108.41     4.10     4.12
THULE      000714 300  185000-185500   00     111.11  750.5    107.24     2.90     2.92
THULE      000714 300  185500-190000   00     110.68  750.5    106.86     2.60     2.62
THULE      000714 300  190000-190500   00     109.40  750.5    105.62     1.40     1.42
THULE      000714 300  190500-191000   00     109.40  750.5    105.70     1.50     1.52
THULE      000714 300  191000-191500   00     109.40  750.5    105.72     1.50     1.51
THULE      000714 300  191500-192000   00     110.68  750.5    106.97     2.70     2.71
THULE      000714 300  192000-192500   00     109.40  750.6    105.79     1.60     1.61
THULE      000714 300  192500-193000   00     111.97  750.7    108.32     4.00     4.01
THULE      000714 300  193000-193500   00     109.83  750.7    106.27     2.00     2.01
THULE      000714 300  193500-194000   00     110.26  750.8    106.76     2.50     2.51
THULE      000714 300  194000-194500   00     108.97  750.8    105.52     1.30     1.30
THULE      000714 300  194500-195000   00     112.83  750.8    109.26     4.90     4.90
THULE      000714 300  195000-195500   00     110.68  750.8    107.18     2.90     2.90
THULE      000714 300  195500-200000   00     111.11  750.8    107.59     3.30     3.30
THULE      000714 300  200000-200500   00     110.26  750.9    106.83     2.60     2.60
THULE      000714 300  200500-201000   00     108.97  750.9    105.62     1.40     1.40
THULE      000714 300  201000-201500   00     110.68  750.9    107.29     3.00     2.99
THULE      000714 300  201500-202000   00     109.40  750.9    106.04     1.80     1.79
THULE      000714 300  202000-202500   00     112.40  751.0    109.06     4.70     4.69
THULE      000714 300  202500-203000   00     110.26  751.0    106.97     2.70     2.69
THULE      000714 300  203000-203500   00     109.40  751.0    106.14     1.90     1.88
