OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.74     % / mb
OULU       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE    106.54      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OULU       120517 300  042500-043000   00      98.79 1010.3    106.84     0.30     0.09
OULU       120517 300  043000-043500   00      99.05 1010.2    107.06     0.50     0.28
OULU       120517 300  043500-044000   00      99.51 1010.4    107.70     1.10     0.87
OULU       120517 300  044000-044500   00     100.30 1010.3    108.44     1.80     1.56
OULU       120517 300  044500-045000   00      99.39 1010.1    107.28     0.70     0.45
OULU       120517 300  045000-045500   00      99.16 1009.9    106.90     0.30     0.04
OULU       120517 300  045500-050000   00      99.96 1009.9    107.74     1.10     0.83
OULU       120517 300  050000-050500   00      98.62 1010.0    106.39    -0.10    -0.38
OULU       120517 300  050500-051000   00      99.71 1010.1    107.68     1.10     0.81
OULU       120517 300  051000-051500   00      97.24 1010.3    105.16    -1.30    -1.60
OULU       120517 300  051500-052000   00      98.45 1010.3    106.48    -0.10    -0.41
OULU       120517 300  052000-052500   00      99.14 1010.2    107.10     0.50     0.18
OULU       120517 300  052500-053000   00      99.77 1010.1    107.74     1.10     0.77
OULU       120517 300  053000-053500   00      97.99 1010.0    105.72    -0.80    -1.14
OULU       120517 300  053500-054000   00     100.93 1009.9    108.79     2.10     1.75
OULU       120517 300  054000-054500   00      99.82 1009.8    107.50     0.90     0.54
OULU       120517 300  054500-055000   00      99.10 1009.7    106.70     0.20    -0.18
OULU       120517 300  055000-055500   00     100.23 1009.7    107.93     1.30     0.91
OULU       120517 300  055500-060000   00      98.59 1009.7    106.11    -0.40    -0.80
OULU       120517 300  060000-060500   00     100.09 1009.6    107.68     1.10     0.69
OULU       120517 300  060500-061000   00      99.34 1009.4    106.71     0.20    -0.22
OULU       120517 300  061000-061500   00      99.77 1009.3    107.06     0.50     0.07
OULU       120517 300  061500-062000   00      99.49 1008.8    106.42    -0.10    -0.55
OULU       120517 300  062000-062500   00     100.95 1008.7    107.89     1.30     0.84
OULU       120517 300  062500-063000   00     101.34 1008.6    108.23     1.60     1.13
OULU       120517 300  063000-063500   00     101.06 1008.5    107.83     1.20     0.72
OULU       120517 300  063500-064000   00      99.66 1008.3    106.16    -0.40    -0.90
OULU       120517 300  064000-064500   00     101.95 1008.0    108.34     1.70     1.19
OULU       120517 300  064500-065000   00     100.51 1007.8    106.66     0.10    -0.42
OULU       120517 300  065000-065500   00     101.37 1007.6    107.41     0.80     0.26
OULU       120517 300  065500-070000   00     100.24 1007.5    106.13    -0.40    -0.95
OULU       120517 300  070000-070500   00     102.72 1007.3    108.59     1.90     1.34
OULU       120517 300  070500-071000   00     103.19 1006.9    108.84     2.20     1.62
OULU       120517 300  071000-071500   00     100.91 1006.8    106.36    -0.20    -0.79
OULU       120517 300  071500-072000   00     101.23 1006.7    106.60     0.10    -0.51
OULU       120517 300  072000-072500   00     102.17 1006.6    107.52     0.90     0.28
OULU       120517 300  072500-073000   00      99.46 1006.6    104.64    -1.80    -2.43
OULU       120517 300  073000-073500   00     101.78 1006.6    107.06     0.50    -0.15
OULU       120517 300  073500-074000   00     101.58 1006.6    106.87     0.30    -0.36
OULU       120517 300  074000-074500   00     101.02 1006.8    106.45    -0.10    -0.78
OULU       120517 300  074500-075000   00     100.77 1006.8    106.15    -0.40    -1.09
OULU       120517 300  075000-075500   00     101.48 1006.6    106.75     0.20    -0.51
OULU       120517 300  075500-080000   00     102.41 1006.5    107.70     1.10     0.37
OULU       120517 300  080000-080500   00     101.86 1006.4    107.02     0.50    -0.24
OULU       120517 300  080500-081000   00     101.58 1006.3    106.61     0.10    -9999
OULU       120517 300  081000-081500   00     102.71 1006.1    107.69     1.10    -9999
OULU       120517 300  081500-082000   00     101.70 1006.2    106.70     0.20    -9999
OULU       120517 300  082000-082500   00     101.19 1006.2    106.14    -0.40    -9999
OULU       120517 300  082500-083000   00     103.50 1006.1    108.49     1.80    -9999
OULU       120517 300  083000-083500   00     102.49 1006.1    107.44     0.80    -9999
OULU       120517 300  083500-084000   00     101.69 1006.1    106.56     0.00    -9999
OULU       120517 300  084000-084500   00     101.54 1006.1    106.44    -0.10    -9999
OULU       120517 300  084500-085000   00     102.90 1006.0    107.81     1.20    -9999
OULU       120517 300  085000-085500   00     104.47 1006.0    109.44     2.70    -9999
OULU       120517 300  085500-090000   00     103.11 1005.9    107.89     1.30    -9999
OULU       120517 300  090000-090500   00     103.62 1005.8    108.37     1.70    -9999
OULU       120517 300  090500-091000   00     101.89 1005.7    106.50     0.00    -9999
OULU       120517 300  091000-091500   00     105.14 1005.6    109.82     3.10    -9999
OULU       120517 300  091500-092000   00     103.14 1005.6    107.70     1.10    -9999
OULU       120517 300  092000-092500   00     103.16 1005.5    107.69     1.10    -9999
OULU       120517 300  092500-093000   00     102.43 1005.5    106.88     0.30    -9999
OULU       120517 300  093000-093500   00     103.33 1005.4    107.77     1.20    -9999
OULU       120517 300  093500-094000   00     103.17 1005.4    107.56     1.00    -9999
OULU       120517 300  094000-094500   00     103.57 1005.3    107.94     1.30    -9999
OULU       120517 300  094500-095000   00     103.25 1005.3    107.61     1.00    -9999
OULU       120517 300  095000-095500   00     102.93 1005.3    107.22     0.60    -9999
OULU       120517 300  095500-100000   00     102.46 1005.2    106.68     0.10    -9999
OULU       120517 300  100000-100500   00     103.64 1005.2    107.92     1.30    -9999
OULU       120517 300  100500-101000   00     103.06 1005.1    107.24     0.70    -9999
OULU       120517 300  101000-101500   00     103.10 1005.1    107.25     0.70    -9999
OULU       120517 300  101500-102000   00     103.50 1005.0    107.62     1.00    -9999
OULU       120517 300  102000-102500   00     103.80 1005.0    107.89     1.30    -9999
OULU       120517 300  102500-103000   00     104.12 1004.9    108.14     1.50    -9999
OULU       120517 300  103000-103500   00     105.29 1004.8    109.30     2.60    -9999
OULU       120517 300  103500-104000   00     105.07 1004.7    109.02     2.30    -9999
OULU       120517 300  104000-104500   00     104.17 1004.7    108.08     1.40    -9999
OULU       120517 300  104500-105000   00     103.72 1004.6    107.52     0.90    -9999
OULU       120517 300  105000-105500   00     105.66 1004.5    109.45     2.70    -9999
OULU       120517 300  105500-110000   00     104.38 1004.4    108.01     1.40    -9999
OULU       120517 300  110000-110500   00     105.83 1004.2    109.40     2.70    -9999
OULU       120517 300  110500-111000   00     104.44 1004.1    107.87     1.20    -9999
OULU       120517 300  111000-111500   00     103.31 1004.0    106.64     0.10    -9999
OULU       120517 300  111500-112000   00     105.26 1003.9    108.56     1.90    -9999
OULU       120517 300  112000-112500   00     105.29 1003.8    108.52     1.90    -9999
OULU       120517 300  112500-113000   00     104.00 1003.8    107.17     0.60    -9999
OULU       120517 300  113000-113500   00     105.37 1003.7    108.53     1.90    -9999
OULU       120517 300  113500-114000   00     104.70 1003.7    107.81     1.20    -9999
OULU       120517 300  114000-114500   00     104.88 1003.6    107.92     1.30    -9999
OULU       120517 300  114500-115000   00     104.85 1003.5    107.84     1.20    -9999
OULU       120517 300  115000-115500   00     106.21 1003.5    109.20     2.50    -9999
OULU       120517 300  115500-120000   00     105.01 1003.4    107.91     1.30    -9999
OULU       120517 300  120000-120500   00     105.47 1003.4    108.39     1.70    -9999
OULU       120517 300  120500-121000   00     105.78 1003.4    108.71     2.00    -9999
OULU       120517 300  121000-121500   00     103.56 1003.5    106.46    -0.10    -9999
OULU       120517 300  121500-122000   00     105.85 1003.5    108.80     2.10    -9999
OULU       120517 300  122000-122500   00     103.48 1003.4    106.35    -0.20    -9999
OULU       120517 300  122500-123000   00     105.33 1003.4    108.21     1.60    -9999
OULU       120517 300  123000-123500   00     104.08 1003.3    106.87     0.30    -9999
OULU       120517 300  123500-124000   00     105.46 1003.3    108.26     1.60    -9999
OULU       120517 300  124000-124500   00     106.37 1003.3    109.18     2.50    -9999
OULU       120517 300  124500-125000   00     103.96 1003.2    106.68     0.10    -9999
OULU       120517 300  125000-125500   00     104.13 1003.2    106.81     0.30    -9999
OULU       120517 300  125500-130000   00     105.47 1003.1    108.14     1.50    -9999
OULU       120517 300  130000-130500   00     106.62 1003.1    109.30     2.60    -9999
OULU       120517 300  130500-131000   00     105.50 1003.0    108.09     1.50    -9999
OULU       120517 300  131000-131500   00     105.18 1003.0    107.73     1.10    -9999
OULU       120517 300  131500-132000   00     106.56 1002.9    109.11     2.40    -9999
OULU       120517 300  132000-132500   00     104.43 1002.9    106.91     0.30    -9999
OULU       120517 300  132500-133000   00     105.06 1002.9    107.52     0.90    -9999
OULU       120517 300  133000-133500   00     104.98 1002.9    107.45     0.90    -9999
OULU       120517 300  133500-134000   00     104.24 1002.9    106.70     0.20    -9999
OULU       120517 300  134000-134500   00     104.93 1003.0    107.46     0.90    -9999
OULU       120517 300  134500-135000   00     106.24 1003.0    108.79     2.10    -9999
OULU       120517 300  135000-135500   00     104.23 1003.0    106.78     0.20    -9999
OULU       120517 300  135500-140000   00     105.62 1003.1    108.31     1.70    -9999
OULU       120517 300  140000-140500   00     105.13 1003.4    107.99     1.40    -9999
OULU       120517 300  140500-141000   00     104.48 1003.4    107.34     0.80    -9999
OULU       120517 300  141000-141500   00     104.06 1003.5    107.01     0.40    -9999
OULU       120517 300  141500-142000   00     103.82 1003.6    106.86     0.30    -9999
OULU       120517 300  142000-142500   00     103.69 1003.6    106.67     0.10    -9999
OULU       120517 300  142500-143000   00     104.47 1003.4    107.31     0.70    -9999
OULU       120517 300  143000-143500   00     102.93 1003.4    105.77    -0.70    -9999
OULU       120517 300  143500-144000   00     101.38 1003.4    104.13    -2.30    -9999
OULU       120517 300  144000-144500   00     104.41 1003.3    107.16     0.60    -9999
OULU       120517 300  144500-145000   00     104.03 1003.1    106.66     0.10    -9999
OULU       120517 300  145000-145500   00     103.98 1003.0    106.53     0.00    -9999
OULU       120517 300  145500-150000   00     103.25 1003.0    105.77    -0.70    -9999
OULU       120517 300  150000-150500   00     102.32 1003.0    104.83    -1.60    -9999
OULU       120517 300  150500-151000   00     104.73 1003.0    107.25     0.70    -9999
OULU       120517 300  151000-151500   00     105.17 1002.9    107.69     1.10    -9999
OULU       120517 300  151500-152000   00     103.64 1002.9    106.11    -0.40    -9999
OULU       120517 300  152000-152500   00     105.07 1002.9    107.57     1.00    -9999
OULU       120517 300  152500-153000   00     102.55 1002.8    104.88    -1.60    -9999
OULU       120517 300  153000-153500   00     105.20 1002.6    107.45     0.90    -9999
OULU       120517 300  153500-154000   00     104.60 1002.5    106.78     0.20    -9999
OULU       120517 300  154000-154500   00     103.36 1002.5    105.51    -1.00    -9999
OULU       120517 300  154500-155000   00     104.14 1002.6    106.34    -0.20    -9999
OULU       120517 300  155000-155500   00     103.42 1002.6    105.59    -0.90    -9999
OULU       120517 300  155500-160000   00     102.37 1002.6    104.55    -1.90    -9999
OULU       120517 300  160000-160500   00     105.93 1002.5    108.15     1.50    -9999
OULU       120517 300  160500-161000   00     103.38 1002.6    105.57    -0.90    -9999
OULU       120517 300  161000-161500   00     104.32 1002.7    106.60     0.10    -9999
OULU       120517 300  161500-162000   00     104.17 1002.7    106.44    -0.10    -9999
OULU       120517 300  162000-162500   00     103.73 1002.7    106.03    -0.50    -9999
OULU       120517 300  162500-163000   00     104.39 1002.8    106.73     0.20    -9999
OULU       120517 300  163000-163500   00     103.35 1002.7    105.65    -0.80    -9999
OULU       120517 300  163500-164000   00     104.36 1002.7    106.67     0.10    -9999
OULU       120517 300  164000-164500   00     102.55 1002.7    104.80    -1.60    -9999
OULU       120517 300  164500-165000   00     103.26 1002.7    105.54    -0.90    -9999
OULU       120517 300  165000-165500   00     103.99 1002.7    106.26    -0.30    -9999
OULU       120517 300  165500-170000   00     103.24 1002.7    105.50    -1.00    -9999
OULU       120517 300  170000-170500   00     105.09 1002.7    107.39     0.80    -9999
OULU       120517 300  170500-171000   00     104.50 1002.6    106.77     0.20    -9999
OULU       120517 300  171000-171500   00     104.54 1002.6    106.78     0.20    -9999
OULU       120517 300  171500-172000   00     102.80 1002.6    105.00    -1.40    -9999
OULU       120517 300  172000-172500   00     103.49 1002.8    105.82    -0.70    -9999
OULU       120517 300  172500-173000   00     104.25 1003.0    106.80     0.20    -9999
OULU       120517 300  173000-173500   00     103.48 1003.4    106.29    -0.20    -9999
OULU       120517 300  173500-174000   00     102.31 1003.3    105.04    -1.40    -9999
OULU       120517 300  174000-174500   00     102.01 1003.4    104.83    -1.60    -9999
OULU       120517 300  174500-175000   00     102.81 1003.4    105.64    -0.80    -9999
OULU       120517 300  175000-175500   00     103.39 1003.6    106.38    -0.20    -9999
OULU       120517 300  175500-180000   00     102.18 1003.7    105.17    -1.30    -9999
OULU       120517 300  180000-180500   00     103.81 1003.7    106.86     0.30    -9999
OULU       120517 300  180500-181000   00     105.52 1003.7    108.65     2.00    -9999
OULU       120517 300  181000-181500   00     104.02 1003.7    107.14     0.60    -9999
OULU       120517 300  181500-182000   00     104.17 1003.7    107.26     0.70    -9999
OULU       120517 300  182000-182500   00     103.66 1003.7    106.73     0.20    -9999
OULU       120517 300  182500-183000   00     103.93 1003.7    107.00     0.40    -9999
OULU       120517 300  183000-183500   00     104.74 1003.6    107.76     1.10    -9999
OULU       120517 300  183500-184000   00     103.73 1003.5    106.68     0.10    -9999
OULU       120517 300  184000-184500   00     103.18 1003.5    106.12    -0.40    -9999
OULU       120517 300  184500-185000   00     102.61 1003.6    105.61    -0.90    -9999
OULU       120517 300  185000-185500   00     104.24 1003.7    107.34     0.80    -9999
OULU       120517 300  185500-190000   00     104.29 1003.7    107.35     0.80    -9999
OULU       120517 300  190000-190500   00     102.67 1003.6    105.64    -0.80    -9999
OULU       120517 300  190500-191000   00     103.06 1003.6    106.00    -0.50    -9999
OULU       120517 300  191000-191500   00     103.07 1003.5    105.94    -0.60    -9999
OULU       120517 300  191500-192000   00     102.57 1003.5    105.42    -1.10    -9999
OULU       120517 300  192000-192500   00     102.73 1003.4    105.57    -0.90    -9999
OULU       120517 300  192500-193000   00     103.74 1003.5    106.69     0.10    -9999
OULU       120517 300  193000-193500   00     103.19 1003.6    106.15    -0.40    -9999
OULU       120517 300  193500-194000   00     102.47 1003.5    105.39    -1.10    -9999
OULU       120517 300  194000-194500   00     103.64 1003.6    106.61     0.10    -9999
OULU       120517 300  194500-195000   00     102.26 1003.6    105.21    -1.20    -9999
OULU       120517 300  195000-195500   00     101.07 1003.6    103.97    -2.40    -9999
OULU       120517 300  195500-200000   00     102.71 1003.6    105.71    -0.80    -9999
OULU       120517 300  200000-200500   00     103.47 1003.6    106.48    -0.10    -9999
OULU       120517 300  200500-201000   00     102.96 1003.6    105.95    -0.60    -9999
OULU       120517 300  201000-201500   00     102.07 1003.6    104.99    -1.50    -9999
OULU       120517 300  201500-202000   00     103.93 1003.6    106.97     0.40    -9999
OULU       120517 300  202000-202500   00     104.03 1003.6    107.08     0.50    -9999
OULU       120517 300  202500-203000   00     102.80 1003.7    105.86    -0.60    -9999
OULU       120517 300  203000-203500   00     103.42 1003.8    106.56     0.00    -9999
OULU       120517 300  203500-204000   00     101.64 1003.7    104.67    -1.80    -9999
OULU       120517 300  204000-204500   00     101.31 1003.6    104.25    -2.10    -9999
OULU       120517 300  204500-205000   00     102.68 1003.7    105.69    -0.80    -9999
OULU       120517 300  205000-205500   00     103.21 1003.7    106.25    -0.30    -9999
OULU       120517 300  205500-210000   00     102.39 1003.7    105.44    -1.00    -9999
OULU       120517 300  210000-210500   00     102.26 1004.0    105.52    -1.00    -9999
OULU       120517 300  210500-211000   00     101.84 1004.2    105.26    -1.20    -9999
OULU       120517 300  211000-211500   00     102.22 1004.0    105.52    -1.00    -9999
OULU       120517 300  211500-212000   00     101.92 1003.6    104.90    -1.50    -9999
OULU       120517 300  212000-212500   00     103.47 1003.5    106.39    -0.10    -9999
OULU       120517 300  212500-213000   00     101.51 1003.5    104.37    -2.00    -9999
OULU       120517 300  213000-213500   00     101.48 1003.5    104.36    -2.00    -9999
OULU       120517 300  213500-214000   00     102.31 1003.4    105.11    -1.30    -9999
OULU       120517 300  214000-214500   00     104.50 1003.3    107.28     0.70    -9999
OULU       120517 300  214500-215000   00     103.46 1003.2    106.12    -0.40    -9999
OULU       120517 300  215000-215500   00     103.07 1003.1    105.63    -0.90    -9999
OULU       120517 300  215500-220000   00     102.91 1002.9    105.33    -1.10    -9999
OULU       120517 300  220000-220500   00     103.18 1002.8    105.52    -1.00    -9999
OULU       120517 300  220500-221000   00     103.83 1002.6    106.07    -0.40    -9999
OULU       120517 300  221000-221500   00     102.52 1002.6    104.71    -1.70    -9999
OULU       120517 300  221500-222000   00     102.42 1002.5    104.56    -1.90    -9999
OULU       120517 300  222000-222500   00     101.89 1002.4    103.90    -2.50    -9999
OULU       120517 300  222500-223000   00     102.10 1002.5    104.19    -2.20    -9999
OULU       120517 300  223000-223500   00     104.24 1002.5    106.40    -0.10    -9999
OULU       120517 300  223500-224000   00     102.96 1002.4    104.98    -1.50    -9999
OULU       120517 300  224000-224500   00     102.59 1002.3    104.54    -1.90    -9999
OULU       120517 300  224500-225000   00     103.41 1002.3    105.39    -1.10    -9999
OULU       120517 300  225000-225500   00     104.25 1002.2    106.17    -0.30    -9999
OULU       120517 300  225500-230000   00     102.27 1002.3    104.25    -2.10    -9999
OULU       120517 300  230000-230500   00     104.18 1002.2    106.13    -0.40    -9999
