EREVAN     LATITUDE    40.5      LONGITUDE     44.17     ALTITUDE    2000 M
EREVAN     INSTRUMENT   18NM64    NEUTRON MONITOR     
EREVAN     STANDARD PRESSURE    792.8   mb     COEFFICIENT   -0.71     % / mb
EREVAN     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
EREVAN     PRE-INCREASE AVERAGE COUNTING RATE     22.79      COUNTS PER SECOND
EREVAN     TIME INTERVALS    300         3600     
EREVAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
EREVAN     031028 300  163000-163500   00      22.93  790.6     22.58    -0.90    -9999
EREVAN     031028 300  163500-164000   00      22.83  790.6     22.47    -1.40    -9999
EREVAN     031028 300  164000-164500   00      22.87  790.5     22.50    -1.30    -9999
EREVAN     031028 300  164500-165000   00      22.95  790.5     22.57    -0.90    -9999
EREVAN     031028 300  165000-165500   00      23.05  790.5     22.67    -0.50    -9999
EREVAN     031028 300  165500-170000   00      22.91  790.4     22.53    -1.20    -9999
EREVAN     031028 300  170000-170500   00      23.02  790.4     22.63    -0.70    -9999
EREVAN     031028 300  170500-171000   00      23.06  790.4     22.67    -0.50    -9999
EREVAN     031028 300  171000-171500   00      23.05  790.3     22.65    -0.60    -9999
EREVAN     031028 300  171500-172000   00      23.14  790.3     22.74    -0.20    -9999
EREVAN     031028 300  172000-172500   00      23.10  790.3     22.69    -0.40    -9999
EREVAN     031028 300  172500-173000   00      23.09  790.3     22.68    -0.50    -9999
EREVAN     031028 300  173000-173500   00      23.10  790.2     22.69    -0.40    -9999
EREVAN     031028 300  173500-174000   00      23.10  790.2     22.68    -0.50    -9999
EREVAN     031028 300  174000-174500   00      22.95  790.2     22.53    -1.20    -9999
EREVAN     031028 300  174500-175000   00      23.03  790.2     22.60    -0.80    -9999
EREVAN     031028 300  175000-175500   00      23.01  790.1     22.58    -0.90    -9999
EREVAN     031028 300  175500-180000   00      23.09  790.1     22.65    -0.60    -9999
EREVAN     031028 300  180000-180500   00      23.08  790.1     22.64    -0.70    -9999
EREVAN     031028 300  180500-181000   00      23.01  790.1     22.56    -1.00    -9999
EREVAN     031028 300  181000-181500   00      23.11  790.0     22.66    -0.60    -9999
EREVAN     031028 300  181500-182000   00      23.02  790.0     22.56    -1.00    -9999
EREVAN     031028 300  182000-182500   00      23.07  790.0     22.61    -0.80    -9999
EREVAN     031028 300  182500-183000   00      22.94  789.9     22.48    -1.40    -9999
