THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    990.85  MB     COEFFICIENT   -0.74     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    122.35      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      120517 300  061000-061500   00     117.44 1010.3    121.88    -0.40    -0.40
THULE      120517 300  061500-062000   00     119.13 1010.3    123.64     1.10     1.10
THULE      120517 300  062000-062500   00     117.61 1010.3    122.07    -0.20    -0.20
THULE      120517 300  062500-063000   00     118.17 1010.3    122.65     0.20     0.20
THULE      120517 300  063000-063500   00     118.08 1010.3    122.54     0.20     0.20
THULE      120517 300  063500-064000   00     118.01 1010.3    122.48     0.10     0.10
THULE      120517 300  064000-064500   00     118.55 1010.2    123.02     0.50     0.50
THULE      120517 300  064500-065000   00     119.41 1010.2    123.91     1.30     1.30
THULE      120517 300  065000-065500   00     117.90 1010.2    122.36     0.00     0.00
THULE      120517 300  065500-070000   00     118.90 1010.2    123.37     0.80     0.80
THULE      120517 300  070000-070500   00     117.72 1010.2    122.13    -0.20    -0.20
THULE      120517 300  070500-071000   00     118.72 1010.1    123.11     0.60     0.60
THULE      120517 300  071000-071500   00     117.67 1010.1    122.01    -0.30    -0.30
THULE      120517 300  071500-072000   00     118.86 1010.1    123.24     0.70     0.70
THULE      120517 300  072000-072500   00     117.36 1010.1    121.68    -0.50    -0.50
THULE      120517 300  072500-073000   00     118.67 1010.1    123.04     0.60     0.60
THULE      120517 300  073000-073500   00     119.58 1010.1    123.97     1.30     1.30
THULE      120517 300  073500-074000   00     119.17 1010.1    123.55     1.00     1.00
THULE      120517 300  074000-074500   00     117.46 1010.1    121.76    -0.50    -0.50
THULE      120517 300  074500-075000   00     118.69 1010.1    123.03     0.60     0.60
THULE      120517 300  075000-075500   00     118.26 1010.1    122.61     0.20     0.20
THULE      120517 300  075500-080000   00     117.70 1010.1    122.02    -0.30    -0.30
