TSUMEB     LATITUDE    -19.2     LONGITUDE     17.6      ALTITUDE    1240 M
TSUMEB     INSTRUMENT   18NM64    NEUTRON MONITOR     
TSUMEB     STANDARD PRESSURE    878.5   mb     COEFFICIENT   -0.701    % / mb
TSUMEB     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
TSUMEB     PRE-INCREASE AVERAGE COUNTING RATE    290.22      COUNTS PER SECOND
TSUMEB     TIME INTERVALS    300         3600     
TSUMEB     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TSUMEB     031028 300  225000-225500   00     290.56  878.7    291.05     0.30    -9999
TSUMEB     031028 300  225500-230000   00     290.55  878.7    290.98     0.30    -9999
TSUMEB     031028 300  230000-230500   00     291.98  878.7    292.39     0.70    -9999
TSUMEB     031028 300  230500-231000   00     291.92  878.7    292.33     0.70    -9999
TSUMEB     031028 300  231000-231500   00     293.04  878.7    293.45     1.10    -9999
TSUMEB     031028 300  231500-232000   00     289.99  878.7    290.40     0.10    -9999
TSUMEB     031028 300  232000-232500   00     289.52  878.7    289.92    -0.10    -9999
TSUMEB     031028 300  232500-233000   00     292.95  878.7    293.36     1.10    -9999
TSUMEB     031028 300  233000-233500   00     289.50  878.7    289.91    -0.10    -9999
TSUMEB     031028 300  233500-234000   00     292.21  878.7    292.62     0.80    -9999
TSUMEB     031028 300  234000-234500   00     292.02  878.7    292.43     0.80    -9999
TSUMEB     031028 300  234500-235000   00     292.26  878.7    292.67     0.80    -9999
TSUMEB     031028 300  235000-235500   00     292.16  878.7    292.57     0.80    -9999
TSUMEB     031028 300  235500-240000   00     291.24  878.7    291.65     0.50    -9999
TSUMEB     031029 300  000000-000500   00     291.44  878.7    291.87     0.60    -9999
TSUMEB     031029 300  000500-001000   00     291.96  878.7    292.46     0.80    -9999
TSUMEB     031029 300  001000-001500   00     294.91  878.8    295.49     1.80    -9999
TSUMEB     031029 300  001500-002000   00     291.18  878.8    291.82     0.60    -9999
