KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18-NM-64   IQSY 18 Section Neutron Monitor	
KINGSTON   STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    204.42      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KINGSTON   061213 300  052500-053000   00     222.24 1006.2    212.13     3.80     3.80
KINGSTON   061213 300  053000-053500   00     221.24 1006.1    211.05     3.20     3.20
KINGSTON   061213 300  053500-054000   00     220.93 1006.0    210.54     3.00     3.00
KINGSTON   061213 300  054000-054500   00     221.64 1005.8    210.91     3.20     3.20
KINGSTON   061213 300  054500-055000   00     217.14 1005.6    206.41     1.00     1.00
KINGSTON   061213 300  055000-055500   00     220.28 1005.6    209.30     2.40     2.40
KINGSTON   061213 300  055500-060000   00     216.51 1005.5    205.66     0.60     0.60
KINGSTON   061213 300  060000-060500   00     224.53 1005.4    213.12     4.30     4.30
KINGSTON   061213 300  060500-061000   00     222.00 1005.4    210.59     3.00     3.00
KINGSTON   061213 300  061000-061500   00     217.58 1005.2    206.22     0.90     0.90
KINGSTON   061213 300  061500-062000   00     220.16 1005.1    208.44     2.00     2.00
KINGSTON   061213 300  062000-062500   00     221.53 1005.0    209.56     2.50     2.50
KINGSTON   061213 300  062500-063000   00     218.26 1004.9    206.34     0.90     0.90
KINGSTON   061213 300  063000-063500   00     221.94 1004.8    209.66     2.60     2.60
KINGSTON   061213 300  063500-064000   00     220.25 1004.8    208.00     1.80     1.80
KINGSTON   061213 300  064000-064500   00     220.25 1004.7    207.92     1.70     1.70
