PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1021.1  MB     COEFFICIENT   -0.74     % / MB
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    174.81      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
PEAWANUCK  010415 300  131000-131500   00     177.48 1021.6    178.17     1.90     1.71
PEAWANUCK  010415 300  131500-132000   00     174.91 1021.6    175.64     0.50     0.30
PEAWANUCK  010415 300  132000-132500   00     174.12 1021.7    174.90     0.00    -0.22
PEAWANUCK  010415 300  132500-133000   00     171.32 1021.7    172.14    -1.50    -1.73
PEAWANUCK  010415 300  133000-133500   00     175.32 1021.7    176.19     0.80     0.56
PEAWANUCK  010415 300  133500-134000   00     174.40 1021.8    175.30     0.30     0.05
PEAWANUCK  010415 300  134000-134500   00     171.74 1021.8    172.65    -1.20    -1.46
PEAWANUCK  010415 300  134500-135000   00     175.50 1021.8    176.46     0.90     0.63
PEAWANUCK  010415 300  135000-135500   00     175.27 1021.8    176.24     0.80     0.52
PEAWANUCK  010415 300  135500-140000   00     182.42 1021.8    183.43     4.90     4.61
PEAWANUCK  010415 300  140000-140500   00     267.59 1021.7    268.92    53.90    53.60
PEAWANUCK  010415 300  140500-141000   00     361.90 1021.7    363.69   108.10   107.79
PEAWANUCK  010415 300  141000-141500   00     370.87 1021.7    372.72   113.20   112.88
PEAWANUCK  010415 300  141500-142000   00     358.10 1021.7    359.88   105.90   105.56
PEAWANUCK  010415 300  142000-142500   00     361.89 1021.7    363.69   108.00   107.65
PEAWANUCK  010415 300  142500-143000   00     362.77 1021.7    364.56   108.50   108.14
PEAWANUCK  010415 300  143000-143500   00     364.17 1021.7    365.98   109.40   109.03
PEAWANUCK  010415 300  143500-144000   00     360.87 1021.7    362.66   107.50   107.12
PEAWANUCK  010415 300  144000-144500   00     349.67 1021.7    351.40   101.00   100.61
PEAWANUCK  010415 300  144500-145000   00     343.13 1021.7    344.84    97.30    96.90
PEAWANUCK  010415 300  145000-145500   00     334.43 1021.7    336.09    92.30    91.89
PEAWANUCK  010415 300  145500-150000   00     315.59 1021.7    317.15    81.40    80.98
PEAWANUCK  010415 300  150000-150500   00     312.40 1021.8    314.03    79.60    79.17
PEAWANUCK  010415 300  150500-151000   00     306.75 1021.8    308.34    76.40    75.96
PEAWANUCK  010415 300  151000-151500   00     302.57 1021.8    304.13    74.00    73.55
PEAWANUCK  010415 300  151500-152000   00     295.58 1021.8    297.10    70.00    69.53
PEAWANUCK  010415 300  152000-152500   00     292.72 1021.8    294.21    68.30    67.82
PEAWANUCK  010415 300  152500-153000   00     284.03 1021.7    285.46    63.30    62.81
PEAWANUCK  010415 300  153000-153500   00     276.36 1021.7    277.73    58.90    58.40
PEAWANUCK  010415 300  153500-154000   00     274.26 1021.7    275.59    57.60    57.09
PEAWANUCK  010415 300  154000-154500   00     265.71 1021.7    266.97    52.70    52.18
PEAWANUCK  010415 300  154500-155000   00     263.32 1021.7    264.54    51.30    50.77
PEAWANUCK  010415 300  155000-155500   00     253.41 1021.7    254.55    45.60    45.06
PEAWANUCK  010415 300  155500-160000   00     248.96 1021.7    250.05    43.00    42.45
PEAWANUCK  010415 300  160000-160500   00     246.05 1021.6    246.96    41.30    40.74
