KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.22     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   IGY     NEUTRON MONITOR
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    184.24      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  000713 300  154000-154500   00     195.07  744.8    184.80     0.30    -9999
KERGUELEN  000713 300  154500-155000   00     196.00  745.2    186.53     1.20    -9999
KERGUELEN  000713 300  155000-155500   00     194.13  745.2    184.80     0.30    -9999
KERGUELEN  000713 300  155500-160000   00     192.53  745.0    182.93    -0.70    -9999
KERGUELEN  000713 300  160000-160500   00     193.20  745.2    184.00    -0.10    -9999
KERGUELEN  000713 300  160500-161000   00     193.60  745.4    184.67     0.20    -9999
KERGUELEN  000713 300  161000-161500   00     192.13  745.2    182.93    -0.70    -9999
KERGUELEN  000713 300  161500-162000   00     194.00  745.2    184.67     0.20    -9999
KERGUELEN  000713 300  162000-162500   00     191.73  745.2    182.53    -0.90    -9999
KERGUELEN  000713 300  162500-163000   00     192.93  745.3    183.87    -0.20    -9999
KERGUELEN  000713 300  163000-163500   00     196.00  745.1    186.40     1.20    -9999
KERGUELEN  000713 300  163500-164000   00     191.60  745.1    182.13    -1.10    -9999
KERGUELEN  000713 300  164000-164500   00     192.93  745.0    183.20    -0.60    -9999
KERGUELEN  000713 300  164500-165000   00     191.87  745.1    182.40    -1.00    -9999
KERGUELEN  000713 300  165000-165500   00     191.73  744.9    181.87    -1.30    -9999
KERGUELEN  000713 300  165500-170000   00     193.47  745.0    183.73    -0.30    -9999
KERGUELEN  000713 300  170000-170500   00     190.13  745.1    180.80    -1.90    -9999
KERGUELEN  000713 300  170500-171000   00     190.93  745.1    181.47    -1.50    -9999
KERGUELEN  000713 300  171000-171500   00     190.53  745.0    180.93    -1.80    -9999
KERGUELEN  000713 300  171500-172000   00     191.47  745.2    182.27    -1.10    -9999
KERGUELEN  000713 300  172000-172500   00     192.27  745.3    183.07    -0.60    -9999
KERGUELEN  000713 300  172500-173000   00     193.07  745.4    184.13    -0.10    -9999
KERGUELEN  000713 300  173000-173500   00     191.47  745.3    182.40    -1.00    -9999
KERGUELEN  000713 300  173500-174000   00     193.33  745.3    184.13    -0.10    -9999
KERGUELEN  000713 300  174000-174500   00     189.87  745.2    180.67    -1.90    -9999
KERGUELEN  000713 300  174500-175000   00     194.00  745.2    184.53     0.20    -9999
KERGUELEN  000713 300  175000-175500   00     190.53  745.3    181.60    -1.40    -9999
KERGUELEN  000713 300  175500-180000   00     191.33  745.3    182.13    -1.10    -9999
KERGUELEN  000713 300  180000-180500   00     190.13  745.5    181.47    -1.50    -9999
KERGUELEN  000713 300  180500-181000   00     191.33  745.5    182.53    -0.90    -9999
KERGUELEN  000713 300  181000-181500   00     190.53  745.5    181.87    -1.30    -9999
KERGUELEN  000713 300  181500-182000   00     190.53  745.5    181.73    -1.40    -9999
KERGUELEN  000713 300  182000-182500   00     189.33  745.4    180.53    -2.00    -9999
KERGUELEN  000713 300  182500-183000   00     189.87  745.4    181.07    -1.70    -9999
KERGUELEN  000713 300  183000-183500   00     193.07  745.4    184.27     0.00    -9999
KERGUELEN  000713 300  183500-184000   00     189.47  745.4    180.67    -1.90    -9999
KERGUELEN  000713 300  184000-184500   00     189.20  745.3    180.40    -2.10    -9999
KERGUELEN  000713 300  184500-185000   00     189.33  745.3    180.27    -2.20    -9999
KERGUELEN  000713 300  185000-185500   00     192.80  745.3    183.60    -0.30    -9999
KERGUELEN  000713 300  185500-190000   00     190.67  745.3    181.73    -1.40    -9999
KERGUELEN  000713 300  190000-190500   00     192.40  745.4    183.47    -0.40    -9999
KERGUELEN  000713 300  190500-191000   00     190.80  745.5    182.13    -1.10    -9999
KERGUELEN  000713 300  191000-191500   00     191.60  745.3    182.53    -0.90    -9999
KERGUELEN  000713 300  191500-192000   00     188.93  745.4    180.13    -2.20    -9999
KERGUELEN  000713 300  192000-192500   00     189.47  745.4    180.67    -1.90    -9999
KERGUELEN  000713 300  192500-193000   00     192.93  745.5    184.13    -0.10    -9999
KERGUELEN  000713 300  193000-193500   00     191.73  745.5    182.93    -0.70    -9999
KERGUELEN  000713 300  193500-194000   00     188.67  745.7    180.40    -2.10    -9999
KERGUELEN  000713 300  194000-194500   00     189.47  745.7    181.20    -1.70    -9999
