INUVIK     LATITUDE    68.35     LONGITUDE     226.28    ALTITUDE    21 M
INUVIK     INSTRUMENT   18-NM-64  NEUTRON MONITOR	
INUVIK     STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    162.58      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
INUVIK     000714 60   163400-163500   00     162.17  765.6    174.80     7.50     6.16
INUVIK     000714 60   163500-163600   00     157.17  765.6    169.41     4.20     2.86
INUVIK     000714 240  163600-164000   00     160.15  765.6    172.63     6.20     4.86
INUVIK     000714 300  164000-164500   00     158.17  765.6    170.49     4.90     3.55
INUVIK     000714 300  164500-165000   00     159.50  765.6    171.92     5.70     4.34
INUVIK     000714 300  165000-165500   00     156.83  765.6    169.05     4.00     2.63
INUVIK     000714 300  165500-170000   00     157.50  765.6    169.77     4.40     3.02
INUVIK     000714 300  170000-170500   00     160.17  765.6    172.64     6.20     4.80
INUVIK     000714 300  170500-171000   00     156.83  765.6    169.05     4.00     2.59
INUVIK     000714 300  171000-171500   00     156.83  765.6    169.05     4.00     2.58
INUVIK     000714 300  171500-172000   00     157.17  765.6    169.41     4.20     2.77
INUVIK     000714 300  172000-172500   00     158.83  765.6    171.21     5.30     3.86
INUVIK     000714 300  172500-173000   00     156.17  765.6    168.33     3.50     2.05
INUVIK     000714 300  173000-173500   00     158.17  765.6    170.49     4.90     3.44
INUVIK     000714 300  173500-174000   00     158.83  765.6    171.21     5.30     3.83
INUVIK     000714 300  174000-174500   00     156.50  765.6    168.69     3.80     2.33
INUVIK     000714 300  174500-175000   00     157.83  765.6    170.13     4.60     3.12
INUVIK     000714 300  175000-175500   00     157.17  765.5    169.24     4.10     2.61
INUVIK     000714 300  175500-180000   00     157.83  765.5    169.96     4.50     3.00
INUVIK     000714 300  180000-180500   00     157.83  765.5    169.96     4.50     2.99
INUVIK     000714 300  180500-181000   00     158.50  765.5    170.68     5.00     3.48
INUVIK     000714 300  181000-181500   00     159.50  765.4    171.59     5.50     3.97
INUVIK     000714 300  181500-182000   00     158.50  765.4    170.51     4.90     3.36
INUVIK     000714 300  182000-182500   00     159.17  765.4    171.23     5.30     3.75
INUVIK     000714 300  182500-183000   00     157.17  765.4    169.08     4.00     2.44
INUVIK     000714 300  183000-183500   00     159.50  765.4    171.59     5.50     3.94
INUVIK     000714 300  183500-184000   00     156.50  765.4    168.36     3.60     2.03
INUVIK     000714 300  184000-184500   00     157.83  765.4    169.79     4.40     2.82
INUVIK     000714 300  184500-185000   00     157.17  765.5    169.24     4.10     2.51
INUVIK     000714 300  185000-185500   00     158.17  765.4    170.15     4.70     3.10
INUVIK     000714 300  185500-190000   00     156.83  765.4    168.72     3.80     2.20
INUVIK     000714 300  190000-190500   00     155.50  765.5    167.45     3.00     1.39
INUVIK     000714 300  190500-191000   00     157.83  765.4    169.79     4.40     2.78
INUVIK     000714 300  191000-191500   00     156.17  765.4    168.00     3.30     1.67
INUVIK     000714 300  191500-192000   00     157.50  765.4    169.43     4.20     2.57
INUVIK     000714 300  192000-192500   00     156.83  765.4    168.72     3.80     2.16
INUVIK     000714 300  192500-193000   00     157.17  765.3    168.91     3.90     2.25
INUVIK     000714 300  193000-193500   00     159.17  765.3    171.06     5.20     3.55
INUVIK     000714 300  193500-194000   00     159.17  765.4    171.23     5.30     3.64
INUVIK     000714 300  194000-194500   00     158.83  765.3    170.70     5.00     3.33
INUVIK     000714 300  194500-195000   00     157.50  765.3    169.27     4.10     2.43
INUVIK     000714 300  195000-195500   00     158.17  765.3    169.98     4.60     2.92
INUVIK     000714 300  195500-200000   00     157.17  765.3    168.91     3.90     2.21
INUVIK     000714 300  200000-200500   00     157.83  765.4    169.79     4.40     2.71
INUVIK     000714 300  200500-201000   00     156.83  765.3    168.55     3.70     2.00
INUVIK     000714 300  201000-201500   00     157.50  765.3    169.27     4.10     2.39
INUVIK     000714 300  201500-202000   00     156.50  765.4    168.36     3.60     1.89
INUVIK     000714 300  202000-202500   00     154.83  765.4    166.57     2.40     0.68
INUVIK     000714 300  202500-203000   00     155.83  765.3    167.48     3.00     1.28
INUVIK     000714 300  203000-203500   00     155.83  765.3    167.48     3.00     1.27
INUVIK     000714 300  203500-204000   00     157.83  765.3    169.63     4.30     2.57
INUVIK     000714 300  204000-204500   00     154.50  765.3    166.04     2.10     0.36
INUVIK     000714 300  204500-205000   00     157.50  765.3    169.27     4.10     2.36
INUVIK     000714 300  205000-205500   00     157.17  765.3    168.91     3.90     2.15
INUVIK     000714 300  205500-210000   00     155.50  765.3    167.12     2.80     1.05
INUVIK     000714 300  210000-210500   00     154.83  765.3    166.40     2.30     0.54
INUVIK     000714 300  210500-211000   00     154.83  765.4    166.57     2.40     0.64
INUVIK     000714 300  211000-211500   00     155.83  765.4    167.64     3.10     1.33
INUVIK     000714 300  211500-212000   00     155.50  765.4    167.28     2.90     1.13
INUVIK     000714 300  212000-212500   00     156.17  765.4    168.00     3.30     1.52
INUVIK     000714 300  212500-213000   00     155.17  765.4    166.92     2.70     0.92
INUVIK     000714 300  213000-213500   00     155.17  765.4    166.92     2.70     0.91
INUVIK     000714 300  213500-214000   00     156.17  765.4    168.00     3.30     1.51
INUVIK     000714 300  214000-214500   00     154.50  765.4    166.21     2.20     0.41
INUVIK     000714 300  214500-215000   00     154.17  765.4    165.85     2.00     0.20
INUVIK     000714 300  215000-215500   00     156.17  765.3    167.83     3.20     1.40
INUVIK     000714 300  215500-220000   00     156.17  765.4    168.00     3.30     1.50
INUVIK     000714 300  220000-220500   00     155.50  765.4    167.28     2.90     1.09
INUVIK     000714 300  220500-221000   00     155.17  765.3    166.76     2.60     0.79
INUVIK     000714 300  221000-221500   00     155.83  765.4    167.64     3.10     1.29
INUVIK     000714 300  221500-222000   00     157.83  765.4    169.79     4.40     2.58
INUVIK     000714 300  222000-222500   00     154.50  765.4    166.21     2.20     0.38
INUVIK     000714 300  222500-223000   00     155.50  765.4    167.28     2.90     1.08
INUVIK     000714 300  223000-223500   00     155.83  765.3    167.48     3.00     1.17
INUVIK     000714 300  223500-224000   00     156.83  765.3    168.55     3.70     1.87
INUVIK     000714 300  224000-224500   00     155.50  765.3    167.12     2.80     0.97
INUVIK     000714 300  224500-225000   00     154.50  765.1    165.72     1.90     0.07
INUVIK     000714 300  225000-225500   00     155.17  765.2    166.59     2.50     0.66
INUVIK     000714 300  225500-230000   00     155.50  765.2    166.95     2.70     0.86
INUVIK     000714 300  230000-230500   00     155.17  765.2    166.59     2.50     0.66
INUVIK     000714 300  230500-231000   00     154.50  765.1    165.72     1.90     0.06
INUVIK     000714 300  231000-231500   00     157.17  765.2    168.74     3.80     1.96
INUVIK     000714 300  231500-232000   00     153.83  765.1    165.00     1.50    -0.35
INUVIK     000714 300  232000-232500   00     155.83  765.1    167.15     2.80     0.95
INUVIK     000714 300  232500-233000   00     157.83  765.1    169.29     4.10     2.25
INUVIK     000714 300  233000-233500   00     153.83  765.1    165.00     1.50    -0.35
INUVIK     000714 300  233500-234000   00     154.17  765.1    165.36     1.70    -0.15
INUVIK     000714 300  234000-234500   00     153.17  765.0    164.12     0.90    -0.95
INUVIK     000714 300  234500-235000   00     157.17  765.0    168.41     3.60     1.75
INUVIK     000714 300  235000-235500   00     156.17  765.0    167.34     2.90     1.05
INUVIK     000714 300  235500-240000   00     153.50  765.1    164.64     1.30    -0.55
INUVIK     000715 300  000000-000500   00     153.50  765.1    164.64     1.30    -0.56
INUVIK     000715 300  000500-001000   00     154.83  765.1    166.07     2.10     0.24
INUVIK     000715 300  001000-001500   00     154.83  765.1    166.07     2.10     0.24
INUVIK     000715 300  001500-002000   00     153.50  765.1    164.64     1.30    -0.56
INUVIK     000715 300  002000-002500   00     154.17  765.1    165.36     1.70    -0.16
INUVIK     000715 300  002500-003000   00     156.83  765.1    168.22     3.50     1.64
INUVIK     000715 300  003000-003500   00     154.17  765.1    165.36     1.70    -0.16
INUVIK     000715 300  003500-004000   00     154.83  765.1    166.07     2.10     0.24
INUVIK     000715 300  004000-004500   00     155.17  765.1    166.43     2.40     0.54
INUVIK     000715 300  004500-005000   00     155.50  765.1    166.79     2.60     0.74
INUVIK     000715 300  005000-005500   00     153.50  765.1    164.64     1.30    -0.56
INUVIK     000715 300  005500-010000   00     155.50  765.1    166.79     2.60     0.75
INUVIK     000715 300  010000-010500   00     154.50  765.1    165.72     1.90     0.05
INUVIK     000715 300  010500-011000   00     154.50  765.1    165.72     1.90    -9999
INUVIK     000715 300  011000-011500   00     153.83  765.1    165.00     1.50    -9999
INUVIK     000715 300  011500-012000   00     154.83  765.1    166.07     2.10    -9999
INUVIK     000715 300  012000-012500   00     152.50  765.1    163.57     0.60    -9999
INUVIK     000715 300  012500-013000   00     155.50  765.0    166.62     2.50    -9999
INUVIK     000715 300  013000-013500   00     155.17  765.1    166.43     2.40    -9999
INUVIK     000715 300  013500-014000   00     154.83  765.1    166.07     2.10    -9999
INUVIK     000715 300  014000-014500   00     153.83  765.1    165.00     1.50    -9999
INUVIK     000715 300  014500-015000   00     152.17  765.1    163.21     0.40    -9999
INUVIK     000715 300  015000-015500   00     154.50  765.1    165.72     1.90    -9999
INUVIK     000715 300  015500-020000   00     153.83  765.0    164.84     1.40    -9999
INUVIK     000715 300  020000-020500   00     153.83  765.0    164.84     1.40    -9999
INUVIK     000715 300  020500-021000   00     156.17  765.0    167.34     2.90    -9999
INUVIK     000715 300  021000-021500   00     156.17  765.0    167.34     2.90    -9999
INUVIK     000715 300  021500-022000   00     155.17  765.0    166.27     2.30    -9999
INUVIK     000715 300  022000-022500   00     153.17  765.0    164.12     0.90    -9999
INUVIK     000715 300  022500-023000   00     156.50  765.0    167.69     3.10    -9999
INUVIK     000715 300  023000-023500   00     152.17  765.0    163.05     0.30    -9999
INUVIK     000715 300  023500-024000   00     156.50  765.0    167.69     3.10    -9999
INUVIK     000715 300  024000-024500   00     152.17  765.0    163.05     0.30    -9999
INUVIK     000715 300  024500-025000   00     152.83  765.0    163.77     0.70    -9999
INUVIK     000715 300  025000-025500   00     153.17  765.0    164.12     0.90    -9999
INUVIK     000715 300  025500-030000   00     154.83  764.9    165.75     1.90    -9999
INUVIK     000715 300  030000-030500   00     154.50  764.9    165.39     1.70    -9999
INUVIK     000715 300  030500-031000   00     154.17  764.9    165.03     1.50    -9999
INUVIK     000715 300  031000-031500   00     153.83  765.0    164.84     1.40    -9999
INUVIK     000715 300  031500-032000   00     156.17  765.0    167.34     2.90    -9999
INUVIK     000715 300  032000-032500   00     155.50  765.0    166.62     2.50    -9999
INUVIK     000715 300  032500-033000   00     154.50  765.0    165.55     1.80    -9999
INUVIK     000715 300  033000-033500   00     155.17  765.0    166.27     2.30    -9999
INUVIK     000715 300  033500-034000   00     155.50  765.0    166.62     2.50    -9999
INUVIK     000715 300  034000-034500   00     153.50  765.0    164.48     1.20    -9999
INUVIK     000715 300  034500-035000   00     155.83  764.9    166.82     2.60    -9999
INUVIK     000715 300  035000-035500   00     156.17  764.9    167.17     2.80    -9999
INUVIK     000715 300  035500-040000   00     155.17  764.9    166.10     2.20    -9999
INUVIK     000715 300  040000-040500   00     154.83  764.9    165.75     1.90    -9999
INUVIK     000715 300  040500-041000   00     153.83  764.9    164.67     1.30    -9999
INUVIK     000715 300  041000-041500   00     152.50  764.9    163.25     0.40    -9999
INUVIK     000715 300  041500-042000   00     153.50  764.9    164.32     1.10    -9999
INUVIK     000715 300  042000-042500   00     155.83  764.9    166.82     2.60    -9999
INUVIK     000715 300  042500-043000   00     153.50  764.9    164.32     1.10    -9999
INUVIK     000715 300  043000-043500   00     155.17  764.9    166.10     2.20    -9999
INUVIK     000715 300  043500-044000   00     154.83  764.9    165.75     1.90    -9999
INUVIK     000715 300  044000-044500   00     153.50  764.9    164.32     1.10    -9999
INUVIK     000715 300  044500-045000   00     152.50  765.0    163.41     0.50    -9999
INUVIK     000715 300  045000-045500   00     154.83  764.9    165.75     1.90    -9999
INUVIK     000715 300  045500-050000   00     153.83  764.9    164.67     1.30    -9999
INUVIK     000715 300  050000-050500   00     157.50  765.0    168.77     3.80    -9999
INUVIK     000715 300  050500-051000   00     154.50  765.0    165.55     1.80    -9999
INUVIK     000715 300  051000-051500   00     153.83  765.0    164.84     1.40    -9999
INUVIK     000715 300  051500-052000   00     155.50  765.0    166.62     2.50    -9999
INUVIK     000715 300  052000-052500   00     154.50  765.0    165.55     1.80    -9999
INUVIK     000715 300  052500-053000   00     154.17  765.0    165.19     1.60    -9999
INUVIK     000715 300  053000-053500   00     153.17  765.0    164.12     0.90    -9999
INUVIK     000715 300  053500-054000   00     153.83  765.0    164.84     1.40    -9999
INUVIK     000715 300  054000-054500   00     154.50  765.1    165.72     1.90    -9999
INUVIK     000715 300  054500-055000   00     154.17  765.1    165.36     1.70    -9999
INUVIK     000715 300  055000-055500   00     154.50  765.1    165.72     1.90    -9999
INUVIK     000715 300  055500-060000   00     154.17  765.1    165.36     1.70    -9999
INUVIK     000715 300  060000-060500   00     154.83  765.1    166.07     2.10    -9999
INUVIK     000715 300  060500-061000   00     155.50  765.1    166.79     2.60    -9999
INUVIK     000715 300  061000-061500   00     154.50  765.1    165.72     1.90    -9999
INUVIK     000715 300  061500-062000   00     154.17  765.1    165.36     1.70    -9999
INUVIK     000715 300  062000-062500   00     156.50  765.1    167.86     3.20    -9999
INUVIK     000715 300  062500-063000   00     154.83  765.1    166.07     2.10    -9999
INUVIK     000715 300  063000-063500   00     155.50  765.1    166.79     2.60    -9999
INUVIK     000715 300  063500-064000   00     154.50  765.1    165.72     1.90    -9999
INUVIK     000715 300  064000-064500   00     154.17  765.1    165.36     1.70    -9999
INUVIK     000715 300  064500-065000   00     154.50  765.1    165.72     1.90    -9999
INUVIK     000715 300  065000-065500   00     151.83  765.1    162.86     0.20    -9999
INUVIK     000715 300  065500-070000   00     153.50  765.1    164.64     1.30    -9999
INUVIK     000715 300  070000-070500   00     153.50  765.2    164.81     1.40    -9999
INUVIK     000715 300  070500-071000   00     152.83  765.2    164.09     0.90    -9999
INUVIK     000715 300  071000-071500   00     153.17  765.2    164.45     1.10    -9999
INUVIK     000715 300  071500-072000   00     155.50  765.1    166.79     2.60    -9999
INUVIK     000715 300  072000-072500   00     153.50  765.2    164.81     1.40    -9999
INUVIK     000715 300  072500-073000   00     153.17  765.2    164.45     1.10    -9999
INUVIK     000715 300  073000-073500   00     152.50  765.2    163.73     0.70    -9999
INUVIK     000715 300  073500-074000   00     152.83  765.2    164.09     0.90    -9999
INUVIK     000715 300  074000-074500   00     152.50  765.1    163.57     0.60    -9999
INUVIK     000715 300  074500-075000   00     153.83  765.2    165.16     1.60    -9999
INUVIK     000715 300  075000-075500   00     152.83  765.2    164.09     0.90    -9999
INUVIK     000715 300  075500-080000   00     153.17  765.2    164.45     1.10    -9999
INUVIK     000715 300  080000-080500   00     152.50  765.1    163.57     0.60    -9999
INUVIK     000715 300  080500-081000   00     153.17  765.1    164.29     1.00    -9999
INUVIK     000715 300  081000-081500   00     155.17  765.1    166.43     2.40    -9999
INUVIK     000715 300  081500-082000   00     152.50  765.1    163.57     0.60    -9999
INUVIK     000715 300  082000-082500   00     153.50  765.1    164.64     1.30    -9999
INUVIK     000715 300  082500-083000   00     152.17  765.1    163.21     0.40    -9999
INUVIK     000715 300  083000-083500   00     152.83  765.1    163.93     0.80    -9999
INUVIK     000715 300  083500-084000   00     152.83  765.1    163.93     0.80    -9999
INUVIK     000715 300  084000-084500   00     153.83  765.1    165.00     1.50    -9999
INUVIK     000715 300  084500-085000   00     153.17  765.0    164.12     0.90    -9999
INUVIK     000715 300  085000-085500   00     152.83  765.1    163.93     0.80    -9999
INUVIK     000715 300  085500-090000   00     153.83  765.1    165.00     1.50    -9999
INUVIK     000715 300  090000-090500   00     153.50  765.1    164.64     1.30    -9999
INUVIK     000715 300  090500-091000   00     151.50  765.1    162.50    -0.10    -9999
INUVIK     000715 300  091000-091500   00     153.50  765.1    164.64     1.30    -9999
INUVIK     000715 300  091500-092000   00     151.50  765.2    162.66     0.00    -9999
INUVIK     000715 300  092000-092500   00     153.50  765.2    164.81     1.40    -9999
INUVIK     000715 300  092500-093000   00     154.17  765.2    165.52     1.80    -9999
INUVIK     000715 300  093000-093500   00     152.50  765.2    163.73     0.70    -9999
INUVIK     000715 300  093500-094000   00     154.50  765.1    165.72     1.90    -9999
INUVIK     000715 300  094000-094500   00     152.17  765.1    163.21     0.40    -9999
INUVIK     000715 300  094500-095000   00     153.50  765.1    164.64     1.30    -9999
INUVIK     000715 300  095000-095500   00     153.83  765.1    165.00     1.50    -9999
INUVIK     000715 300  095500-100000   00     153.83  765.1    165.00     1.50    -9999
INUVIK     000715 300  100000-100500   00     151.17  765.1    162.14    -0.30    -9999
INUVIK     000715 300  100500-101000   00     153.83  765.1    165.00     1.50    -9999
INUVIK     000715 300  101000-101500   00     154.17  765.1    165.36     1.70    -9999
INUVIK     000715 300  101500-102000   00     151.50  765.1    162.50    -0.10    -9999
INUVIK     000715 300  102000-102500   00     153.83  765.1    165.00     1.50    -9999
