KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.7575   % / MB
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    222.38      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
KERGUELEN  120517 300  072000-072500   00     249.47  986.2    224.91     1.10    -0.81
KERGUELEN  120517 300  072500-073000   00     249.07  986.1    224.28     0.90    -1.04
KERGUELEN  120517 300  073000-073500   00     252.00  985.9    226.69     1.90    -0.06
KERGUELEN  120517 300  073500-074000   00     252.13  985.9    226.76     2.00     0.01
KERGUELEN  120517 300  074000-074500   00     252.67  985.9    227.20     2.20     0.18
KERGUELEN  120517 300  074500-075000   00     254.53  985.8    228.78     2.90     0.85
KERGUELEN  120517 300  075000-075500   00     255.07  985.8    229.17     3.10     1.02
KERGUELEN  120517 300  075500-080000   00     255.33  985.8    229.41     3.20     1.09
KERGUELEN  120517 300  080000-080500   00     252.93  985.7    227.07     2.10    -0.04
KERGUELEN  120517 300  080500-081000   00     253.07  985.6    227.05     2.10    -9999
KERGUELEN  120517 300  081000-081500   00     253.07  985.6    227.01     2.10    -9999
KERGUELEN  120517 300  081500-082000   00     256.40  985.5    229.86     3.40    -9999
KERGUELEN  120517 300  082000-082500   00     250.13  985.5    224.24     0.80    -9999
KERGUELEN  120517 300  082500-083000   00     253.73  985.4    227.38     2.20    -9999
KERGUELEN  120517 300  083000-083500   00     251.60  985.4    225.42     1.40    -9999
KERGUELEN  120517 300  083500-084000   00     253.73  985.5    227.56     2.30    -9999
KERGUELEN  120517 300  084000-084500   00     254.40  985.5    228.11     2.60    -9999
KERGUELEN  120517 300  084500-085000   00     254.13  985.5    227.78     2.40    -9999
KERGUELEN  120517 300  085000-085500   00     251.87  985.4    225.66     1.50    -9999
KERGUELEN  120517 300  085500-090000   00     250.67  985.4    224.49     0.90    -9999
KERGUELEN  120517 300  090000-090500   00     254.67  985.3    228.03     2.50    -9999
KERGUELEN  120517 300  090500-091000   00     254.93  985.4    228.45     2.70    -9999
KERGUELEN  120517 300  091000-091500   00     255.73  985.5    229.21     3.10    -9999
KERGUELEN  120517 300  091500-092000   00     253.73  985.4    227.33     2.20    -9999
KERGUELEN  120517 300  092000-092500   00     253.60  985.5    227.39     2.30    -9999
KERGUELEN  120517 300  092500-093000   00     257.20  985.5    230.57     3.70    -9999
KERGUELEN  120517 300  093000-093500   00     252.27  985.6    226.43     1.80    -9999
KERGUELEN  120517 300  093500-094000   00     253.33  985.7    227.43     2.30    -9999
KERGUELEN  120517 300  094000-094500   00     253.73  985.6    227.74     2.40    -9999
KERGUELEN  120517 300  094500-095000   00     253.33  985.7    227.43     2.30    -9999
KERGUELEN  120517 300  095000-095500   00     254.40  985.6    228.34     2.70    -9999
KERGUELEN  120517 300  095500-100000   00     252.40  985.7    226.64     1.90    -9999
KERGUELEN  120517 300  100000-100500   00     251.07  985.7    225.49     1.40    -9999
KERGUELEN  120517 300  100500-101000   00     251.20  985.7    225.60     1.40    -9999
KERGUELEN  120517 300  101000-101500   00     252.00  985.8    226.41     1.80    -9999
KERGUELEN  120517 300  101500-102000   00     253.47  985.7    227.59     2.30    -9999
KERGUELEN  120517 300  102000-102500   00     252.00  985.6    226.19     1.70    -9999
KERGUELEN  120517 300  102500-103000   00     254.53  985.6    228.32     2.70    -9999
KERGUELEN  120517 300  103000-103500   00     254.27  985.6    228.08     2.60    -9999
KERGUELEN  120517 300  103500-104000   00     252.27  985.5    226.20     1.70    -9999
KERGUELEN  120517 300  104000-104500   00     253.87  985.5    227.54     2.30    -9999
KERGUELEN  120517 300  104500-105000   00     253.60  985.5    227.39     2.30    -9999
KERGUELEN  120517 300  105000-105500   00     253.73  985.5    227.47     2.30    -9999
KERGUELEN  120517 300  105500-110000   00     255.07  985.5    228.62     2.80    -9999
KERGUELEN  120517 300  110000-110500   00     257.33  985.4    230.51     3.70    -9999
KERGUELEN  120517 300  110500-111000   00     255.87  985.4    229.15     3.00    -9999
KERGUELEN  120517 300  111000-111500   00     256.53  985.3    229.60     3.20    -9999
KERGUELEN  120517 300  111500-112000   00     254.93  985.2    228.03     2.50    -9999
KERGUELEN  120517 300  112000-112500   00     254.40  985.1    227.47     2.30    -9999
KERGUELEN  120517 300  112500-113000   00     251.87  985.1    225.11     1.20    -9999
KERGUELEN  120517 300  113000-113500   00     257.33  985.1    229.95     3.40    -9999
KERGUELEN  120517 300  113500-114000   00     253.73  985.1    226.87     2.00    -9999
KERGUELEN  120517 300  114000-114500   00     254.00  985.2    227.20     2.20    -9999
KERGUELEN  120517 300  114500-115000   00     254.00  985.4    227.47     2.30    -9999
KERGUELEN  120517 300  115000-115500   00     251.20  985.4    224.97     1.20    -9999
KERGUELEN  120517 300  115500-120000   00     255.07  985.5    228.71     2.80    -9999
