BERN       LATITUDE    46.95     LONGITUDE     7.45      ALTITUDE    570 M
BERN       INSTRUMENT   SPECIAL  NEUTRON MONITOR	
BERN       STANDARD PRESSURE    710     MMHG   COEFFICIENT   -0.9557   % / MMHG
BERN       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
BERN       PRE-INCREASE AVERAGE COUNTING RATE     40.71      COUNTS PER SECOND
BERN       TIME INTERVALS    300         3600     
BERN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
BERN       010415 300  203500-204000   20      41.10  709.8     41.02     0.70    -9999
BERN       010415 300  204000-204500   20      41.05  709.8     40.97     0.60    -9999
BERN       010415 300  204500-205000   20      41.19  709.7     41.07     0.90    -9999
BERN       010415 300  205000-205500   20      40.98  709.6     40.82     0.30    -9999
BERN       010415 300  205500-210000   20      40.72  709.6     40.56    -0.40    -9999
BERN       010415 300  210000-210500   20      40.55  709.4     40.32    -1.00    -9999
BERN       010415 300  210500-211000   20      40.09  709.4     39.86    -2.10    -9999
BERN       010415 300  211000-211500   20      39.69  709.4     39.46    -3.10    -9999
BERN       010415 300  211500-212000   20      39.25  709.4     39.02    -4.20    -9999
BERN       010415 300  212000-212500   20      41.18  709.4     40.95     0.60    -9999
BERN       010415 300  212500-213000   20      40.26  709.4     40.03    -1.70    -9999
BERN       010415 300  213000-213500   20      40.11  709.4     39.88    -2.10    -9999
BERN       010415 300  213500-214000   20      41.32  709.3     41.04     0.80    -9999
BERN       010415 300  214000-214500   20      40.96  709.3     40.69    -0.10    -9999
BERN       010415 300  214500-215000   20      41.45  709.3     41.18     1.10    -9999
BERN       010415 300  215000-215500   20      41.65  709.4     41.41     1.70    -9999
BERN       010415 300  215500-220000   20      42.68  709.4     42.43     4.20    -9999
BERN       010415 300  220000-220500   20      41.51  709.4     41.27     1.40    -9999
BERN       010415 300  220500-221000   20      40.77  709.4     40.54    -0.40    -9999
BERN       010415 300  221000-221500   20      41.55  709.3     41.27     1.40    -9999
BERN       010415 300  221500-222000   20      41.10  709.3     40.82     0.30    -9999
BERN       010415 300  222000-222500   20      40.52  709.3     40.25    -1.10    -9999
BERN       010415 300  222500-223000   20      41.84  709.3     41.56     2.10    -9999
BERN       010415 300  223000-223500   20      40.13  709.3     39.86    -2.10    -9999
BERN       010415 300  223500-224000   20      41.02  709.3     40.75     0.10    -9999
BERN       010415 300  224000-224500   20      39.69  709.3     39.43    -3.20    -9999
BERN       010415 300  224500-225000   20      41.00  709.3     40.72     0.00    -9999
BERN       010415 300  225000-225500   20      40.56  709.3     40.29    -1.00    -9999
BERN       010415 300  225500-230000   20      42.59  709.3     42.31     3.90    -9999
BERN       010415 300  230000-230500   20      40.57  709.3     40.30    -1.00    -9999
BERN       010415 300  230500-231000   20      40.39  709.3     40.12    -1.50    -9999
BERN       010415 300  231000-231500   20      39.58  709.3     39.31    -3.40    -9999
BERN       010415 300  231500-232000   20      41.62  709.2     41.30     1.40    -9999
BERN       010415 300  232000-232500   20      40.23  709.3     39.96    -1.80    -9999
BERN       010415 300  232500-233000   20      41.84  709.2     41.52     2.00    -9999
BERN       010415 300  233000-233500   20      41.67  709.0     41.27     1.40    -9999
BERN       010415 300  233500-234000   20      41.94  709.0     41.54     2.00    -9999
BERN       010415 300  234000-234500   20      40.73  709.0     40.35    -0.90    -9999
BERN       010415 300  234500-235000   20      41.99  709.0     41.59     2.10    -9999
BERN       010415 300  235000-235500   20      41.37  708.9     40.94     0.60    -9999
BERN       010415 300  235500-240000   20      41.13  708.7     40.62    -0.20    -9999
BERN       010416 3600 000000-010000   20      41.14  709.0     40.73     0.00    -9999
BERN       010416 3600 010000-020000   20      41.24  709.0     40.85     0.30    -9999
BERN       010416 3600 020000-030000   20      41.71  709.0     41.31     1.50    -9999
BERN       010416 3600 030000-040000   20      41.39  709.0     41.01     0.70    -9999
BERN       010416 3600 040000-050000   20      41.72  709.0     41.33     1.50    -9999
BERN       010416 3600 050000-060000   20      41.46  709.0     41.07     0.90    -9999
BERN       010416 3600 060000-070000   20      41.58  709.0     41.17     1.10    -9999
BERN       010416 3600 070000-080000   20      41.79  709.1     41.41     1.70    -9999
BERN       010416 3600 080000-090000   20      41.22  709.3     40.93     0.50    -9999
BERN       010416 3600 090000-100000   20      41.06  709.5     40.87     0.40    -9999
BERN       010416 3600 100000-110000   20      41.68  709.9     41.65     2.30    -9999
BERN       010416 3600 110000-120000   20      41.80  709.9     41.77     2.60    -9999
BERN       010416 3600 120000-130000   20      41.74  710.0     41.74     2.50    -9999
BERN       010416 3600 130000-140000   20      41.46  710.4     41.60     2.20    -9999
BERN       010416 3600 140000-150000   20      40.88  710.6     41.11     1.00    -9999
BERN       010416 3600 150000-160000   20      41.68  710.8     42.01     3.20    -9999
BERN       010416 3600 160000-170000   20      41.24  711.2     41.70     2.40    -9999
BERN       010416 3600 170000-180000   20      40.97  711.5     41.55     2.10    -9999
BERN       010416 3600 180000-190000   20      40.44  712.0     41.24     1.30    -9999
BERN       010416 3600 190000-200000   20      40.52  712.7     41.57     2.10    -9999
BERN       010416 3600 200000-210000   20      40.45  712.9     41.59     2.20    -9999
BERN       010416 3600 210000-220000   20      40.52  713.0     41.68     2.40    -9999
