CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    885     mb     COEFFICIENT   -0.73     % / mb
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    263.82      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
CALGARY    031028 300  200000-200500   00     325.90  869.0    289.97     9.90     9.29
CALGARY    031028 300  200500-201000   00     326.87  869.0    290.84    10.20     9.58
CALGARY    031028 300  201000-201500   00     325.13  869.0    289.29     9.70     9.08
CALGARY    031028 300  201500-202000   00     327.95  869.0    291.80    10.60     9.97
CALGARY    031028 300  202000-202500   00     329.05  869.0    292.78    11.00    10.37
CALGARY    031028 300  202500-203000   00     328.28  869.0    292.09    10.70    10.07
CALGARY    031028 300  203000-203500   00     331.25  868.0    292.59    10.90    10.26
CALGARY    031028 300  203500-204000   00     327.63  868.0    289.39     9.70     9.06
CALGARY    031028 300  204000-204500   00     330.25  868.0    291.71    10.60     9.95
CALGARY    031028 300  204500-205000   00     331.52  868.0    292.83    11.00    10.35
CALGARY    031028 300  205000-205500   00     329.65  868.0    291.18    10.40     9.74
CALGARY    031028 300  205500-210000   00     330.12  868.0    291.59    10.50     9.84
CALGARY    031028 300  210000-210500   00     333.77  868.0    294.82    11.80    11.14
CALGARY    031028 300  210500-211000   00     328.95  868.0    290.56    10.10     9.43
CALGARY    031028 300  211000-211500   00     328.38  868.0    290.06     9.90     9.23
CALGARY    031028 300  211500-212000   00     329.05  868.0    290.65    10.20     9.52
CALGARY    031028 300  212000-212500   00     328.62  868.0    290.27    10.00     9.32
CALGARY    031028 300  212500-213000   00     332.15  868.0    293.39    11.20    10.51
CALGARY    031028 300  213000-213500   00     328.48  867.0    288.03     9.20     8.51
CALGARY    031028 300  213500-214000   00     327.17  867.0    286.88     8.70     8.01
CALGARY    031028 300  214000-214500   00     333.43  867.0    292.37    10.80    10.10
