HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    760     MMHG   COEFFICIENT   0.95      % / MMHG
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    119.84      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
HERMANUS   061213 300  094500-095000   00     123.97  756.3    119.69    -0.10    -9999
HERMANUS   061213 300  095000-095500   00     125.73  756.3    121.39     1.30    -9999
HERMANUS   061213 300  095500-100000   00     125.17  756.3    120.84     0.80    -9999
HERMANUS   061213 300  100000-100500   00     126.50  756.3    122.13     1.90    -9999
HERMANUS   061213 300  100500-101000   00     126.45  756.3    122.08     1.90    -9999
HERMANUS   061213 300  101000-101500   00     125.99  756.3    121.63     1.50    -9999
HERMANUS   061213 300  101500-102000   00     124.36  756.3    120.06     0.20    -9999
HERMANUS   061213 300  102000-102500   00     124.52  756.3    120.22     0.30    -9999
HERMANUS   061213 300  102500-103000   00     125.52  756.2    121.12     1.10    -9999
HERMANUS   061213 300  103000-103500   00     125.44  756.2    120.99     1.00    -9999
HERMANUS   061213 300  103500-104000   00     125.52  756.2    121.08     1.00    -9999
HERMANUS   061213 300  104000-104500   00     125.26  756.2    120.84     0.80    -9999
HERMANUS   061213 300  104500-105000   00     125.78  756.2    121.32     1.20    -9999
HERMANUS   061213 300  105000-105500   00     126.55  756.2    122.02     1.80    -9999
HERMANUS   061213 300  105500-110000   00     123.73  756.1    119.19    -0.60    -9999
HERMANUS   061213 300  110000-110500   00     125.77  756.0    121.08     1.00    -9999
HERMANUS   061213 300  110500-111000   00     124.78  755.9    120.04     0.20    -9999
HERMANUS   061213 300  111000-111500   00     125.23  755.9    120.42     0.50    -9999
HERMANUS   061213 300  111500-112000   00     126.71  755.8    121.75     1.60    -9999
HERMANUS   061213 300  112000-112500   00     125.69  755.8    120.78     0.80    -9999
HERMANUS   061213 300  112500-113000   00     126.30  755.8    121.31     1.20    -9999
HERMANUS   061213 300  113000-113500   00     124.12  755.7    119.15    -0.60    -9999
HERMANUS   061213 300  113500-114000   00     126.00  755.7    120.96     0.90    -9999
HERMANUS   061213 300  114000-114500   00     126.45  755.7    121.38     1.30    -9999
HERMANUS   061213 300  114500-115000   00     126.14  755.7    121.08     1.00    -9999
HERMANUS   061213 300  115000-115500   00     125.24  755.7    120.25     0.30    -9999
HERMANUS   061213 300  115500-120000   00     125.99  755.7    120.97     0.90    -9999
HERMANUS   061213 300  120000-120500   00     125.49  755.8    120.58     0.60    -9999
HERMANUS   061213 300  120500-121000   00     126.25  755.9    121.40     1.30    -9999
HERMANUS   061213 300  121500-122000   00     124.47  755.9    119.70    -0.10    -9999
HERMANUS   061213 300  122000-122500   00     125.82  755.8    120.89     0.90    -9999
HERMANUS   061213 300  122500-123000   00     125.15  755.9    120.34     0.40    -9999
HERMANUS   061213 300  123000-123500   00     124.90  755.8    120.04     0.20    -9999
HERMANUS   061213 300  123500-124000   00     126.72  755.8    121.76     1.60    -9999
HERMANUS   061213 300  124000-124500   00     124.52  755.8    119.63    -0.20    -9999
HERMANUS   061213 300  124500-125000   00     126.64  755.8    121.69     1.60    -9999
HERMANUS   061213 300  125000-125500   00     125.57  755.8    120.64     0.70    -9999
HERMANUS   061213 300  125500-130000   00     124.43  755.7    119.45    -0.30    -9999
HERMANUS   061213 300  130000-130500   00     124.93  755.8    120.02     0.20    -9999
HERMANUS   061213 300  130500-131000   00     124.89  755.8    120.01     0.20    -9999
HERMANUS   061213 300  131000-131500   00     127.66  755.8    122.66     2.40    -9999
HERMANUS   061213 300  131500-132000   00     126.94  755.8    121.97     1.80    -9999
HERMANUS   061213 300  132000-132500   00     124.11  755.8    119.26    -0.50    -9999
HERMANUS   061213 300  132500-133000   00     125.51  755.8    120.60     0.60    -9999
HERMANUS   061213 300  133000-133500   00     125.67  755.8    120.75     0.80    -9999
HERMANUS   061213 300  133500-134000   00     126.67  755.8    121.76     1.60    -9999
HERMANUS   061213 300  134000-134500   00     126.39  755.8    121.45     1.30    -9999
HERMANUS   061213 300  134500-135000   00     124.54  755.8    119.70    -0.10    -9999
HERMANUS   061213 300  135000-135500   00     124.44  755.9    119.68    -0.10    -9999
HERMANUS   061213 300  135500-140000   00     124.75  756.0    120.08     0.20    -9999
HERMANUS   061213 300  140000-140500   00     124.86  756.0    120.25     0.30    -9999
HERMANUS   061213 300  140500-141000   00     123.43  756.2    119.01    -0.70    -9999
HERMANUS   061213 300  141000-141500   00     126.01  756.3    121.61     1.50    -9999
HERMANUS   061213 300  141500-142000   00     123.86  756.3    119.63    -0.20    -9999
HERMANUS   061213 300  142000-142500   00     124.96  756.5    120.85     0.90    -9999
HERMANUS   061213 300  142500-143000   00     124.19  756.6    120.20     0.30    -9999
HERMANUS   061213 300  143000-143500   00     123.86  756.7    120.01     0.10    -9999
HERMANUS   061213 300  143500-144000   00     124.93  756.7    121.09     1.00    -9999
HERMANUS   061213 300  144000-144500   00     122.80  756.9    119.19    -0.50    -9999
