Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    226.72      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
Fort SMITH 211028 300  180500-181000   00     301.50  978.7    233.74     3.10     2.24
Fort SMITH 211028 300  181000-181500   00     301.85  978.7    233.99     3.21     2.34
Fort SMITH 211028 300  181500-182000   00     299.22  978.7    231.94     2.30     1.41
Fort SMITH 211028 300  182000-182500   00     297.73  978.6    230.77     1.79     0.89
Fort SMITH 211028 300  182500-183000   00     302.74  978.7    234.68     3.51     2.60
Fort SMITH 211028 300  183000-183500   00     301.34  978.7    233.58     3.02     2.10
Fort SMITH 211028 300  183500-184000   00     301.84  978.6    233.90     3.17     2.24
Fort SMITH 211028 300  184000-184500   00     301.27  978.5    233.29     2.90     1.96
Fort SMITH 211028 300  184500-185000   00     301.36  978.5    233.28     2.89     1.94
Fort SMITH 211028 300  185000-185500   00     301.96  978.4    233.69     3.07     2.12
Fort SMITH 211028 300  185500-190000   00     298.71  978.4    231.13     1.94     0.98
Fort SMITH 211028 300  190000-190500   00     303.35  978.4    234.66     3.50     2.53
Fort SMITH 211028 300  190500-191000   00     301.80  978.3    233.34     2.92     1.94
Fort SMITH 211028 300  191000-191500   00     300.78  978.2    232.44     2.52     1.53
Fort SMITH 211028 300  191500-192000   00     299.83  978.2    231.62     2.16     1.16
Fort SMITH 211028 300  192000-192500   00     301.15  978.2    232.71     2.64     1.64
Fort SMITH 211028 300  192500-193000   00     297.34  978.3    229.84     1.38     0.37
Fort SMITH 211028 300  193000-193500   00     299.78  978.3    231.77     2.23     1.21
Fort SMITH 211028 300  193500-194000   00     299.23  978.3    231.34     2.04     1.02
Fort SMITH 211028 300  194000-194500   00     301.60  978.3    233.20     2.86     1.83
Fort SMITH 211028 300  194500-195000   00     300.00  978.3    231.94     2.30     1.26
Fort SMITH 211028 300  195000-195500   00     300.65  978.3    232.36     2.48     1.44
Fort SMITH 211028 300  195500-200000   00     302.85  978.3    234.14     3.27     2.22
Fort SMITH 211028 300  200000-200500   00     298.98  978.3    231.05     1.91     0.86
Fort SMITH 211028 300  200500-201000   00     297.47  978.3    229.93     1.41     0.35
Fort SMITH 211028 300  201000-201500   00     296.13  978.3    228.95     0.98    -0.08
Fort SMITH 211028 300  201500-202000   00     299.08  978.4    231.31     2.02     0.95
Fort SMITH 211028 300  202000-202500   00     303.01  978.3    234.27     3.33     2.26
Fort SMITH 211028 300  202500-203000   00     298.42  978.3    230.61     1.72     0.64
Fort SMITH 211028 300  203000-203500   00     298.47  978.2    230.51     1.67     0.59
Fort SMITH 211028 300  203500-204000   00     299.21  978.2    231.10     1.93     0.84
Fort SMITH 211028 300  204000-204500   00     296.99  978.2    229.29     1.13     0.04
Fort SMITH 211028 300  204500-205000   00     301.01  978.1    232.32     2.47     1.38
Fort SMITH 211028 300  205000-205500   00     300.43  978.1    231.92     2.29     1.19
Fort SMITH 211028 300  205500-210000   00     300.24  978.1    231.78     2.23     1.13
Fort SMITH 211028 300  210000-210500   00     297.75  978.1    229.88     1.39     0.29
Fort SMITH 211028 300  210500-211000   00     300.60  978.1    232.02     2.34     1.24
Fort SMITH 211028 300  211000-211500   00     298.83  978.1    230.61     1.71     0.61
Fort SMITH 211028 300  211500-212000   00     301.32  978.0    232.42     2.51     1.40
Fort SMITH 211028 300  212000-212500   00     294.66  978.0    227.25     0.23    -0.88
Fort SMITH 211028 300  212500-213000   00     295.98  977.9    228.13     0.62    -0.49
Fort SMITH 211028 300  213000-213500   00     294.96  978.0    227.40     0.30    -0.81
Fort SMITH 211028 300  213500-214000   00     299.60  978.0    231.02     1.90     0.79
Fort SMITH 211028 300  214000-214500   00     296.56  978.1    228.84     0.94    -0.17
Fort SMITH 211028 300  214500-215000   00     298.62  978.1    230.47     1.65     0.54
