APATITY    LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
APATITY    STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
APATITY    PRE-INCREASE AVERAGE COUNTING RATE    145.42      COUNTS PER SECOND
APATITY    TIME INTERVALS    300         3600     
APATITY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY    000714 300  152000-152500   00     167.25  988.6    154.07     5.90     5.74
APATITY    000714 300  152500-153000   00     167.68  988.6    154.47     6.20     6.04
APATITY    000714 300  153000-153500   00     169.39  988.6    156.04     7.30     7.14
APATITY    000714 300  153500-154000   00     168.11  988.6    154.86     6.50     6.33
APATITY    000714 300  154000-154500   00     166.83  988.6    153.68     5.70     5.53
APATITY    000714 300  154500-155000   00     164.69  988.6    151.72     4.30     4.13
APATITY    000714 300  155000-155500   00     165.12  988.6    152.11     4.60     4.42
APATITY    000714 300  155500-156000   00     166.40  988.6    153.29     5.40     5.22
APATITY    000714 300  160000-160500   00     164.27  988.8    151.54     4.20     4.02
APATITY    000714 300  160500-161000   00     166.40  988.8    153.51     5.60     5.42
APATITY    000714 300  161000-161500   00     164.69  988.8    151.93     4.50     4.31
APATITY    000714 300  161500-162000   00     167.25  988.8    154.30     6.10     5.91
APATITY    000714 300  162000-162500   00     164.69  988.8    151.93     4.50     4.31
APATITY    000714 300  162500-163000   00     164.69  988.8    151.93     4.50     4.31
APATITY    000714 300  163000-163500   00     165.55  988.8    152.72     5.00     4.80
APATITY    000714 300  163500-164000   00     165.12  988.8    152.33     4.70     4.50
APATITY    000714 300  164000-164500   00     163.41  988.8    150.75     3.70     3.50
APATITY    000714 300  164500-165000   00     163.84  988.8    151.15     3.90     3.69
APATITY    000714 300  165000-165500   00     165.97  988.8    153.11     5.30     5.09
APATITY    000714 300  165500-166000   00     162.99  988.8    150.36     3.40     3.19
APATITY    000714 300  170000-170500   00     160.85  989.4    149.03     2.50     2.29
APATITY    000714 300  170500-171000   00     162.13  989.4    150.22     3.30     3.08
APATITY    000714 300  171000-171500   00     162.99  989.4    151.01     3.80     3.58
APATITY    000714 300  171500-172000   00     161.71  989.4    149.82     3.00     2.78
APATITY    000714 300  172000-172500   00     160.85  989.4    149.03     2.50     2.27
APATITY    000714 300  172500-173000   00     159.57  989.4    147.85     1.70     1.47
APATITY    000714 300  173000-173500   00     161.71  989.4    149.82     3.00     2.77
APATITY    000714 300  173500-174000   00     159.57  989.4    147.85     1.70     1.47
APATITY    000714 300  174000-174500   00     159.57  989.4    147.85     1.70     1.46
APATITY    000714 300  174500-175000   00     161.71  989.4    149.82     3.00     2.76
APATITY    000714 300  175000-175500   00     159.15  989.4    147.45     1.40     1.16
APATITY    000714 300  175500-176000   00     162.13  989.4    150.22     3.30     3.05
APATITY    000714 300  180000-180500   00     158.72  989.7    147.38     1.30     1.05
APATITY    000714 300  180500-181000   00     161.71  989.7    150.15     3.20     2.95
APATITY    000714 300  181000-181500   00     161.71  989.7    150.15     3.20     2.95
APATITY    000714 300  181500-182000   00     160.85  989.7    149.36     2.70     2.44
APATITY    000714 300  182000-182500   00     160.00  989.7    148.56     2.20     1.94
APATITY    000714 300  182500-183000   00     162.56  989.7    150.94     3.80     3.54
APATITY    000714 300  183000-183500   00     160.00  989.7    148.56     2.20     1.93
APATITY    000714 300  183500-184000   00     159.57  989.7    148.17     1.90     1.63
APATITY    000714 300  184000-184500   00     161.28  989.7    149.75     3.00     2.73
APATITY    000714 300  184500-185000   00     162.13  989.7    150.54     3.50     3.22
APATITY    000714 300  185000-185500   00     158.72  989.7    147.38     1.30     1.02
APATITY    000714 300  185500-186000   00     158.29  989.7    146.98     1.10     0.82
APATITY    000714 300  190000-190500   00     160.43  990.0    149.28     2.70     2.42
APATITY    000714 300  190500-191000   00     159.15  990.0    148.09     1.80     1.51
APATITY    000714 300  191000-191500   00     160.43  990.0    149.28     2.70     2.41
APATITY    000714 300  191500-192000   00     160.00  990.0    148.88     2.40     2.11
APATITY    000714 300  192000-192500   00     161.28  990.0    150.08     3.20     2.90
APATITY    000714 300  192500-193000   00     163.41  990.0    152.06     4.60     4.30
APATITY    000714 300  193000-193500   00     160.43  990.0    149.28     2.70     2.40
APATITY    000714 300  193500-194000   00     160.85  990.0    149.68     2.90     2.59
APATITY    000714 300  194000-194500   00     160.43  990.0    149.28     2.70     2.39
APATITY    000714 300  194500-195000   00     160.43  990.0    149.28     2.70     2.39
APATITY    000714 300  195000-195500   00     160.85  990.0    149.68     2.90     2.58
APATITY    000714 300  195500-196000   00     160.43  990.0    149.28     2.70     2.38
APATITY    000714 300  200000-200500   00     158.29  990.8    148.15     1.90     1.58
APATITY    000714 300  200500-201000   00     158.72  990.8    148.55     2.10     1.78
APATITY    000714 300  201000-201500   00     157.87  990.8    147.75     1.60     1.27
APATITY    000714 300  201500-202000   00     159.57  990.8    149.35     2.70     2.37
APATITY    000714 300  202000-202500   00     158.72  990.8    148.55     2.10     1.77
APATITY    000714 300  202500-203000   00     160.00  990.8    149.74     3.00     2.66
APATITY    000714 300  203000-203500   00     156.59  990.8    146.55     0.80     0.46
APATITY    000714 300  203500-204000   00     159.57  990.8    149.35     2.70     2.36
APATITY    000714 300  204000-204500   00     157.44  990.8    147.35     1.30     0.95
APATITY    000714 300  204500-205000   00     158.29  990.8    148.15     1.90     1.55
APATITY    000714 300  205000-205500   00     157.44  990.8    147.35     1.30     0.95
APATITY    000714 300  205500-206000   00     157.87  990.8    147.75     1.60     1.24
APATITY    000714 300  210000-210500   00     157.44  990.9    147.46     1.40     1.04
APATITY    000714 300  210500-211000   00     157.87  990.9    147.85     1.70     1.34
APATITY    000714 300  211000-211500   00     157.01  990.9    147.06     1.10     0.73
APATITY    000714 300  211500-212000   00     158.72  990.9    148.65     2.20     1.83
APATITY    000714 300  212000-212500   00     156.16  990.9    146.26     0.60     0.23
APATITY    000714 300  212500-213000   00     157.01  990.9    147.06     1.10     0.72
APATITY    000714 300  213000-213500   00     156.59  990.9    146.66     0.80     0.42
APATITY    000714 300  213500-214000   00     156.16  990.9    146.26     0.60     0.22
APATITY    000714 300  214000-214500   00     157.44  990.9    147.46     1.40     1.01
APATITY    000714 300  214500-215000   00     157.44  990.9    147.46     1.40     1.01
APATITY    000714 300  215000-215500   00     157.87  990.9    147.85     1.70     1.31
APATITY    000714 300  215500-216000   00     157.44  990.9    147.46     1.40     1.00
APATITY    000714 300  220000-220500   00     157.01  991.3    147.48     1.40     1.00
APATITY    000714 300  220500-221000   00     157.01  991.3    147.48     1.40     1.00
APATITY    000714 300  221000-221500   00     156.16  991.3    146.68     0.90     0.49
APATITY    000714 300  221500-222000   00     158.72  991.3    149.08     2.50     2.09
APATITY    000714 300  222000-222500   00     157.01  991.3    147.48     1.40     0.99
APATITY    000714 300  222500-223000   00     155.73  991.3    146.28     0.60     0.18
APATITY    000714 300  223000-223500   00     158.29  991.3    148.68     2.20     1.78
APATITY    000714 300  223500-224000   00     156.59  991.3    147.08     1.10     0.68
APATITY    000714 300  224000-224500   00     155.31  991.3    145.88     0.30    -0.13
APATITY    000714 300  224500-225000   00     155.73  991.3    146.28     0.60     0.17
APATITY    000714 300  225000-225500   00     157.01  991.3    147.48     1.40     0.97
APATITY    000714 300  225500-226000   00     156.16  991.3    146.68     0.90     0.46
APATITY    000714 300  230000-230500   00     157.44  991.3    147.88     1.70     1.26
APATITY    000714 300  230500-231000   00     157.01  991.3    147.48     1.40     0.95
APATITY    000714 300  231000-231500   00     155.31  991.3    145.88     0.30    -0.15
APATITY    000714 300  231500-232000   00     154.45  991.3    145.08    -0.20    -0.65
APATITY    000714 300  232000-232500   00     155.31  991.3    145.88     0.30    -0.16
APATITY    000714 300  232500-233000   00     157.01  991.3    147.48     1.40     0.94
APATITY    000714 300  233000-233500   00     155.31  991.3    145.88     0.30    -0.16
APATITY    000714 300  233500-234000   00     155.31  991.3    145.88     0.30    -0.17
APATITY    000714 300  234000-234500   00     154.88  991.3    145.48     0.00    -0.47
APATITY    000714 300  234500-235000   00     157.44  991.3    147.88     1.70     1.23
APATITY    000714 300  235000-235500   00     157.87  991.3    148.28     2.00     1.52
APATITY    000714 300  235500-236000   00     157.01  991.3    147.48     1.40     0.92
APATITY    000715 3600 000000-010000   00     155.41  991.7    146.45     0.40    -9999
APATITY    000715 3600 010000-020000   00     155.41  991.7    146.45     0.70    -9999
APATITY    000715 3600 010000-020000   00     155.41  991.7    146.45     0.70    -9999
APATITY    000715 3600 020000-030000   00     155.13  991.8    146.28     0.60    -9999
APATITY    000715 3600 030000-040000   00     155.24  991.7    146.28     0.60    -9999
APATITY    000715 3600 040000-050000   00     155.59  991.7    146.63     0.80    -9999
APATITY    000715 3600 050000-060000   00     156.48  991.5    147.24     1.20    -9999
APATITY    000715 3600 060000-070000   00     155.98  992.0    147.31     1.30    -9999
APATITY    000715 3600 070000-080000   00     156.16  992.2    147.70     1.60    -9999
APATITY    000715 3600 080000-090000   00     155.20  991.8    146.35     0.60    -9999
APATITY    000715 3600 090000-100000   00     155.88  991.4    146.56     0.80    -9999
APATITY    000715 3600 100000-110000   00     155.91  991.4    146.60     0.80    -9999
APATITY    000715 3600 110000-120000   00     154.70  991.8    145.88     0.30    -9999
APATITY    000715 3600 120000-130000   00     153.96  992.1    145.49     0.00    -9999
APATITY    000715 3600 130000-140000   00     153.10  992.3    144.89    -0.40    -9999
APATITY    000715 3600 140000-150000   00     152.11  992.4    144.07    -0.90    -9999
APATITY    000715 3600 150000-160000   00     150.40  992.6    142.65    -1.90    -9999
APATITY    000715 3600 160000-170000   00     150.68  992.6    142.90    -1.70    -9999
APATITY    000715 3600 170000-180000   00     150.22  992.6    142.47    -2.00    -9999
APATITY    000715 3600 180000-190000   00     148.62  992.3    140.66    -3.30    -9999
APATITY    000715 3600 190000-200000   00     148.12  992.6    140.48    -3.40    -9999
APATITY    000715 3600 200000-210000   00     143.36  992.6    135.96    -6.50    -9999
APATITY    000715 3600 210000-220000   00     141.55  992.5    134.15    -7.80    -9999
APATITY    000715 3600 220000-230000   00     141.05  992.0    133.19    -8.40    -9999
APATITY    000715 3600 230000-240000   00     142.22  992.3    134.61    -7.40    -9999
*
*	
COMMENT    DATA VERIFIED BY 	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059APTY_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
