Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    988.4   mb     COEFFICIENT   -0.75     % / mb
Fort SMITH 031028 300  091500-092000   00     220.60  988.6    220.96     1.50    -9999
Fort SMITH 031028 300  092000-092500   00     221.18  988.6    221.50     1.80    -9999
Fort SMITH 031028 300  092500-093000   00     222.24  988.6    222.52     2.20    -9999
Fort SMITH 031028 300  093000-093500   00     223.92  988.5    224.16     3.00    -9999
Fort SMITH 031028 300  093500-094000   00     221.14  988.5    221.33     1.70    -9999
Fort SMITH 031028 300  094000-094500   00     219.84  988.5    219.99     1.10    -9999
Fort SMITH 031028 300  094500-095000   00     221.08  988.5    221.19     1.60    -9999
Fort SMITH 031028 300  095000-095500   00     219.82  988.4    219.89     1.00    -9999
Fort SMITH 031028 300  095500-100000   00     220.26  988.4    220.28     1.20    -9999
Fort SMITH 031028 300  100000-100500   00     219.06  988.4    219.04     0.60    -9999
Fort SMITH 031028 300  100500-101000   00     220.30  988.4    220.22     1.20    -9999
Fort SMITH 031028 300  101000-101500   00     219.00  988.3    218.87     0.60    -9999
Fort SMITH 031028 300  101500-102000   00     217.14  988.3    216.95    -0.30    -9999
Fort SMITH 031028 300  102000-102500   00     215.38  988.3    215.14    -1.10    -9999
Fort SMITH 031028 300  102500-103000   00     216.84  988.2    216.55    -0.50    -9999
Fort SMITH 031028 300  103000-103500   00     218.86  988.2    218.51     0.40    -9999
Fort SMITH 031028 300  103500-104000   00     216.58  988.2    216.18    -0.70    -9999
Fort SMITH 031028 300  104000-104500   00     218.74  988.1    218.28     0.30    -9999
Fort SMITH 031028 300  104500-105000   00     218.94  988.1    218.42     0.40    -9999
Fort SMITH 031028 300  105000-105500   00     218.16  988.1    217.59     0.00    -9999
Fort SMITH 031028 300  105500-110000   00     216.60  988.0    215.98    -0.80    -9999
Fort SMITH 031028 300  110000-110500   00     221.38  988.0    220.70     1.40     0.55
Fort SMITH 031028 300  110500-111000   00     218.12  988.0    217.41    -0.10    -0.95
Fort SMITH 031028 300  111000-111500   00     217.46  987.9    216.71    -0.40    -1.25
Fort SMITH 031028 300  111500-112000   00     219.90  987.9    219.10     0.70    -0.15
Fort SMITH 031028 300  112000-112500   00     220.82  987.9    219.98     1.10     0.25
Fort SMITH 031028 300  112500-113000   00     226.72  987.9    225.81     3.80     2.94
Fort SMITH 031028 300  113000-113500   00     230.46  987.8    229.49     5.40     4.54
Fort SMITH 031028 300  113500-114000   00     230.72  987.8    229.71     5.50     4.64
Fort SMITH 031028 300  114000-114500   00     227.16  987.8    226.12     3.90     3.04
Fort SMITH 031028 300  114500-115000   00     230.96  987.8    229.86     5.60     4.74
Fort SMITH 031028 300  115000-115500   00     230.42  987.7    229.28     5.30     4.44
Fort SMITH 031028 300  115500-120000   00     230.28  987.7    229.10     5.30     4.44
Fort SMITH 031028 300  120000-120500   00     230.08  987.7    228.86     5.20     4.34
Fort SMITH 031028 300  120500-121000   00     232.98  987.7    231.72     6.50     5.64
Fort SMITH 031028 300  121000-121500   00     231.68  987.7    230.40     5.90     5.04
Fort SMITH 031028 300  121500-122000   00     234.06  987.6    232.74     6.90     6.04
Fort SMITH 031028 300  122000-122500   00     233.40  987.6    232.05     6.60     5.74
Fort SMITH 031028 300  122500-123000   00     235.12  987.6    233.73     7.40     6.54
Fort SMITH 031028 300  123000-123500   00     235.50  987.6    234.08     7.60     6.74
Fort SMITH 031028 300  123500-124000   00     235.92  987.6    234.47     7.70     6.84
Fort SMITH 031028 300  124000-124500   00     235.52  987.6    234.04     7.50     6.64
Fort SMITH 031028 300  124500-125000   00     235.46  987.5    233.95     7.50     6.64
Fort SMITH 031028 300  125000-125500   00     238.30  987.5    236.74     8.80     7.94
Fort SMITH 031028 300  125500-130000   00     238.10  987.5    236.52     8.70     7.84
Fort SMITH 031028 300  130000-130500   00     239.60  987.5    237.98     9.30     8.44
Fort SMITH 031028 300  130500-131000   00     235.88  987.5    234.25     7.60     6.74
Fort SMITH 031028 300  131000-131500   00     239.38  987.5    237.70     9.20     8.34
Fort SMITH 031028 300  131500-132000   00     239.28  987.4    237.57     9.20     8.33
Fort SMITH 031028 300  132000-132500   00     236.08  987.4    234.36     7.70     6.83
Fort SMITH 031028 300  132500-133000   00     237.78  987.4    236.02     8.40     7.53
Fort SMITH 031028 300  133000-133500   00     234.60  987.4    232.84     7.00     6.13
Fort SMITH 031028 300  133500-134000   00     233.44  987.4    231.66     6.40     5.53
Fort SMITH 031028 300  134000-134500   00     236.40  987.4    234.56     7.80     6.93
Fort SMITH 031028 300  134500-135000   00     236.68  987.3    234.81     7.90     7.03
Fort SMITH 031028 300  135000-135500   00     235.60  987.3    233.71     7.40     6.53
Fort SMITH 031028 300  135500-140000   00     237.40  987.3    235.47     8.20     7.33
Fort SMITH 031028 300  140000-140500   00     235.00  987.3    233.07     7.10     6.23
Fort SMITH 031028 300  140500-141000   00     237.34  987.3    235.39     8.20     7.33
Fort SMITH 031028 300  141000-141500   00     234.56  987.3    232.63     6.90     6.03
Fort SMITH 031028 300  141500-142000   00     235.90  987.3    233.96     7.50     6.63
Fort SMITH 031028 300  142000-142500   00     238.72  987.3    236.76     8.80     7.93
Fort SMITH 031028 300  142500-143000   00     240.18  987.3    238.21     9.50     8.63
Fort SMITH 031028 300  143000-143500   00     238.12  987.3    236.16     8.50     7.63
Fort SMITH 031028 300  143500-144000   00     238.86  987.3    236.90     8.80     7.93
Fort SMITH 031028 300  144000-144500   00     238.80  987.3    236.84     8.80     7.93
Fort SMITH 031028 300  144500-145000   00     238.86  987.3    236.90     8.80     7.93
Fort SMITH 031028 300  145000-145500   00     239.90  987.3    237.93     9.30     8.43
Fort SMITH 031028 300  145500-150000   00     239.60  987.3    237.63     9.20     8.33
Fort SMITH 031028 300  150000-150500   00     240.86  987.3    238.88     9.80     8.93
Fort SMITH 031028 300  150500-151000   00     238.88  987.3    236.92     8.90     8.03
Fort SMITH 031028 300  151000-151500   00     239.52  987.3    237.55     9.10     8.22
Fort SMITH 031028 300  151500-152000   00     241.84  987.3    239.85    10.20     9.32
Fort SMITH 031028 300  152000-152500   00     239.14  987.3    237.17     9.00     8.12
Fort SMITH 031028 300  152500-153000   00     241.64  987.3    239.65    10.10     9.22
Fort SMITH 031028 300  153000-153500   00     239.52  987.3    237.55     9.10     8.22
Fort SMITH 031028 300  153500-154000   00     241.22  987.3    239.24     9.90     9.02
Fort SMITH 031028 300  154000-154500   00     240.72  987.3    238.74     9.70     8.82
Fort SMITH 031028 300  154500-155000   00     238.94  987.3    236.98     8.90     8.02
Fort SMITH 031028 300  155000-155500   00     239.44  987.3    237.47     9.10     8.22
Fort SMITH 031028 300  155500-160000   00     242.84  987.3    240.84    10.70     9.82
Fort SMITH 031028 300  160000-160500   00     240.48  987.3    238.50     9.60     8.72
Fort SMITH 031028 300  160500-161000   00     241.30  987.3    239.30    10.00     9.12
Fort SMITH 031028 300  161000-161500   00     244.44  987.3    242.39    11.40    10.52
Fort SMITH 031028 300  161500-162000   00     243.64  987.3    241.59    11.00    10.12
Fort SMITH 031028 300  162000-162500   00     241.70  987.3    239.65    10.10     9.22
Fort SMITH 031028 300  162500-163000   00     241.06  987.3    239.00     9.80     8.92
Fort SMITH 031028 300  163000-163500   00     241.78  987.2    239.70    10.10     9.22
Fort SMITH 031028 300  163500-164000   00     241.06  987.2    238.97     9.80     8.92
Fort SMITH 031028 300  164000-164500   00     240.08  987.2    237.98     9.30     8.42
Fort SMITH 031028 300  164500-165000   00     240.70  987.2    238.58     9.60     8.72
Fort SMITH 031028 300  165000-165500   00     240.46  987.2    238.33     9.50     8.62
Fort SMITH 031028 300  165500-170000   00     242.54  987.2    240.38    10.40     9.52
Fort SMITH 031028 300  170000-170500   00     243.50  987.2    241.32    10.90    10.02
Fort SMITH 031028 300  170500-171000   00     243.08  987.2    240.90    10.70     9.81
Fort SMITH 031028 300  171000-171500   00     242.58  987.2    240.41    10.50     9.61
Fort SMITH 031028 300  171500-172000   00     241.40  987.2    239.24     9.90     9.01
Fort SMITH 031028 300  172000-172500   00     243.32  987.2    241.14    10.80     9.91
Fort SMITH 031028 300  172500-173000   00     246.28  987.2    244.07    12.10    11.21
Fort SMITH 031028 300  173000-173500   00     240.86  987.2    238.70     9.70     8.81
Fort SMITH 031028 300  173500-174000   00     243.18  987.2    241.00    10.70     9.81
Fort SMITH 031028 300  174000-174500   00     239.06  987.2    236.92     8.90     8.01
Fort SMITH 031028 300  174500-175000   00     240.34  987.2    238.19     9.40     8.51
Fort SMITH 031028 300  175000-175500   00     241.44  987.2    239.28     9.90     9.01
Fort SMITH 031028 300  175500-180000   00     243.82  987.2    241.63    11.00    10.11
Fort SMITH 031028 300  180000-180500   00     241.04  987.2    238.88     9.80     8.91
Fort SMITH 031028 300  180500-181000   00     240.20  987.2    238.05     9.40     8.51
Fort SMITH 031028 300  181000-181500   00     242.98  987.2    240.80    10.60     9.71
Fort SMITH 031028 300  181500-182000   00     240.98  987.2    238.82     9.70     8.81
Fort SMITH 031028 300  182000-182500   00     240.82  987.2    238.66     9.70     8.81
Fort SMITH 031028 300  182500-183000   00     239.80  987.2    237.65     9.20     8.31
Fort SMITH 031028 300  183000-183500   00     240.24  987.2    238.09     9.40     8.51
Fort SMITH 031028 300  183500-184000   00     239.40  987.2    237.26     9.00     8.11
Fort SMITH 031028 300  184000-184500   00     239.96  987.2    237.81     9.30     8.41
Fort SMITH 031028 300  184500-185000   00     237.88  987.2    235.75     8.30     7.41
Fort SMITH 031028 300  185000-185500   00     241.08  987.2    238.92     9.80     8.91
Fort SMITH 031028 300  185500-190000   00     241.30  987.2    239.14     9.90     9.00
Fort SMITH 031028 300  190000-190500   00     239.08  987.2    236.95     8.90     8.00
Fort SMITH 031028 300  190500-191000   00     239.42  987.2    237.31     9.00     8.10
Fort SMITH 031028 300  191000-191500   00     239.58  987.2    237.50     9.10     8.20
Fort SMITH 031028 300  191500-192000   00     239.80  987.3    237.75     9.20     8.30
Fort SMITH 031028 300  192000-192500   00     240.48  987.3    238.46     9.60     8.70
Fort SMITH 031028 300  192500-193000   00     242.84  987.3    240.82    10.70     9.80
Fort SMITH 031028 300  193000-193500   00     240.30  987.3    238.34     9.50     8.60
Fort SMITH 031028 300  193500-194000   00     241.38  987.3    239.44    10.00     9.10
Fort SMITH 031028 300  194000-194500   00     241.18  987.3    239.27     9.90     9.00
Fort SMITH 031028 300  194500-195000   00     240.28  987.4    238.41     9.50     8.60
Fort SMITH 031028 300  195000-195500   00     237.38  987.4    235.56     8.20     7.30
Fort SMITH 031028 300  195500-200000   00     239.48  987.4    237.67     9.20     8.30
Fort SMITH 031028 300  200000-200500   00     240.58  987.4    238.81     9.70     8.80
Fort SMITH 031028 300  200500-201000   00     239.06  987.4    237.36     9.10     8.20
Fort SMITH 031028 300  201000-201500   00     239.44  987.5    237.79     9.30     8.40
Fort SMITH 031028 300  201500-202000   00     240.12  987.5    238.53     9.60     8.70
Fort SMITH 031028 300  202000-202500   00     238.38  987.5    236.86     8.80     7.90
Fort SMITH 031028 300  202500-203000   00     241.88  987.6    240.40    10.50     9.60
Fort SMITH 031028 300  203000-203500   00     240.36  987.6    238.94     9.80     8.90
Fort SMITH 031028 300  203500-204000   00     237.04  987.6    235.70     8.30     7.40
Fort SMITH 031028 300  204000-204500   00     239.08  987.7    237.79     9.30     8.40
Fort SMITH 031028 300  204500-205000   00     238.96  987.7    237.73     9.20     8.30
Fort SMITH 031028 300  205000-205500   00     239.16  987.7    237.99     9.40     8.49
Fort SMITH 031028 300  205500-210000   00     238.12  987.8    237.02     8.90     7.99
Fort SMITH 031028 300  210000-210500   00     238.56  987.8    237.52     9.10     8.19
Fort SMITH 031028 300  210500-211000   00     237.04  987.9    236.10     8.50     7.59
Fort SMITH 031028 300  211000-211500   00     236.56  987.9    235.71     8.30     7.39
Fort SMITH 031028 300  211500-212000   00     237.40  988.0    236.63     8.70     7.79
Fort SMITH 031028 300  212000-212500   00     238.60  988.0    237.92     9.30     8.39
Fort SMITH 031028 300  212500-213000   00     236.74  988.1    236.16     8.50     7.59
Fort SMITH 031028 300  213000-213500   00     238.12  988.1    237.62     9.20     8.29
Fort SMITH 031028 300  213500-214000   00     236.60  988.2    236.19     8.50     7.59
Fort SMITH 031028 300  214000-214500   00     236.70  988.2    236.38     8.60     7.69
Fort SMITH 031028 300  214500-215000   00     236.06  988.3    235.83     8.40     7.49
Fort SMITH 031028 300  215000-215500   00     239.02  988.3    238.88     9.80     8.89
Fort SMITH 031028 300  215500-220000   00     234.64  988.4    234.59     7.80     6.89
Fort SMITH 031028 300  220000-220500   00     236.40  988.4    236.43     8.60     7.69
Fort SMITH 031028 300  220500-221000   00     235.58  988.5    235.70     8.30     7.39
Fort SMITH 031028 300  221000-221500   00     235.80  988.5    236.01     8.40     7.49
Fort SMITH 031028 300  221500-222000   00     236.88  988.6    237.18     9.00     8.09
Fort SMITH 031028 300  222000-222500   00     235.74  988.6    236.13     8.50     7.59
Fort SMITH 031028 300  222500-223000   00     235.12  988.7    235.60     8.30     7.39
Fort SMITH 031028 300  223000-223500   00     234.92  988.7    235.48     8.20     7.29
Fort SMITH 031028 300  223500-224000   00     236.38  988.8    237.04     8.90     7.99
Fort SMITH 031028 300  224000-224500   00     236.02  988.8    236.77     8.80     7.88
Fort SMITH 031028 300  224500-225000   00     237.36  988.9    238.20     9.40     8.48
Fort SMITH 031028 300  225000-225500   00     236.66  988.9    237.58     9.20     8.28
Fort SMITH 031028 300  225500-230000   00     235.96  989.0    236.97     8.90     7.98
Fort SMITH 031028 300  230000-230500   00     235.08  989.0    236.17     8.50     7.58
Fort SMITH 031028 300  230500-231000   00     235.54  989.1    236.73     8.80     7.88
Fort SMITH 031028 300  231000-231500   00     234.22  989.1    235.49     8.20     7.28
Fort SMITH 031028 300  231500-232000   00     233.78  989.2    235.13     8.00     7.08
Fort SMITH 031028 300  232000-232500   00     235.72  989.2    237.17     9.00     8.08
Fort SMITH 031028 300  232500-233000   00     235.68  989.3    237.22     9.00     8.08
Fort SMITH 031028 300  233000-233500   00     234.24  989.3    235.86     8.40     7.48
Fort SMITH 031028 300  233500-234000   00     234.32  989.4    236.03     8.40     7.48
Fort SMITH 031028 300  234000-234500   00     232.10  989.4    233.88     7.50     6.58
Fort SMITH 031028 300  234500-235000   00     232.94  989.5    234.82     7.90     6.98
Fort SMITH 031028 300  235000-235500   00     232.30  989.5    234.26     7.60     6.68
Fort SMITH 031028 300  235500-240000   00     232.22  989.6    234.27     7.60     6.68
Fort SMITH 031029 300  000000-000500   00     232.62  989.6    234.75     7.90     6.98
Fort SMITH 031029 300  000500-001000   00     234.36  989.7    236.58     8.70     7.78
Fort SMITH 031029 300  001000-001500   00     232.70  989.7    234.98     8.00     7.08
Fort SMITH 031029 300  001500-002000   00     232.88  989.7    235.24     8.10     7.18
Fort SMITH 031029 300  002000-002500   00     231.58  989.8    234.00     7.50     6.58
Fort SMITH 031029 300  002500-003000   00     231.58  989.8    234.07     7.50     6.58
Fort SMITH 031029 300  003000-003500   00     234.04  989.9    236.63     8.70     7.78
Fort SMITH 031029 300  003500-004000   00     232.28  989.9    234.92     7.90     6.97
Fort SMITH 031029 300  004000-004500   00     230.64  990.0    233.34     7.20     6.27
Fort SMITH 031029 300  004500-005000   00     233.12  990.0    235.92     8.40     7.47
Fort SMITH 031029 300  005000-005500   00     231.12  990.0    233.97     7.50     6.57
Fort SMITH 031029 300  005500-010000   00     230.10  990.1    233.01     7.10     6.17
Fort SMITH 031029 300  010000-010500   00     231.10  990.1    234.10     7.60     6.67
Fort SMITH 031029 300  010500-011000   00     229.74  990.2    232.81     7.00     6.07
Fort SMITH 031029 300  011000-011500   00     233.22  990.2    236.42     8.60     7.67
Fort SMITH 031029 300  011500-012000   00     231.44  990.3    234.71     7.80     6.87
Fort SMITH 031029 300  012000-012500   00     229.04  990.3    232.36     6.80     5.87
Fort SMITH 031029 300  012500-013000   00     230.18  990.4    233.61     7.30     6.37
Fort SMITH 031029 300  013000-013500   00     231.02  990.4    234.55     7.80     6.87
Fort SMITH 031029 300  013500-014000   00     230.20  990.5    233.80     7.40     6.47
Fort SMITH 031029 300  014000-014500   00     229.36  990.5    233.04     7.10     6.17
Fort SMITH 031029 300  014500-015000   00     227.46  990.6    231.19     6.20     5.27
Fort SMITH 031029 300  015000-015500   00     230.56  990.6    234.43     7.70     6.77
Fort SMITH 031029 300  015500-020000   00     228.12  990.7    232.04     6.60     5.67
Fort SMITH 031029 300  020000-020500   00     228.26  990.7    232.27     6.70     5.77
Fort SMITH 031029 300  020500-021000   00     230.62  990.8    234.77     7.90     6.97
Fort SMITH 031029 300  021000-021500   00     226.70  990.8    230.89     6.10     5.17
Fort SMITH 031029 300  021500-022000   00     226.10  990.9    230.38     5.90     4.97
Fort SMITH 031029 300  022000-022500   00     227.92  991.0    232.33     6.70     5.77
Fort SMITH 031029 300  022500-023000   00     228.92  991.0    233.45     7.30     6.36
Fort SMITH 031029 300  023000-023500   00     226.42  991.1    231.01     6.10     5.16
Fort SMITH 031029 300  023500-024000   00     227.48  991.1    232.19     6.70     5.76
Fort SMITH 031029 300  024000-024500   00     228.44  991.2    233.27     7.20     6.26
Fort SMITH 031029 300  024500-025000   00     228.70  991.2    233.64     7.40     6.46
Fort SMITH 031029 300  025000-025500   00     226.98  991.3    231.98     6.60     5.66
Fort SMITH 031029 300  025500-030000   00     227.44  991.4    232.55     6.90     5.96
Fort SMITH 031029 300  030000-030500   00     228.08  991.4    233.32     7.20     6.26
Fort SMITH 031029 300  030500-031000   00     227.54  991.5    232.90     7.00     6.06
Fort SMITH 031029 300  031000-031500   00     225.24  991.6    230.68     6.00     5.06
Fort SMITH 031029 300  031500-032000   00     224.98  991.7    230.54     5.90     4.96
Fort SMITH 031029 300  032000-032500   00     225.56  991.7    231.26     6.30     5.36
Fort SMITH 031029 300  032500-033000   00     223.44  991.8    229.22     5.30     4.36
Fort SMITH 031029 300  033000-033500   00     224.96  991.9    230.91     6.10     5.16
Fort SMITH 031029 300  033500-034000   00     224.74  992.0    230.81     6.10     5.16
Fort SMITH 031029 300  034000-034500   00     224.54  992.0    230.74     6.00     5.06
Fort SMITH 031029 300  034500-035000   00     225.30  992.1    231.65     6.40     5.46
Fort SMITH 031029 300  035000-035500   00     225.34  992.2    231.82     6.50     5.56
Fort SMITH 031029 300  035500-040000   00     221.36  992.3    227.85     4.70     3.76
Fort SMITH 031029 300  040000-040500   00     223.34  992.3    230.01     5.70     4.76
Fort SMITH 031029 300  040500-041000   00     222.96  992.4    229.72     5.60     4.66
Fort SMITH 031029 300  041000-041500   00     223.62  992.4    230.50     5.90     4.96
Fort SMITH 031029 300  041500-042000   00     222.60  992.5    229.55     5.50     4.56
Fort SMITH 031029 300  042000-042500   00     223.06  992.6    230.13     5.70     4.75
Fort SMITH 031029 300  042500-043000   00     225.22  992.6    232.45     6.80     5.85
Fort SMITH 031029 300  043000-043500   00     223.56  992.7    230.84     6.10     5.15
Fort SMITH 031029 300  043500-044000   00     223.14  992.7    230.51     5.90     4.95
Fort SMITH 031029 300  044000-044500   00     224.56  992.8    232.08     6.60     5.65
Fort SMITH 031029 300  044500-045000   00     220.26  992.8    227.73     4.60     3.65
Fort SMITH 031029 300  045000-045500   00     221.24  992.9    228.85     5.20     4.25
Fort SMITH 031029 300  045500-050000   00     225.08  993.0    232.92     7.00     6.05
Fort SMITH 031029 300  050000-050500   00     222.10  993.0    229.94     5.70     4.75
Fort SMITH 031029 300  050500-051000   00     223.12  993.1    231.11     6.20     5.25
Fort SMITH 031029 300  051000-051500   00     221.46  993.2    229.51     5.50     4.55
Fort SMITH 031029 300  051500-052000   00     224.50  993.2    232.78     7.00     6.05
Fort SMITH 031029 300  052000-052500   00     221.76  993.3    230.05     5.70     4.75
Fort SMITH 031029 300  052500-053000   00     220.88  993.4    229.25     5.30     4.35
Fort SMITH 031029 300  053000-053500   00     220.96  993.4    229.45     5.40     4.45
Fort SMITH 031029 300  053500-054000   00     222.96  993.5    231.64     6.40     5.45
Fort SMITH 031029 300  054000-054500   00     220.20  993.6    228.89     5.20     4.25
Fort SMITH 031029 300  054500-055000   00     220.66  993.6    229.48     5.40     4.45
Fort SMITH 031029 300  055000-055500   00     220.86  993.7    229.80     5.60     4.65
Fort SMITH 031029 300  055500-060000   00     220.16  993.8    229.19     5.30     4.35
Fort SMITH 031029 300  060000-060500   00     221.10  993.8    230.30     5.80     4.85
Fort SMITH 031029 300  060500-061000   00     221.64  993.9    231.03     6.20     5.25
Fort SMITH 031029 300  061000-061500   00     223.50  994.0    233.12     7.10     6.15
Fort SMITH 031029 300  061500-062000   00     221.88  994.1    231.59     6.40     5.44
Fort SMITH 031029 300  062000-062500   00     221.62  994.2    231.48     6.40     5.44
Fort SMITH 031029 300  062500-063000   00     220.64  994.3    230.61     6.00     5.04
Fort SMITH 031029 300  063000-063500   00     218.06  994.4    228.08     4.80     3.84
Fort SMITH 031029 300  063500-064000   00     219.26  994.5    229.49     5.40     4.44
Fort SMITH 031029 300  064000-064500   00     213.14  994.6    223.24     2.60     1.64
Fort SMITH 031029 300  064500-065000   00     208.96  994.7    219.01     0.60    -0.36
Fort SMITH 031029 300  065000-065500   00     211.60  994.8    221.93     2.00     1.04
Fort SMITH 031029 300  065500-070000   00     209.90  994.8    220.30     1.20     0.24
Fort SMITH 031029 300  070000-070500   00     211.22  994.9    221.82     1.90     0.94
Fort SMITH 031029 300  070500-071000   00     213.32  995.0    224.15     3.00     2.04
Fort SMITH 031029 300  071000-071500   00     209.30  995.1    220.06     1.10     0.14
Fort SMITH 031029 300  071500-072000   00     212.40  995.2    223.44     2.70     1.74
Fort SMITH 031029 300  072000-072500   00     210.70  995.2    221.77     1.90     0.94
Fort SMITH 031029 300  072500-073000   00     208.10  995.3    219.16     0.70    -0.26
Fort SMITH 031029 300  073000-073500   00     206.84  995.4    217.96     0.10    -0.86
Fort SMITH 031029 300  073500-074000   00     210.78  995.5    222.23     2.10     1.14
Fort SMITH 031029 300  074000-074500   00     211.00  995.5    222.59     2.30     1.34
Fort SMITH 031029 300  074500-075000   00     212.96  995.6    224.78     3.30     2.34
Fort SMITH 031029 300  075000-075500   00     209.34  995.7    221.09     1.60     0.64
Fort SMITH 031029 300  075500-080000   00     206.28  995.8    217.98     0.20    -0.76
Fort SMITH 031029 300  080000-080500   00     209.96  995.8    222.00     2.00     1.04
Fort SMITH 031029 300  080500-081000   00     208.42  995.9    220.51     1.30    -9999
Fort SMITH 031029 300  081000-081500   00     206.62  996.0    218.74     0.50    -9999
Fort SMITH 031029 300  081500-082000   00     206.42  996.1    218.66     0.50    -9999
Fort SMITH 031029 300  082000-082500   00     206.02  996.2    218.38     0.30    -9999
Fort SMITH 031029 300  082500-083000   00     205.40  996.3    217.86     0.10    -9999
Fort SMITH 031029 300  083000-083500   00     205.32  996.3    217.91     0.10    -9999
Fort SMITH 031029 300  083500-084000   00     203.46  996.4    216.07    -0.70    -9999
Fort SMITH 031029 300  084000-084500   00     205.58  996.5    218.46     0.40    -9999
Fort SMITH 031029 300  084500-085000   00     205.18  996.6    218.17     0.20    -9999
Fort SMITH 031029 300  085000-085500   00     205.38  996.7    218.52     0.40    -9999
Fort SMITH 031029 300  085500-090000   00     200.26  996.8    213.20    -2.00    -9999
Fort SMITH 031029 300  090000-090500   00     201.50  996.8    214.65    -1.40    -9999
Fort SMITH 031029 300  090500-091000   00     201.40  996.9    214.66    -1.40    -9999
Fort SMITH 031029 300  091000-091500   00     201.86  997.0    215.28    -1.10    -9999
Fort SMITH 031029 300  091500-092000   00     205.08  997.1    218.83     0.50    -9999
Fort SMITH 031029 300  092000-092500   00     202.12  997.1    215.80    -0.80    -9999
Fort SMITH 031029 300  092500-093000   00     202.34  997.2    216.15    -0.70    -9999
Fort SMITH 031029 300  093000-093500   00     202.36  997.3    216.30    -0.60    -9999
Fort SMITH 031029 300  093500-094000   00     204.40  997.4    218.60     0.40    -9999
