MOSCOW     LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSCOW     INSTRUMENT   24NM64    NEUTRON MONITOR	
MOSCOW     STANDARD PRESSURE    988.9   mb     COEFFICIENT   -0.71     % / mb
MOSCOW     PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
MOSCOW     PRE-INCREASE AVERAGE COUNTING RATE    150.82      COUNTS PER SECOND
MOSCOW     TIME INTERVALS    300         3600     
MOSCOW     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSCOW     031028 300  152000-152500   00     161.33  985.8    157.77     4.60     4.60
MOSCOW     031028 300  152500-153000   00     160.01  985.8    156.47     3.70     3.70
MOSCOW     031028 300  153000-153500   00     160.14  985.7    156.60     3.80     3.80
MOSCOW     031028 300  153500-154000   00     156.77  985.7    153.29     1.60     1.60
MOSCOW     031028 300  154000-154500   00     160.18  985.7    156.61     3.80     3.80
MOSCOW     031028 300  154500-155000   00     159.98  985.7    156.41     3.70     3.70
MOSCOW     031028 300  155000-155500   00     159.12  985.7    155.56     3.10     3.10
MOSCOW     031028 300  155500-160000   00     161.83  985.7    158.20     4.90     4.90
MOSCOW     031028 300  160000-160500   00     159.65  985.7    156.05     3.50     3.50
MOSCOW     031028 300  160500-161000   00     160.23  985.7    156.59     3.80     3.80
MOSCOW     031028 300  161000-161500   00     160.35  985.6    156.68     3.90     3.90
MOSCOW     031028 300  161500-162000   00     159.99  985.6    156.30     3.60     3.60
MOSCOW     031028 300  162000-162500   00     158.59  985.6    154.91     2.70     2.70
MOSCOW     031028 300  162500-163000   00     157.68  985.6    153.99     2.10     2.10
MOSCOW     031028 300  163000-163500   00     160.47  985.5    156.69     3.90     3.90
MOSCOW     031028 300  163500-164000   00     159.87  985.5    156.07     3.50     3.50
MOSCOW     031028 300  164000-164500   00     160.03  985.5    156.21     3.60     3.60
MOSCOW     031028 300  164500-165000   00     158.92  985.5    155.09     2.80     2.80
MOSCOW     031028 300  165000-165500   00     157.87  985.4    154.03     2.10     2.10
MOSCOW     031028 300  165500-170000   00     159.43  985.4    155.53     3.10     3.10
MOSCOW     031028 300  170000-170500   00     160.88  985.4    156.93     4.10     4.10
MOSCOW     031028 300  170500-171000   00     161.28  985.4    157.34     4.30     4.30
MOSCOW     031028 300  171000-171500   00     160.18  985.4    156.28     3.60     3.60
MOSCOW     031028 300  171500-172000   00     161.26  985.4    157.33     4.30     4.30
MOSCOW     031028 300  172000-172500   00     161.21  985.4    157.30     4.30     4.30
MOSCOW     031028 300  172500-173000   00     160.16  985.4    156.28     3.60     3.60
MOSCOW     031028 300  173000-173500   00     159.76  985.5    155.90     3.40     3.40
MOSCOW     031028 300  173500-174000   00     159.82  985.5    155.97     3.40     3.40
MOSCOW     031028 300  174000-174500   00     159.73  985.5    155.88     3.40     3.40
MOSCOW     031028 300  174500-175000   00     160.23  985.5    156.38     3.70     3.70
MOSCOW     031028 300  175000-175500   00     161.06  985.5    157.21     4.20     4.20
MOSCOW     031028 300  175500-180000   00     161.35  985.5    157.49     4.40     4.40
MOSCOW     031028 300  180000-180500   00     159.01  985.5    155.22     2.90     2.90
MOSCOW     031028 300  180500-181000   00     160.58  985.5    156.78     4.00     4.00
MOSCOW     031028 300  181000-181500   00     159.42  985.5    155.66     3.20     3.20
MOSCOW     031028 300  181500-182000   00     160.01  985.6    156.26     3.60     3.60
MOSCOW     031028 300  182000-182500   00     158.43  985.6    154.73     2.60     2.60
MOSCOW     031028 300  182500-183000   00     161.14  985.6    157.40     4.40     4.40
MOSCOW     031028 300  183000-183500   00     158.05  985.6    154.39     2.40     2.40
MOSCOW     031028 300  183500-184000   00     159.99  985.6    156.31     3.60     3.60
MOSCOW     031028 300  184000-184500   00     160.42  985.6    156.75     3.90     3.90
MOSCOW     031028 300  184500-185000   00     159.87  985.7    156.23     3.60     3.60
MOSCOW     031028 300  185000-185500   00     157.74  985.7    154.17     2.20     2.20
MOSCOW     031028 300  185500-190000   00     159.51  985.7    155.92     3.40     3.40
MOSCOW     031028 300  190000-190500   00     158.45  985.7    154.88     2.70     2.70
MOSCOW     031028 300  190500-191000   00     158.01  985.7    154.42     2.40     2.40
MOSCOW     031028 300  191000-191500   00     157.97  985.6    154.36     2.30     2.30
MOSCOW     031028 300  191500-192000   00     158.83  985.6    155.17     2.90     2.90
MOSCOW     031028 300  192000-192500   00     156.77  985.6    153.13     1.50     1.50
MOSCOW     031028 300  192500-193000   00     160.18  985.6    156.43     3.70     3.70
MOSCOW     031028 300  193000-193500   00     158.69  985.5    154.95     2.70     2.70
MOSCOW     031028 300  193500-194000   00     160.06  985.5    156.26     3.60     3.60
MOSCOW     031028 300  194000-194500   00     159.58  985.5    155.76     3.30     3.30
MOSCOW     031028 300  194500-195000   00     157.64  985.5    153.84     2.00     2.00
MOSCOW     031028 300  195000-195500   00     158.08  985.4    154.25     2.30     2.30
MOSCOW     031028 300  195500-200000   00     158.73  985.4    154.84     2.70     2.70
MOSCOW     031028 300  200000-200500   00     158.80  985.4    154.90     2.70     2.70
MOSCOW     031028 300  200500-201000   00     159.31  985.4    155.41     3.00     3.00
MOSCOW     031028 300  201000-201500   00     159.42  985.4    155.53     3.10     3.10
MOSCOW     031028 300  201500-202000   00     160.08  985.4    156.19     3.60     3.60
MOSCOW     031028 300  202000-202500   00     159.54  985.4    155.66     3.20     3.20
MOSCOW     031028 300  202500-203000   00     158.46  985.4    154.62     2.50     2.50
MOSCOW     031028 300  203000-203500   00     158.64  985.5    154.80     2.60     2.60
MOSCOW     031028 300  203500-204000   00     157.88  985.5    154.08     2.20     2.20
MOSCOW     031028 300  204000-204500   00     157.45  985.5    153.66     1.90     1.90
MOSCOW     031028 300  204500-205000   00     158.37  985.5    154.57     2.50     2.50
MOSCOW     031028 300  205000-205500   00     157.73  985.5    153.96     2.10     2.10
MOSCOW     031028 300  205500-210000   00     158.95  985.5    155.15     2.90     2.90
MOSCOW     031028 300  210000-210500   00     159.26  985.5    155.46     3.10     3.10
MOSCOW     031028 300  210500-211000   00     158.82  985.5    155.03     2.80     2.80
MOSCOW     031028 300  211000-211500   00     158.75  985.5    154.96     2.70     2.70
MOSCOW     031028 300  211500-212000   00     158.57  985.5    154.78     2.60     2.60
MOSCOW     031028 300  212000-212500   00     158.33  985.5    154.55     2.50     2.50
MOSCOW     031028 300  212500-213000   00     157.62  985.5    153.86     2.00     2.00
MOSCOW     031028 300  213000-213500   00     159.26  985.5    155.47     3.10     3.10
MOSCOW     031028 300  213500-214000   00     157.61  985.5    153.85     2.00     2.00
MOSCOW     031028 300  214000-214500   00     158.72  985.5    154.93     2.70     2.70
MOSCOW     031028 300  214500-215000   00     156.87  985.5    153.13     1.50     1.50
MOSCOW     031028 300  215000-215500   00     157.00  985.5    153.25     1.60     1.60
MOSCOW     031028 300  215500-220000   00     159.02  985.5    155.22     2.90     2.90
MOSCOW     031028 300  220000-220500   00     158.20  985.5    154.43     2.40     2.40
MOSCOW     031028 300  220500-221000   00     156.75  985.5    153.01     1.50     1.50
MOSCOW     031028 300  221000-221500   00     158.88  985.5    155.09     2.80     2.80
MOSCOW     031028 300  221500-222000   00     158.65  985.5    154.86     2.70     2.70
MOSCOW     031028 300  222000-222500   00     158.71  985.5    154.93     2.70     2.70
MOSCOW     031028 300  222500-223000   00     158.03  985.5    154.26     2.30     2.30
MOSCOW     031028 300  223000-223500   00     157.29  985.5    153.54     1.80     1.80
MOSCOW     031028 300  223500-224000   00     157.82  985.5    154.06     2.10     2.10
MOSCOW     031028 300  224000-224500   00     158.14  985.5    154.37     2.40     2.40
MOSCOW     031028 300  224500-225000   00     158.67  985.5    154.89     2.70     2.70
MOSCOW     031028 300  225000-225500   00     157.46  985.5    153.70     1.90     1.90
MOSCOW     031028 300  225500-230000   00     156.33  985.5    152.60     1.20     1.20
MOSCOW     031028 300  230000-230500   00     159.45  985.5    155.66     3.20     3.20
MOSCOW     031028 300  230500-231000   00     158.55  985.5    154.80     2.60     2.60
MOSCOW     031028 300  231000-231500   00     156.74  985.5    153.04     1.50     1.50
MOSCOW     031028 300  231500-232000   00     156.62  985.6    152.94     1.40     1.40
MOSCOW     031028 300  232000-232500   00     156.93  985.6    153.26     1.60     1.60
MOSCOW     031028 300  232500-233000   00     157.25  985.6    153.59     1.80     1.80
MOSCOW     031028 300  233000-233500   00     155.18  985.6    151.60     0.50     0.50
MOSCOW     031028 300  233500-234000   00     157.91  985.6    154.27     2.30     2.30
MOSCOW     031028 300  234000-234500   00     157.61  985.6    154.01     2.10     2.10
MOSCOW     031028 300  234500-235000   00     157.49  985.7    153.90     2.00     2.00
MOSCOW     031028 300  235000-235500   00     157.22  985.7    153.67     1.90     1.90
MOSCOW     031028 300  235500-240000   00     157.24  985.7    153.70     1.90     1.90
MOSCOW     031029 300  000000-000500   00     158.03  985.7    154.49     2.40     2.40
MOSCOW     031029 300  000500-001000   00     157.32  985.7    153.80     2.00     2.00
MOSCOW     031029 300  001000-001500   00     157.79  985.7    154.27     2.30     2.30
MOSCOW     031029 300  001500-002000   00     156.90  985.7    153.41     1.70     1.70
MOSCOW     031029 300  002000-002500   00     159.35  985.7    155.81     3.30     3.30
MOSCOW     031029 300  002500-003000   00     160.35  985.7    156.80     4.00     4.00
MOSCOW     031029 300  003000-003500   00     159.06  985.8    155.55     3.10     3.10
MOSCOW     031029 300  003500-004000   00     157.71  985.8    154.23     2.30     2.30
MOSCOW     031029 300  004000-004500   00     157.93  985.8    154.46     2.40     2.40
MOSCOW     031029 300  004500-005000   00     157.41  985.8    153.96     2.10     2.10
MOSCOW     031029 300  005000-005500   00     156.84  985.8    153.41     1.70     1.70
MOSCOW     031029 300  005500-010000   00     159.91  985.8    156.42     3.70     3.70
MOSCOW     031029 300  010000-010500   00     157.72  985.8    154.30     2.30     2.30
MOSCOW     031029 300  010500-011000   00     160.09  985.9    156.68     3.90     3.90
MOSCOW     031029 300  011000-011500   00     157.63  985.9    154.33     2.30     2.30
MOSCOW     031029 300  011500-012000   00     156.00  986.0    152.79     1.30     1.30
MOSCOW     031029 300  012000-012500   00     158.72  986.0    155.50     3.10     3.10
MOSCOW     031029 300  012500-013000   00     158.77  986.1    155.61     3.20     3.20
MOSCOW     031029 300  013000-013500   00     157.60  986.1    154.52     2.50     2.50
MOSCOW     031029 300  013500-014000   00     158.78  986.2    155.74     3.30     3.30
MOSCOW     031029 300  014000-014500   00     160.40  986.2    157.37     4.30     4.30
MOSCOW     031029 300  014500-015000   00     158.58  986.3    155.64     3.20     3.20
MOSCOW     031029 300  015000-015500   00     158.15  986.3    155.28     3.00     3.00
MOSCOW     031029 300  015500-020000   00     157.12  986.4    154.32     2.30     2.30
MOSCOW     031029 300  020000-020500   00     158.83  986.4    156.04     3.50     3.50
MOSCOW     031029 300  020500-021000   00     154.75  986.4    152.04     0.80     0.80
MOSCOW     031029 300  021000-021500   00     157.23  986.4    154.49     2.40     2.40
MOSCOW     031029 300  021500-022000   00     158.34  986.4    155.58     3.20     3.20
MOSCOW     031029 300  022000-022500   00     156.67  986.4    153.96     2.10     2.10
MOSCOW     031029 300  022500-023000   00     156.25  986.4    153.55     1.80     1.80
MOSCOW     031029 300  023000-023500   00     156.71  986.5    154.01     2.10     2.10
MOSCOW     031029 300  023500-024000   00     157.30  986.5    154.60     2.50     2.50
MOSCOW     031029 300  024000-024500   00     155.71  986.5    153.05     1.50     1.50
MOSCOW     031029 300  024500-025000   00     155.63  986.5    152.97     1.40     1.40
MOSCOW     031029 300  025000-025500   00     156.00  986.5    153.35     1.70     1.70
MOSCOW     031029 300  025500-030000   00     158.34  986.5    155.65     3.20     3.20
MOSCOW     031029 300  030000-030500   00     156.07  986.5    153.45     1.70     1.70
MOSCOW     031029 300  030500-031000   00     156.84  986.6    154.27     2.30     2.30
MOSCOW     031029 300  031000-031500   00     159.14  986.6    156.58     3.80     3.80
MOSCOW     031029 300  031500-032000   00     158.02  986.7    155.54     3.10     3.10
MOSCOW     031029 300  032000-032500   00     158.25  986.7    155.82     3.30     3.30
MOSCOW     031029 300  032500-033000   00     159.02  986.8    156.63     3.90     3.90
MOSCOW     031029 300  033000-033500   00     158.31  986.8    155.99     3.40     3.40
MOSCOW     031029 300  033500-034000   00     158.38  986.9    156.11     3.50     3.50
MOSCOW     031029 300  034000-034500   00     157.69  986.9    155.49     3.10     3.10
MOSCOW     031029 300  034500-035000   00     157.11  987.0    154.98     2.80     2.80
MOSCOW     031029 300  035000-035500   00     158.19  987.0    156.10     3.50     3.50
MOSCOW     031029 300  035500-040000   00     156.88  987.1    154.86     2.70     2.70
MOSCOW     031029 300  040000-040500   00     156.51  987.1    154.56     2.50     2.50
MOSCOW     031029 300  040500-041000   00     155.68  987.2    153.81     2.00     2.00
MOSCOW     031029 300  041000-041500   00     157.81  987.3    156.00     3.40     3.40
MOSCOW     031029 300  041500-042000   00     156.56  987.4    154.85     2.70     2.70
MOSCOW     031029 300  042000-042500   00     155.72  987.4    154.11     2.20     2.20
MOSCOW     031029 300  042500-043000   00     156.56  987.5    155.02     2.80     2.80
MOSCOW     031029 300  043000-043500   00     157.60  987.6    156.13     3.50     3.50
MOSCOW     031029 300  043500-044000   00     156.04  987.7    154.67     2.60     2.60
MOSCOW     031029 300  044000-044500   00     156.88  987.7    155.58     3.20     3.20
MOSCOW     031029 300  044500-045000   00     155.45  987.8    154.25     2.30     2.30
MOSCOW     031029 300  045000-045500   00     155.97  987.9    154.85     2.70     2.70
MOSCOW     031029 300  045500-050000   00     152.24  988.0    151.21     0.30     0.30
MOSCOW     031029 300  050000-050500   00     156.15  988.0    155.18     2.90     2.90
MOSCOW     031029 300  050500-051000   00     155.52  988.1    154.60     2.50     2.50
MOSCOW     031029 300  051000-051500   00     155.36  988.1    154.50     2.40     2.40
MOSCOW     031029 300  051500-052000   00     154.00  988.2    153.20     1.60     1.60
MOSCOW     031029 300  052000-052500   00     155.06  988.2    154.30     2.30     2.30
MOSCOW     031029 300  052500-053000   00     158.66  988.3    157.95     4.70     4.70
MOSCOW     031029 300  053000-053500   00     157.16  988.3    156.51     3.80     3.80
MOSCOW     031029 300  053500-054000   00     157.23  988.4    156.64     3.90     3.90
MOSCOW     031029 300  054000-054500   00     155.13  988.4    154.60     2.50     2.50
MOSCOW     031029 300  054500-055000   00     155.63  988.5    155.16     2.90     2.90
MOSCOW     031029 300  055000-055500   00     157.99  988.5    157.57     4.50     4.50
MOSCOW     031029 300  055500-060000   00     158.02  988.6    157.65     4.50     4.50
MOSCOW     031029 300  060000-060500   00     157.47  988.6    157.16     4.20     4.20
MOSCOW     031029 300  060500-061000   00     157.74  988.7    157.49     4.40     4.40
MOSCOW     031029 300  061000-061500   00     158.93  988.7    158.75     5.30     5.30
MOSCOW     031029 300  061500-062000   00     157.56  988.8    157.45     4.40     4.40
MOSCOW     031029 300  062000-062500   00     157.29  988.9    157.25     4.30     4.30
MOSCOW     031029 300  062500-063000   00     156.97  988.9    156.99     4.10     4.10
MOSCOW     031029 300  063000-063500   00     156.92  989.0    157.00     4.10     4.10
MOSCOW     031029 300  063500-064000   00     154.51  989.0    154.65     2.50     2.50
MOSCOW     031029 300  064000-064500   00     149.32  989.1    149.53    -0.90    -0.90
MOSCOW     031029 300  064500-065000   00     151.07  989.1    151.33     0.30     0.30
MOSCOW     031029 300  065000-065500   00     151.55  989.2    151.88     0.70     0.70
MOSCOW     031029 300  065500-070000   00     151.80  989.3    152.19     0.90     0.90
MOSCOW     031029 300  070000-070500   00     151.41  989.3    151.86     0.70    -9999
MOSCOW     031029 300  070500-071000   00     152.61  989.4    153.12     1.50    -9999
MOSCOW     031029 300  071000-071500   00     150.54  989.4    151.10     0.20    -9999
MOSCOW     031029 300  071500-072000   00     153.40  989.5    154.02     2.10    -9999
MOSCOW     031029 300  072000-072500   00     148.23  989.5    148.88    -1.30    -9999
MOSCOW     031029 300  072500-073000   00     149.31  989.6    150.02    -0.50    -9999
MOSCOW     031029 300  073000-073500   00     150.83  989.6    151.61     0.50    -9999
MOSCOW     031029 300  073500-074000   00     148.66  989.7    149.47    -0.90    -9999
MOSCOW     031029 300  074000-074500   00     149.85  989.7    150.72    -0.10    -9999
MOSCOW     031029 300  074500-075000   00     151.59  989.8    152.53     1.10    -9999
MOSCOW     031029 300  075000-075500   00     150.30  989.8    151.28     0.30    -9999
MOSCOW     031029 300  075500-080000   00     151.51  989.9    152.56     1.20    -9999
MOSCOW     031029 300  080000-080500   00     150.86  989.9    151.93     0.70    -9999
MOSCOW     031029 300  080500-081000   00     153.98  989.9    155.08     2.80    -9999
MOSCOW     031029 300  081000-081500   00     151.44  989.9    152.52     1.10    -9999
MOSCOW     031029 300  081500-082000   00     151.26  989.9    152.34     1.00    -9999
MOSCOW     031029 300  082000-082500   00     149.00  989.9    150.06    -0.50    -9999
MOSCOW     031029 300  082500-083000   00     150.14  989.9    151.21     0.30    -9999
MOSCOW     031029 300  083000-083500   00     149.01  989.9    150.07    -0.50    -9999
MOSCOW     031029 300  083500-084000   00     151.05  989.9    152.13     0.90    -9999
MOSCOW     031029 300  084000-084500   00     151.06  989.9    152.14     0.90    -9999
MOSCOW     031029 300  084500-085000   00     152.53  989.9    153.62     1.90    -9999
MOSCOW     031029 300  085000-085500   00     152.94  989.9    154.03     2.10    -9999
MOSCOW     031029 300  085500-090000   00     151.20  989.9    152.28     1.00    -9999
MOSCOW     031029 300  090000-090500   00     148.73  989.9    149.80    -0.70    -9999
