Fort SMITH LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
Fort SMITH INSTRUMENT   18NM64    NEUTRON MONITOR     	
Fort SMITH STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
Fort SMITH PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
Fort SMITH PRE-INCREASE AVERAGE COUNTING RATE    215.82      COUNTS PER SECOND
Fort SMITH TIME INTERVALS    300         3600     
Fort SMITH SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
Fort SMITH 120517 300  023000-023500   00     274.78  984.7    221.85     2.80     2.80
Fort SMITH 120517 300  023500-024000   00     276.12  984.7    222.91     3.30     3.30
Fort SMITH 120517 300  024000-024500   00     275.51  984.7    222.42     3.10     3.10
Fort SMITH 120517 300  024500-025000   00     275.56  984.8    222.53     3.10     3.10
Fort SMITH 120517 300  025000-025500   00     275.64  984.8    222.66     3.20     3.20
Fort SMITH 120517 300  025500-030000   00     271.89  984.8    219.68     1.80     1.80
Fort SMITH 120517 300  030000-030500   00     270.86  984.9    218.90     1.40     1.40
Fort SMITH 120517 300  030500-031000   00     272.31  984.9    220.15     2.00     2.00
Fort SMITH 120517 300  031000-031500   00     272.58  985.0    220.45     2.10     2.10
Fort SMITH 120517 300  031500-032000   00     271.29  985.0    219.46     1.70     1.70
Fort SMITH 120517 300  032000-032500   00     274.72  985.0    222.26     3.00     3.00
Fort SMITH 120517 300  032500-033000   00     271.19  985.0    219.37     1.60     1.60
Fort SMITH 120517 300  033000-033500   00     273.49  984.9    221.15     2.50     2.50
Fort SMITH 120517 300  033500-034000   00     272.45  984.9    220.33     2.10     2.10
Fort SMITH 120517 300  034000-034500   00     273.25  984.9    220.96     2.40     2.40
Fort SMITH 120517 300  034500-035000   00     274.92  984.9    222.30     3.00     3.00
Fort SMITH 120517 300  035000-035500   00     271.47  984.9    219.52     1.70     1.70
Fort SMITH 120517 300  035500-040000   00     270.63  984.9    218.85     1.40     1.40
Fort SMITH 120517 300  040000-040500   00     269.69  985.0    218.16     1.10     1.10
Fort SMITH 120517 300  040500-041000   00     270.94  985.0    219.25     1.60     1.60
Fort SMITH 120517 300  041000-041500   00     269.05  985.1    217.78     0.90     0.90
Fort SMITH 120517 300  041500-042000   00     269.23  985.1    217.91     1.00     1.00
Fort SMITH 120517 300  042000-042500   00     270.30  985.1    218.81     1.40     1.40
Fort SMITH 120517 300  042500-043000   00     269.87  985.1    218.44     1.20     1.20
Fort SMITH 120517 300  043000-043500   00     269.98  985.0    218.48     1.20     1.20
Fort SMITH 120517 300  043500-044000   00     268.07  985.0    216.91     0.50     0.50
Fort SMITH 120517 300  044000-044500   00     269.77  985.0    218.31     1.20     1.20
Fort SMITH 120517 300  044500-045000   00     267.09  985.0    216.09     0.10     0.10
Fort SMITH 120517 300  045000-045500   00     271.34  985.0    219.45     1.70     1.70
Fort SMITH 120517 300  045500-050000   00     271.02  984.9    219.14     1.50     1.50
Fort SMITH 120517 300  050000-050500   00     268.07  984.9    216.71     0.40     0.40
Fort SMITH 120517 300  050500-051000   00     270.03  984.9    218.33     1.20     1.20
Fort SMITH 120517 300  051000-051500   00     270.86  984.9    219.03     1.50     1.50
Fort SMITH 120517 300  051500-052000   00     268.66  985.0    217.27     0.70     0.70
Fort SMITH 120517 300  052000-052500   00     269.59  985.0    218.05     1.00     1.00
Fort SMITH 120517 300  052500-053000   00     268.42  985.0    217.12     0.60     0.60
Fort SMITH 120517 300  053000-053500   00     270.18  985.0    218.54     1.30     1.30
Fort SMITH 120517 300  053500-054000   00     269.53  985.0    218.03     1.00     1.00
Fort SMITH 120517 300  054000-054500   00     268.87  985.0    217.55     0.80     0.80
Fort SMITH 120517 300  054500-055000   00     271.56  985.1    219.79     1.80     1.80
Fort SMITH 120517 300  055000-055500   00     267.73  985.1    216.75     0.40     0.40
Fort SMITH 120517 300  055500-060000   00     268.77  985.1    217.64     0.80     0.80
Fort SMITH 120517 300  060000-060500   00     268.15  985.1    217.15     0.60     0.60
Fort SMITH 120517 300  060500-061000   00     267.66  985.1    216.71     0.40     0.40
Fort SMITH 120517 300  061000-061500   00     267.63  985.1    216.63     0.40     0.40
Fort SMITH 120517 300  061500-062000   00     266.79  985.0    215.87     0.00     0.00
Fort SMITH 120517 300  062000-062500   00     266.58  985.0    215.66    -0.10    -0.10
Fort SMITH 120517 300  062500-063000   00     269.34  985.0    217.86     0.90     0.90
Fort SMITH 120517 300  063000-063500   00     268.52  985.0    217.17     0.60     0.60
Fort SMITH 120517 300  063500-064000   00     268.25  985.0    216.96     0.50     0.50
Fort SMITH 120517 300  064000-064500   00     269.00  984.9    217.52     0.80     0.80
Fort SMITH 120517 300  064500-065000   00     267.90  984.9    216.53     0.30     0.30
Fort SMITH 120517 300  065000-065500   00     266.74  984.8    215.55    -0.10    -0.10
Fort SMITH 120517 300  065500-070000   00     270.74  984.8    218.78     1.40     1.40
Fort SMITH 120517 300  070000-070500   00     269.63  984.9    217.97     1.00     1.00
Fort SMITH 120517 300  070500-071000   00     269.01  984.9    217.43     0.70     0.70
Fort SMITH 120517 300  071000-071500   00     266.05  984.8    215.00    -0.40    -0.40
Fort SMITH 120517 300  071500-072000   00     267.57  984.8    216.22     0.20     0.20
Fort SMITH 120517 300  072000-072500   00     265.67  984.9    214.70    -0.50    -0.50
Fort SMITH 120517 300  072500-073000   00     269.12  984.8    217.47     0.80     0.80
Fort SMITH 120517 300  073000-073500   00     267.84  984.9    216.46     0.30     0.30
Fort SMITH 120517 300  073500-074000   00     269.61  984.9    217.93     1.00     1.00
Fort SMITH 120517 300  074000-074500   00     268.11  984.9    216.74     0.40     0.40
Fort SMITH 120517 300  074500-075000   00     268.42  984.9    217.00     0.50     0.50
Fort SMITH 120517 300  075000-075500   00     268.32  984.9    216.89     0.50     0.50
Fort SMITH 120517 300  075500-080000   00     266.38  984.9    215.35    -0.20    -0.20
Fort SMITH 120517 300  080000-080500   00     266.38  984.9    215.33    -0.20    -9999
Fort SMITH 120517 300  080500-081000   00     266.50  984.9    215.46    -0.20    -9999
Fort SMITH 120517 300  081000-081500   00     267.88  985.0    216.65     0.40    -9999
Fort SMITH 120517 300  081500-082000   00     265.52  985.0    214.75    -0.50    -9999
Fort SMITH 120517 300  082000-082500   00     267.04  984.9    215.97     0.10    -9999
Fort SMITH 120517 300  082500-083000   00     266.25  984.9    215.25    -0.30    -9999
Fort SMITH 120517 300  083000-083500   00     268.59  984.9    217.09     0.60    -9999
Fort SMITH 120517 300  083500-084000   00     265.32  984.8    214.41    -0.70    -9999
Fort SMITH 120517 300  084000-084500   00     268.13  984.8    216.66     0.40    -9999
Fort SMITH 120517 300  084500-085000   00     267.55  984.8    216.17     0.20    -9999
Fort SMITH 120517 300  085000-085500   00     266.37  984.8    215.20    -0.30    -9999
Fort SMITH 120517 300  085500-090000   00     266.56  984.8    215.33    -0.20    -9999
Fort SMITH 120517 300  090000-090500   00     267.74  984.8    216.24     0.20    -9999
Fort SMITH 120517 300  090500-091000   00     265.18  984.7    214.11    -0.80    -9999
Fort SMITH 120517 300  091000-091500   00     266.82  984.8    215.50    -0.10    -9999
Fort SMITH 120517 300  091500-092000   00     265.18  984.8    214.17    -0.80    -9999
Fort SMITH 120517 300  092000-092500   00     268.86  984.8    217.11     0.60    -9999
Fort SMITH 120517 300  092500-093000   00     268.34  984.8    216.77     0.40    -9999
Fort SMITH 120517 300  093000-093500   00     267.61  984.8    216.24     0.20    -9999
Fort SMITH 120517 300  093500-094000   00     265.85  984.8    214.79    -0.50    -9999
Fort SMITH 120517 300  094000-094500   00     270.58  984.8    218.62     1.30    -9999
Fort SMITH 120517 300  094500-095000   00     266.41  984.8    215.29    -0.20    -9999
Fort SMITH 120517 300  095000-095500   00     268.67  984.9    217.13     0.60    -9999
Fort SMITH 120517 300  095500-100000   00     266.80  984.8    215.60    -0.10    -9999
Fort SMITH 120517 300  100000-100500   00     267.24  984.8    215.97     0.10    -9999
Fort SMITH 120517 300  100500-101000   00     268.47  984.8    216.92     0.50    -9999
Fort SMITH 120517 300  101000-101500   00     269.92  984.8    218.07     1.00    -9999
Fort SMITH 120517 300  101500-102000   00     268.27  984.8    216.72     0.40    -9999
Fort SMITH 120517 300  102000-102500   00     268.71  984.8    217.02     0.60    -9999
Fort SMITH 120517 300  102500-103000   00     267.41  984.8    215.97     0.10    -9999
Fort SMITH 120517 300  103000-103500   00     266.65  984.8    215.39    -0.20    -9999
Fort SMITH 120517 300  103500-104000   00     267.86  984.8    216.35     0.20    -9999
Fort SMITH 120517 300  104000-104500   00     267.32  984.7    215.82     0.00    -9999
Fort SMITH 120517 300  104500-105000   00     265.14  984.7    214.02    -0.80    -9999
Fort SMITH 120517 300  105000-105500   00     268.68  984.6    216.76     0.40    -9999
Fort SMITH 120517 300  105500-110000   00     268.64  984.6    216.66     0.40    -9999
Fort SMITH 120517 300  110000-110500   00     266.93  984.6    215.24    -0.30    -9999
Fort SMITH 120517 300  110500-111000   00     265.37  984.5    213.96    -0.90    -9999
Fort SMITH 120517 300  111000-111500   00     269.91  984.5    217.60     0.80    -9999
Fort SMITH 120517 300  111500-112000   00     268.64  984.6    216.61     0.40    -9999
Fort SMITH 120517 300  112000-112500   00     268.55  984.5    216.54     0.30    -9999
Fort SMITH 120517 300  112500-113000   00     267.90  984.6    216.01     0.10    -9999
Fort SMITH 120517 300  113000-113500   00     268.03  984.6    216.17     0.20    -9999
Fort SMITH 120517 300  113500-114000   00     268.65  984.6    216.65     0.40    -9999
Fort SMITH 120517 300  114000-114500   00     268.99  984.6    216.92     0.50    -9999
Fort SMITH 120517 300  114500-115000   00     264.25  984.6    213.08    -1.30    -9999
Fort SMITH 120517 300  115000-115500   00     269.98  984.5    217.69     0.90    -9999
Fort SMITH 120517 300  115500-120000   00     268.18  984.6    216.31     0.20    -9999
Fort SMITH 120517 300  120000-120500   00     266.85  984.6    215.19    -0.30    -9999
Fort SMITH 120517 300  120500-121000   00     267.99  984.6    216.17     0.20    -9999
Fort SMITH 120517 300  121000-121500   00     267.19  984.6    215.57    -0.10    -9999
Fort SMITH 120517 300  121500-122000   00     266.01  984.6    214.64    -0.50    -9999
Fort SMITH 120517 300  122000-122500   00     267.56  984.7    215.94     0.10    -9999
Fort SMITH 120517 300  122500-123000   00     270.00  984.7    217.94     1.00    -9999
Fort SMITH 120517 300  123000-123500   00     267.39  984.7    215.89     0.00    -9999
Fort SMITH 120517 300  123500-124000   00     266.69  984.7    215.33    -0.20    -9999
Fort SMITH 120517 300  124000-124500   00     265.08  984.7    214.01    -0.80    -9999
Fort SMITH 120517 300  124500-125000   00     265.87  984.7    214.62    -0.60    -9999
Fort SMITH 120517 300  125000-125500   00     270.65  984.7    218.52     1.30    -9999
Fort SMITH 120517 300  125500-130000   00     267.79  984.7    216.25     0.20    -9999
Fort SMITH 120517 300  130000-130500   00     264.44  984.7    213.52    -1.10    -9999
Fort SMITH 120517 300  130500-131000   00     270.53  984.7    218.33     1.20    -9999
Fort SMITH 120517 300  131000-131500   00     268.92  984.7    217.04     0.60    -9999
Fort SMITH 120517 300  131500-132000   00     269.65  984.7    217.67     0.90    -9999
Fort SMITH 120517 300  132000-132500   00     268.01  984.7    216.39     0.30    -9999
Fort SMITH 120517 300  132500-133000   00     268.32  984.8    216.73     0.40    -9999
Fort SMITH 120517 300  133000-133500   00     267.63  984.8    216.19     0.20    -9999
Fort SMITH 120517 300  133500-134000   00     267.85  984.8    216.37     0.30    -9999
Fort SMITH 120517 300  134000-134500   00     267.79  984.8    216.28     0.20    -9999
Fort SMITH 120517 300  134500-135000   00     269.60  984.8    217.77     0.90    -9999
Fort SMITH 120517 300  135000-135500   00     267.79  984.8    216.31     0.20    -9999
Fort SMITH 120517 300  135500-140000   00     268.39  984.8    216.79     0.40    -9999
Fort SMITH 120517 300  140000-140500   00     268.33  984.8    216.72     0.40    -9999
Fort SMITH 120517 300  140500-141000   00     266.81  984.7    215.43    -0.20    -9999
Fort SMITH 120517 300  141000-141500   00     270.58  984.8    218.49     1.20    -9999
Fort SMITH 120517 300  141500-142000   00     267.87  984.8    216.35     0.20    -9999
Fort SMITH 120517 300  142000-142500   00     268.02  984.8    216.51     0.30    -9999
Fort SMITH 120517 300  142500-143000   00     267.91  984.8    216.48     0.30    -9999
Fort SMITH 120517 300  143000-143500   00     267.52  984.9    216.20     0.20    -9999
Fort SMITH 120517 300  143500-144000   00     267.61  984.9    216.28     0.20    -9999
Fort SMITH 120517 300  144000-144500   00     270.01  984.9    218.28     1.10    -9999
Fort SMITH 120517 300  144500-145000   00     267.48  984.9    216.22     0.20    -9999
Fort SMITH 120517 300  145000-145500   00     267.26  984.9    216.04     0.10    -9999
Fort SMITH 120517 300  145500-150000   00     269.58  984.9    217.86     0.90    -9999
Fort SMITH 120517 300  150000-150500   00     269.41  984.8    217.71     0.90    -9999
Fort SMITH 120517 300  150500-151000   00     266.62  984.8    215.42    -0.20    -9999
Fort SMITH 120517 300  151000-151500   00     270.54  984.8    218.57     1.30    -9999
Fort SMITH 120517 300  151500-152000   00     267.76  984.8    216.38     0.30    -9999
Fort SMITH 120517 300  152000-152500   00     266.59  984.9    215.48    -0.20    -9999
Fort SMITH 120517 300  152500-153000   00     269.14  984.9    217.58     0.80    -9999
Fort SMITH 120517 300  153000-153500   00     266.19  984.9    215.23    -0.30    -9999
Fort SMITH 120517 300  153500-154000   00     269.25  984.9    217.75     0.90    -9999
Fort SMITH 120517 300  154000-154500   00     268.96  984.9    217.47     0.80    -9999
Fort SMITH 120517 300  154500-155000   00     267.48  984.9    216.22     0.20    -9999
Fort SMITH 120517 300  155000-155500   00     269.20  984.9    217.61     0.80    -9999
Fort SMITH 120517 300  155500-160000   00     268.25  984.9    216.86     0.50    -9999
Fort SMITH 120517 300  160000-160500   00     272.15  984.9    220.05     2.00    -9999
Fort SMITH 120517 300  160500-161000   00     270.18  985.0    218.53     1.30    -9999
Fort SMITH 120517 300  161000-161500   00     269.82  985.1    218.43     1.20    -9999
Fort SMITH 120517 300  161500-162000   00     268.89  985.2    217.90     1.00    -9999
Fort SMITH 120517 300  162000-162500   00     269.10  985.3    218.28     1.10    -9999
Fort SMITH 120517 300  162500-163000   00     267.85  985.4    217.38     0.70    -9999
Fort SMITH 120517 300  163000-163500   00     267.79  985.5    217.42     0.70    -9999
Fort SMITH 120517 300  163500-164000   00     269.05  985.5    218.55     1.30    -9999
Fort SMITH 120517 300  164000-164500   00     269.19  985.6    218.71     1.30    -9999
Fort SMITH 120517 300  164500-165000   00     266.84  985.6    216.92     0.50    -9999
Fort SMITH 120517 300  165000-165500   00     265.68  985.7    216.09     0.10    -9999
Fort SMITH 120517 300  165500-170000   00     267.47  985.8    217.66     0.90    -9999
Fort SMITH 120517 300  170000-170500   00     268.45  985.9    218.60     1.30    -9999
Fort SMITH 120517 300  170500-171000   00     267.00  986.0    217.57     0.80    -9999
Fort SMITH 120517 300  171000-171500   00     267.20  986.0    217.72     0.90    -9999
Fort SMITH 120517 300  171500-172000   00     265.77  986.0    216.58     0.40    -9999
Fort SMITH 120517 300  172000-172500   00     266.34  986.0    217.13     0.60    -9999
Fort SMITH 120517 300  172500-173000   00     265.45  986.1    216.46     0.30    -9999
Fort SMITH 120517 300  173000-173500   00     266.90  986.1    217.73     0.90    -9999
Fort SMITH 120517 300  173500-174000   00     265.86  986.1    216.88     0.50    -9999
Fort SMITH 120517 300  174000-174500   00     265.47  986.2    216.69     0.40    -9999
Fort SMITH 120517 300  174500-175000   00     265.72  986.2    216.95     0.50    -9999
Fort SMITH 120517 300  175000-175500   00     266.70  986.2    217.80     0.90    -9999
Fort SMITH 120517 300  175500-180000   00     266.56  986.3    217.73     0.90    -9999
Fort SMITH 120517 300  180000-180500   00     266.71  986.2    217.76     0.90    -9999
Fort SMITH 120517 300  180500-181000   00     265.72  986.2    216.96     0.50    -9999
Fort SMITH 120517 300  181000-181500   00     266.93  986.4    218.18     1.10    -9999
Fort SMITH 120517 300  181500-182000   00     263.52  986.4    215.53    -0.10    -9999
Fort SMITH 120517 300  182000-182500   00     264.33  986.6    216.41     0.30    -9999
Fort SMITH 120517 300  182500-183000   00     265.73  986.7    217.80     0.90    -9999
Fort SMITH 120517 300  183000-183500   00     265.99  986.8    218.14     1.10    -9999
Fort SMITH 120517 300  183500-184000   00     264.27  986.8    216.70     0.40    -9999
Fort SMITH 120517 300  184000-184500   00     266.25  986.8    218.35     1.20    -9999
Fort SMITH 120517 300  184500-185000   00     262.94  986.9    215.79     0.00    -9999
Fort SMITH 120517 300  185000-185500   00     264.91  987.0    217.57     0.80    -9999
Fort SMITH 120517 300  185500-190000   00     262.77  987.1    215.92     0.00    -9999
Fort SMITH 120517 300  190000-190500   00     264.24  987.1    217.26     0.70    -9999
Fort SMITH 120517 300  190500-191000   00     263.33  987.2    216.59     0.40    -9999
Fort SMITH 120517 300  191000-191500   00     264.17  987.2    217.31     0.70    -9999
Fort SMITH 120517 300  191500-192000   00     264.33  987.3    217.52     0.80    -9999
Fort SMITH 120517 300  192000-192500   00     265.17  987.3    218.23     1.10    -9999
Fort SMITH 120517 300  192500-193000   00     264.65  987.3    217.86     0.90    -9999
Fort SMITH 120517 300  193000-193500   00     264.59  987.4    217.91     1.00    -9999
Fort SMITH 120517 300  193500-194000   00     264.39  987.4    217.87     0.90    -9999
Fort SMITH 120517 300  194000-194500   00     263.36  987.5    217.04     0.60    -9999
Fort SMITH 120517 300  194500-195000   00     262.73  987.5    216.54     0.30    -9999
Fort SMITH 120517 300  195000-195500   00     260.92  987.5    215.11    -0.30    -9999
Fort SMITH 120517 300  195500-200000   00     262.63  987.5    216.54     0.30    -9999
Fort SMITH 120517 300  200000-200500   00     263.03  987.6    216.99     0.50    -9999
Fort SMITH 120517 300  200500-201000   00     259.02  987.6    213.71    -1.00    -9999
Fort SMITH 120517 300  201000-201500   00     263.86  987.6    217.63     0.80    -9999
Fort SMITH 120517 300  201500-202000   00     263.87  987.6    217.74     0.90    -9999
Fort SMITH 120517 300  202000-202500   00     263.03  987.7    217.20     0.60    -9999
Fort SMITH 120517 300  202500-203000   00     262.01  987.7    216.31     0.20    -9999
Fort SMITH 120517 300  203000-203500   00     262.79  987.7    217.00     0.50    -9999
Fort SMITH 120517 300  203500-204000   00     263.55  987.8    217.68     0.90    -9999
Fort SMITH 120517 300  204000-204500   00     258.52  987.8    213.63    -1.00    -9999
Fort SMITH 120517 300  204500-205000   00     262.30  987.8    216.77     0.40    -9999
Fort SMITH 120517 300  205000-205500   00     262.47  987.9    216.95     0.50    -9999
Fort SMITH 120517 300  205500-210000   00     261.00  987.9    215.75     0.00    -9999
Fort SMITH 120517 300  210000-210500   00     261.79  987.9    216.43     0.30    -9999
Fort SMITH 120517 300  210500-211000   00     262.62  987.9    217.12     0.60    -9999
Fort SMITH 120517 300  211000-211500   00     260.45  987.9    215.40    -0.20    -9999
Fort SMITH 120517 300  211500-212000   00     262.58  987.9    217.19     0.60    -9999
Fort SMITH 120517 300  212000-212500   00     260.57  988.0    215.56    -0.10    -9999
