ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    980     mb     COEFFICIENT   -0.7      % / mb
ATHENS     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
ATHENS     PRE-INCREASE AVERAGE COUNTING RATE     56.84      COUNTS PER SECOND
ATHENS     TIME INTERVALS    300         3600     
ATHENS     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ATHENS     120517 300  184500-185000   00      58.71  972.0     55.51    -2.30    -9999
ATHENS     120517 300  185000-185500   00      60.43  972.0     57.13     0.50    -9999
ATHENS     120517 300  185500-190000   00      59.00  972.0     55.79    -1.80    -9999
ATHENS     120517 300  190000-190500   00      60.69  972.0     57.39     1.00    -9999
ATHENS     120517 300  190500-191000   00      60.14  972.0     56.87     0.10    -9999
ATHENS     120517 300  191000-191500   00      59.46  972.0     56.23    -1.10    -9999
ATHENS     120517 300  191500-192000   00      58.89  972.0     55.71    -2.00    -9999
ATHENS     120517 300  192000-192500   00      59.20  972.0     55.99    -1.50    -9999
ATHENS     120517 300  192500-193000   00      58.95  972.0     55.74    -1.90    -9999
ATHENS     120517 300  193000-193500   00      59.81  972.2     56.64    -0.40    -9999
ATHENS     120517 300  193500-194000   00      60.24  972.4     57.11     0.50    -9999
ATHENS     120517 300  194000-194500   00      59.15  972.4     56.07    -1.40    -9999
ATHENS     120517 300  194500-195000   00      60.04  972.4     56.93     0.20    -9999
ATHENS     120517 300  195000-195500   00      58.32  972.4     55.29    -2.70    -9999
ATHENS     120517 300  195500-200000   00      59.34  972.4     56.25    -1.00    -9999
ATHENS     120517 300  200000-200500   00      58.79  972.4     55.75    -1.90    -9999
ATHENS     120517 300  200500-201000   00      57.81  972.4     54.80    -3.60    -9999
ATHENS     120517 300  201000-201500   00      59.75  972.3     56.61    -0.40    -9999
ATHENS     120517 300  201500-202000   00      58.83  972.4     55.78    -1.90    -9999
ATHENS     120517 300  202000-202500   00      60.47  972.2     57.25     0.70    -9999
ATHENS     120517 300  202500-203000   00      58.73  972.3     55.64    -2.10    -9999
ATHENS     120517 300  203000-203500   00      59.84  972.3     56.69    -0.30    -9999
ATHENS     120517 300  203500-204000   00      60.02  972.2     56.82     0.00    -9999
ATHENS     120517 300  204000-204500   00      59.88  972.1     56.67    -0.30    -9999
ATHENS     120517 300  204500-205000   00      60.66  972.1     57.40     1.00    -9999
ATHENS     120517 300  205000-205500   00      59.40  972.0     56.16    -1.20    -9999
ATHENS     120517 300  205500-210000   00      59.15  972.0     55.93    -1.60    -9999
ATHENS     120517 300  210000-210500   00      59.50  972.0     56.25    -1.00    -9999
ATHENS     120517 300  210500-211000   00      59.41  972.1     56.20    -1.10    -9999
ATHENS     120517 300  211000-211500   00      59.82  972.0     56.57    -0.50    -9999
ATHENS     120517 300  211500-212000   00      58.27  972.1     55.15    -3.00    -9999
ATHENS     120517 300  212000-212500   00      59.87  972.2     56.67    -0.30    -9999
ATHENS     120517 300  212500-213000   00      60.12  972.3     56.96     0.20    -9999
ATHENS     120517 300  213000-213500   00      60.24  972.3     57.08     0.40    -9999
ATHENS     120517 300  213500-214000   00      59.08  972.3     55.96    -1.50    -9999
ATHENS     120517 300  214000-214500   00      59.02  972.2     55.90    -1.70    -9999
