OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    977.3   mb     COEFFICIENT   -0.74     % / mb
OULU       031029 3600 180000-190000   00      77.79  994.1     88.09   -19.20    -9999
OULU       031029 3600 190000-200000   00      80.13  994.6     91.07   -16.40    -9999
OULU       031029 3600 200000-210000   00      79.81  995.1     91.04   -16.50    -9999
OULU       031029 3600 210000-220000   00      79.29  995.6     90.78   -16.70    -9999
OULU       031029 3600 220000-230000   00      81.75  995.9     93.81   -13.90    -9999
OULU       031029 3600 230000-240000   00      82.37  995.9     94.53   -13.30    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065OULU_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
