POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    869.7   mb     COEFFICIENT   -0.743    % / mb
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     52.98      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
POTCHEFSTR 031028 300  151500-152000   00      55.17  868.1     54.51     2.90    -9999
POTCHEFSTR 031028 300  152000-152500   00      54.47  868.1     53.84     1.60    -9999
POTCHEFSTR 031028 300  152500-153000   00      54.60  868.2     53.99     1.90    -9999
POTCHEFSTR 031028 300  153000-153500   00      54.33  868.2     53.73     1.40    -9999
POTCHEFSTR 031028 300  153500-154000   00      54.19  868.3     53.62     1.20    -9999
POTCHEFSTR 031028 300  154000-154500   00      53.33  868.3     52.78    -0.40    -9999
POTCHEFSTR 031028 300  154500-155000   00      52.89  868.4     52.37    -1.20    -9999
POTCHEFSTR 031028 300  155000-155500   00      53.03  868.4     52.53    -0.80    -9999
POTCHEFSTR 031028 300  155500-160000   00      53.83  868.5     53.34     0.70    -9999
POTCHEFSTR 031028 300  160000-160500   00      53.99  868.5     53.52     1.00    -9999
POTCHEFSTR 031028 300  160500-161000   00      54.01  868.6     53.57     1.10    -9999
POTCHEFSTR 031028 300  161000-161500   00      53.76  868.7     53.34     0.70    -9999
POTCHEFSTR 031028 300  161500-162000   00      54.58  868.7     54.19     2.30    -9999
POTCHEFSTR 031028 300  162000-162500   00      54.11  868.8     53.75     1.50    -9999
POTCHEFSTR 031028 300  162500-163000   00      53.92  868.9     53.58     1.10    -9999
POTCHEFSTR 031028 300  163000-163500   00      52.75  868.9     52.45    -1.00    -9999
POTCHEFSTR 031028 300  163500-164000   00      53.55  869.0     53.27     0.50    -9999
POTCHEFSTR 031028 300  164000-164500   00      54.68  869.1     54.42     2.70    -9999
POTCHEFSTR 031028 300  164500-165000   00      52.59  869.1     52.37    -1.20    -9999
POTCHEFSTR 031028 300  165000-165500   00      53.80  869.2     53.60     1.20    -9999
POTCHEFSTR 031028 300  165500-170000   00      53.87  869.3     53.69     1.30    -9999
POTCHEFSTR 031028 300  170000-170500   00      53.37  869.3     53.22     0.50    -9999
POTCHEFSTR 031028 300  170500-171000   00      53.30  869.4     53.17     0.40    -9999
POTCHEFSTR 031028 300  171000-171500   00      53.56  869.4     53.45     0.90    -9999
POTCHEFSTR 031028 300  171500-172000   00      52.31  869.5     52.23    -1.40    -9999
POTCHEFSTR 031028 300  172000-172500   00      52.01  869.6     51.96    -1.90    -9999
POTCHEFSTR 031028 300  172500-173000   00      52.28  869.6     52.24    -1.40    -9999
POTCHEFSTR 031028 300  173000-173500   00      53.15  869.7     53.14     0.30    -9999
POTCHEFSTR 031028 300  173500-174000   00      51.81  869.7     51.82    -2.20    -9999
POTCHEFSTR 031028 300  174000-174500   00      52.55  869.8     52.58    -0.80    -9999
POTCHEFSTR 031028 300  174500-175000   00      53.47  869.8     53.53     1.00    -9999
POTCHEFSTR 031028 300  175000-175500   00      52.47  869.9     52.55    -0.80    -9999
POTCHEFSTR 031028 300  175500-180000   00      52.67  870.0     52.78    -0.40    -9999
POTCHEFSTR 031028 300  180000-180500   00      53.96  870.0     54.09     2.10    -9999
POTCHEFSTR 031028 300  180500-181000   00      53.94  870.0     54.07     2.10    -9999
POTCHEFSTR 031028 300  181000-181500   00      52.94  870.1     53.09     0.20    -9999
POTCHEFSTR 031028 300  181500-182000   00      52.68  870.1     52.84    -0.30    -9999
POTCHEFSTR 031028 300  182000-182500   00      53.42  870.1     53.60     1.20    -9999
POTCHEFSTR 031028 300  182500-183000   00      50.82  870.2     51.01    -3.70    -9999
POTCHEFSTR 031028 300  183000-183500   00      53.45  870.2     53.66     1.30    -9999
POTCHEFSTR 031028 300  183500-184000   00      51.77  870.2     51.98    -1.90    -9999
POTCHEFSTR 031028 300  184000-184500   00      51.91  870.3     52.13    -1.60    -9999
POTCHEFSTR 031028 300  184500-185000   00      50.84  870.3     51.07    -3.60    -9999
POTCHEFSTR 031028 300  185000-185500   00      53.13  870.3     53.38     0.80    -9999
POTCHEFSTR 031028 300  185500-190000   00      53.01  870.4     53.28     0.60    -9999
POTCHEFSTR 031028 300  190000-190500   00      52.18  870.4     52.45    -1.00    -9999
POTCHEFSTR 031028 300  190500-191000   00      51.79  870.4     52.07    -1.70    -9999
POTCHEFSTR 031028 300  191000-191500   00      52.35  870.5     52.65    -0.60    -9999
POTCHEFSTR 031028 300  191500-192000   00      51.75  870.5     52.06    -1.70    -9999
POTCHEFSTR 031028 300  192000-192500   00      52.46  870.5     52.77    -0.40    -9999
POTCHEFSTR 031028 300  192500-193000   00      52.63  870.5     52.95    -0.10    -9999
POTCHEFSTR 031028 300  193000-193500   00      51.77  870.6     52.10    -1.70    -9999
POTCHEFSTR 031028 300  193500-194000   00      51.37  870.6     51.71    -2.40    -9999
POTCHEFSTR 031028 300  194000-194500   00      52.53  870.6     52.89    -0.20    -9999
POTCHEFSTR 031028 300  194500-195000   00      52.89  870.6     53.26     0.50    -9999
POTCHEFSTR 031028 300  195000-195500   00      52.22  870.7     52.60    -0.70    -9999
POTCHEFSTR 031028 300  195500-200000   00      51.76  870.7     52.14    -1.60    -9999
POTCHEFSTR 031028 300  200000-200500   00      52.10  870.7     52.49    -0.90    -9999
POTCHEFSTR 031028 300  200500-201000   00      51.66  870.7     52.05    -1.80    -9999
POTCHEFSTR 031028 300  201000-201500   00      52.05  870.7     52.45    -1.00    -9999
POTCHEFSTR 031028 300  201500-202000   00      50.89  870.8     51.29    -3.20    -9999
POTCHEFSTR 031028 300  202000-202500   00      51.98  870.8     52.40    -1.10    -9999
POTCHEFSTR 031028 300  202500-203000   00      50.45  870.8     50.87    -4.00    -9999
POTCHEFSTR 031028 300  203000-203500   00      52.16  870.8     52.59    -0.70    -9999
POTCHEFSTR 031028 300  203500-204000   00      51.27  870.8     51.70    -2.40    -9999
POTCHEFSTR 031028 300  204000-204500   00      52.79  870.8     53.24     0.50    -9999
POTCHEFSTR 031028 300  204500-205000   00      51.61  870.9     52.05    -1.80    -9999
POTCHEFSTR 031028 300  205000-205500   00      51.75  870.9     52.20    -1.50    -9999
POTCHEFSTR 031028 300  205500-210000   00      52.59  870.9     53.06     0.20    -9999
POTCHEFSTR 031028 300  210000-210500   00      52.64  870.9     53.11     0.20    -9999
POTCHEFSTR 031028 300  210500-211000   00      52.27  870.9     52.74    -0.50    -9999
POTCHEFSTR 031028 300  211000-211500   00      51.72  870.9     52.18    -1.50    -9999
POTCHEFSTR 031028 300  211500-212000   00      52.18  870.9     51.64    -2.50    -9999
POTCHEFSTR 031028 300  212000-212500   00    -999.00  551.6   -999.00    -9999    -9999
POTCHEFSTR 031028 300  212500-213000   00    -999.00  479.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  213000-213500   00    -999.00  406.4   -999.00    -9999    -9999
POTCHEFSTR 031028 300  213500-214000   00    -999.00  333.8   -999.00    -9999    -9999
POTCHEFSTR 031028 300  214000-214500   00    -999.00  261.3   -999.00    -9999    -9999
POTCHEFSTR 031028 300  214500-215000   00    -999.00  188.7   -999.00    -9999    -9999
POTCHEFSTR 031028 300  215000-215500   00    -999.00  116.1   -999.00    -9999    -9999
POTCHEFSTR 031028 300  215500-220000   00    -999.00   43.5   -999.00    -9999    -9999
POTCHEFSTR 031028 300  220000-220500   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  220500-221000   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  221000-221500   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  221500-222000   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  222000-222500   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  222500-223000   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  223000-223500   00    -999.00 -999.0   -999.00    -9999    -9999
POTCHEFSTR 031028 300  223500-224000   00    -999.00 -999.0   -999.00    -9999    -9999
