JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    931028    100000-110000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    317.94      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU   031028 300  174000-174500   00     285.29  495.7    325.52     2.40    -9999
JUNGFRAU   031028 300  174500-175000   00     282.10  495.7    321.81     1.20    -9999
JUNGFRAU   031028 300  175000-175500   00     282.55  495.7    322.33     1.40    -9999
JUNGFRAU   031028 300  175500-180000   00     282.74  495.7    322.49     1.40    -9999
JUNGFRAU   031028 300  180000-180500   00     284.64  495.7    324.71     2.10    -9999
JUNGFRAU   031028 300  180500-181000   00     283.43  495.7    323.28     1.70    -9999
JUNGFRAU   031028 300  181000-181500   00     282.46  495.6    321.92     1.30    -9999
JUNGFRAU   031028 300  181500-182000   00     281.42  495.7    320.86     0.90    -9999
JUNGFRAU   031028 300  182000-182500   00     282.22  495.6    321.58     1.10    -9999
JUNGFRAU   031028 300  182500-183000   00     284.48  495.6    324.15     1.90    -9999
JUNGFRAU   031028 300  183000-183500   00     282.88  495.6    322.33     1.40    -9999
JUNGFRAU   031028 300  183500-184000   00     285.23  495.6    325.01     2.20    -9999
JUNGFRAU   031028 300  184000-184500   00     287.64  495.6    327.75     3.10    -9999
JUNGFRAU   031028 300  184500-185000   00     280.94  495.6    320.00     0.70    -9999
JUNGFRAU   031028 300  185000-185500   00     282.66  495.5    321.90     1.20    -9999
JUNGFRAU   031028 300  185500-190000   00     282.88  495.5    322.08     1.30    -9999
JUNGFRAU   031028 300  190000-190500   00     282.34  495.5    321.53     1.10    -9999
JUNGFRAU   031028 300  190500-191000   00     283.30  495.5    322.62     1.50    -9999
JUNGFRAU   031028 300  191000-191500   00     281.29  495.5    320.34     0.80    -9999
JUNGFRAU   031028 300  191500-192000   00     284.53  495.5    323.84     1.80    -9999
JUNGFRAU   031028 300  192000-192500   00     282.32  495.5    321.26     1.10    -9999
JUNGFRAU   031028 300  192500-193000   00     283.96  495.4    322.89     1.60    -9999
JUNGFRAU   031028 300  193000-193500   00     284.44  495.4    323.55     1.80    -9999
JUNGFRAU   031028 300  193500-194000   00     282.73  495.4    321.54     1.20    -9999
JUNGFRAU   031028 300  194000-194500   00     284.85  495.4    323.90     1.90    -9999
JUNGFRAU   031028 300  194500-195000   00     284.11  495.4    323.12     1.60    -9999
JUNGFRAU   031028 300  195000-195500   00     285.51  495.3    324.52     2.10    -9999
JUNGFRAU   031028 300  195500-200000   00     287.86  495.4    327.26     2.90    -9999
JUNGFRAU   031028 300  200000-200500   00     283.76  495.3    322.40     1.40    -9999
JUNGFRAU   031028 300  200500-201000   00     283.11  495.3    321.72     1.20    -9999
JUNGFRAU   031028 300  201000-201500   00     286.18  495.3    325.22     2.30    -9999
JUNGFRAU   031028 300  201500-202000   00     286.45  495.4    325.65     2.40    -9999
JUNGFRAU   031028 300  202000-202500   00     284.17  495.3    322.87     1.60    -9999
JUNGFRAU   031028 300  202500-203000   00     283.52  495.3    322.13     1.30    -9999
JUNGFRAU   031028 300  203000-203500   00     283.61  495.3    322.24     1.40    -9999
JUNGFRAU   031028 300  203500-204000   00     285.19  495.2    323.84     1.90    -9999
JUNGFRAU   031028 300  204000-204500   00     282.64  495.2    320.82     0.90    -9999
JUNGFRAU   031028 300  204500-205000   00     283.53  495.2    321.89     1.20    -9999
JUNGFRAU   031028 300  205000-205500   00     283.60  495.2    322.04     1.30    -9999
JUNGFRAU   031028 300  205500-210000   00     284.51  495.3    323.19     1.70    -9999
JUNGFRAU   031028 300  210000-210500   00     282.97  495.0    320.71     0.90    -9999
JUNGFRAU   031028 300  210500-211000   00     282.83  495.1    320.67     0.90    -9999
JUNGFRAU   031028 300  211000-211500   00     284.64  495.0    322.60     1.50    -9999
JUNGFRAU   031028 300  211500-212000   00     282.53  495.0    320.08     0.70    -9999
JUNGFRAU   031028 300  212000-212500   00     282.06  495.0    319.55     0.50    -9999
JUNGFRAU   031028 300  212500-213000   00     283.50  495.0    321.18     1.00    -9999
JUNGFRAU   031028 300  213000-213500   00     285.17  495.0    323.08     1.60    -9999
JUNGFRAU   031028 300  213500-214000   00     286.21  495.0    324.13     1.90    -9999
JUNGFRAU   031028 300  214000-214500   00     283.74  494.9    321.26     1.10    -9999
JUNGFRAU   031028 300  214500-215000   00     284.68  494.9    322.22     1.30    -9999
JUNGFRAU   031028 300  215000-215500   00     284.03  494.8    321.04     1.00    -9999
JUNGFRAU   031028 300  215500-220000   00     288.81  494.8    326.44     2.70    -9999
JUNGFRAU   031028 300  220000-220500   00     282.44  494.8    319.31     0.40    -9999
JUNGFRAU   031028 300  220500-221000   00     284.86  494.7    321.80     1.20    -9999
JUNGFRAU   031028 300  221000-221500   00     287.33  494.7    324.58     2.10    -9999
JUNGFRAU   031028 300  221500-222000   00     284.21  494.7    321.06     1.00    -9999
JUNGFRAU   031028 300  222000-222500   00     287.48  494.7    324.63     2.10    -9999
JUNGFRAU   031028 300  222500-223000   00     287.70  494.7    324.87     2.20    -9999
JUNGFRAU   031028 300  223000-223500   00     287.03  494.6    323.94     1.90    -9999
JUNGFRAU   031028 300  223500-224000   00     284.54  494.6    321.06     1.00    -9999
JUNGFRAU   031028 300  224000-224500   00     285.61  494.4    321.78     1.20    -9999
JUNGFRAU   031028 300  224500-225000   00     286.05  494.4    322.21     1.30    -9999
JUNGFRAU   031028 300  225000-225500   00     289.49  494.4    326.02     2.50    -9999
JUNGFRAU   031028 300  225500-230000   00     289.35  494.4    325.87     2.50    -9999
JUNGFRAU   031028 300  230000-230500   00     289.66  494.4    326.15     2.60    -9999
JUNGFRAU   031028 300  230500-231000   00     286.06  494.3    321.85     1.20    -9999
JUNGFRAU   031028 300  231000-231500   00     286.24  494.3    322.12     1.30    -9999
JUNGFRAU   031028 300  231500-232000   00     287.74  494.3    323.80     1.80    -9999
JUNGFRAU   031028 300  232000-232500   00     288.73  494.3    324.79     2.20    -9999
JUNGFRAU   031028 300  232500-233000   00     288.01  494.3    323.98     1.90    -9999
JUNGFRAU   031028 300  233000-233500   00     286.47  494.2    322.06     1.30    -9999
JUNGFRAU   031028 300  233500-234000   00     288.41  494.2    324.12     1.90    -9999
JUNGFRAU   031028 300  234000-234500   00     286.38  494.2    321.96     1.30    -9999
JUNGFRAU   031028 300  234500-235000   00     288.97  494.1    324.56     2.10    -9999
JUNGFRAU   031028 300  235000-235500   00     288.31  494.1    323.95     1.90    -9999
JUNGFRAU   031028 300  235500-240000   00     287.35  494.1    322.74     1.50    -9999
JUNGFRAU   031029 300  000000-000500   00     286.33  494.1    321.60     1.20    -9999
JUNGFRAU   031029 300  000500-001000   00     288.26  494.1    323.77     1.80    -9999
JUNGFRAU   031029 300  001000-001500   00     286.76  494.1    322.14     1.30    -9999
JUNGFRAU   031029 300  001500-002000   00     288.70  494.0    324.01     1.90    -9999
JUNGFRAU   031029 300  002000-002500   00     286.14  494.0    321.08     1.00    -9999
JUNGFRAU   031029 300  002500-003000   00     287.53  494.0    322.58     1.50    -9999
JUNGFRAU   031029 300  003000-003500   00     289.01  494.0    324.37     2.00    -9999
JUNGFRAU   031029 300  003500-004000   00     286.95  494.0    321.86     1.20    -9999
JUNGFRAU   031029 300  004000-004500   00     287.27  494.0    322.22     1.40    -9999
JUNGFRAU   031029 300  004500-005000   00     291.98  493.9    327.25     2.90    -9999
JUNGFRAU   031029 300  005000-005500   00     287.97  493.8    322.62     1.50    -9999
JUNGFRAU   031029 300  005500-010000   00     287.13  493.8    321.57     1.10    -9999
JUNGFRAU   031029 300  010000-010500   00     292.38  493.8    327.45     3.00    -9999
JUNGFRAU   031029 300  010500-011000   00     291.28  493.7    326.03     2.50    -9999
