MOSC  1nmF LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSC  1nmF INSTRUMENT   01nmF    NEUTRON MONITOR (B10 counter,without Lead)	
MOSC  1nmF STANDARD PRESSURE    999.1   mb     COEFFICIENT   -0.71     % / mb
MOSC  1nmF PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MOSC  1nmF PRE-INCREASE AVERAGE COUNTING RATE      2.45      COUNTS PER SECOND
MOSC  1nmF TIME INTERVALS    300         3600     
MOSC  1nmF SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSC  1nmF 061213 300  063000-063500   00       2.46  998.1      2.44    -0.41    -9999
MOSC  1nmF 061213 300  063500-064000   00       2.57  998.1      2.56     4.31    -9999
MOSC  1nmF 061213 300  064000-064500   00       2.42  998.1      2.41    -1.91    -9999
MOSC  1nmF 061213 300  064500-065000   00       2.57  998.1      2.55     4.04    -9999
MOSC  1nmF 061213 300  065000-065500   00       2.54  998.1      2.53     3.09    -9999
MOSC  1nmF 061213 300  065500-070000   00       2.48  998.1      2.46     0.52    -9999
MOSC  1nmF 061213 300  070000-070500   00       2.52  998.1      2.50     2.14    -9999
MOSC  1nmF 061213 300  070500-071000   00       2.51  998.1      2.50     1.87    -9999
MOSC  1nmF 061213 300  071000-071500   00       2.45  998.1      2.44    -0.43    -9999
MOSC  1nmF 061213 300  071500-072000   00       2.60  998.1      2.58     5.38    -9999
MOSC  1nmF 061213 300  072000-072500   00       2.52  998.1      2.50     2.01    -9999
MOSC  1nmF 061213 300  072500-073000   00       2.42  998.1      2.41    -1.78    -9999
MOSC  1nmF 061213 300  073000-073500   00       2.34  998.1      2.33    -4.88    -9999
MOSC  1nmF 061213 300  073500-074000   00       2.40  998.1      2.38    -2.72    -9999
MOSC  1nmF 061213 300  074000-074500   00       2.65  998.1      2.64     7.54    -9999
MOSC  1nmF 061213 300  074500-075000   00       2.41  998.1      2.40    -2.18    -9999
MOSC  1nmF 061213 300  075000-075500   00       2.39  998.1      2.38    -2.86    -9999
MOSC  1nmF 061213 300  075500-080000   00       2.40  998.1      2.38    -2.73    -9999
MOSC  1nmF 061213 3600 080000-090000   00       2.47  997.9      2.45    -0.09    -9999
MOSC  1nmF 061213 3600 090000-100000   00       2.50  997.5      2.48     1.08    -9999
MOSC  1nmF 061213 3600 100000-110000   00       2.46  997.2      2.43    -0.81    -9999
MOSC  1nmF 061213 3600 110000-120000   00       2.54  996.8      2.50     2.21    -9999
MOSC  1nmF 061213 3600 120000-130000   00       2.52  996.6      2.48     1.24    -9999
