CAPE SHMID LATITUDE    68.92     LONGITUDE     -179.47   ALTITUDE    0 M
CAPE SHMID INSTRUMENT   12NM64    NEUTRON MONITOR
CAPE SHMID STANDARD PRESSURE    1024.8  MB     COEFFICIENT   -0.72     % / MB
CAPE SHMID 031029 300  082000-082500   00      84.38 1011.5     76.65    -0.60    -9999
CAPE SHMID 031029 300  082500-083000   00      83.33 1011.5     75.70    -1.90    -9999
CAPE SHMID 031029 300  083000-083500   00      82.60 1011.4     75.03    -2.70    -9999
CAPE SHMID 031029 300  083500-084000   00      82.54 1011.4     74.97    -2.80    -9999
CAPE SHMID 031029 300  084000-084500   00      82.59 1011.4     75.01    -2.70    -9999
CAPE SHMID 031029 300  084500-085000   00      81.23 1011.4     73.77    -4.40    -9999
CAPE SHMID 031029 300  085000-085500   00      84.96 1011.4     77.16     0.10    -9999
CAPE SHMID 031029 300  085500-090000   00      82.88 1011.4     75.26    -2.40    -9999
CAPE SHMID 031029 300  090000-090500   00      81.51 1011.4     74.01    -4.10    -9999
CAPE SHMID 031029 300  090500-091000   00      82.49 1011.4     74.92    -2.90    -9999
CAPE SHMID 031029 300  091000-091500   00      81.88 1011.4     74.37    -3.60    -9999
CAPE SHMID 031029 300  091500-092000   00      80.73 1011.5     73.33    -4.90    -9999
CAPE SHMID 031029 300  092000-092500   00      81.71 1011.5     74.23    -3.80    -9999
CAPE SHMID 031029 300  092500-093000   00      81.53 1011.5     74.08    -4.00    -9999
CAPE SHMID 031029 300  093000-093500   00      82.41 1011.5     74.89    -2.90    -9999
CAPE SHMID 031029 300  093500-094000   00      81.17 1011.5     73.77    -4.40    -9999
CAPE SHMID 031029 300  094000-094500   00      82.53 1011.5     75.01    -2.70    -9999
CAPE SHMID 031029 300  094500-095000   00      82.31 1011.6     74.82    -3.00    -9999
CAPE SHMID 031029 300  095000-095500   00      81.00 1011.6     73.65    -4.50    -9999
CAPE SHMID 031029 300  095500-100000   00      81.75 1011.6     74.33    -3.60    -9999
CAPE SHMID 031029 300  100000-100500   00      80.97 1011.6     73.61    -4.50    -9999
CAPE SHMID 031029 300  100500-101000   00      82.07 1011.5     74.58    -3.30    -9999
CAPE SHMID 031029 300  101000-101500   00      83.52 1011.5     75.87    -1.60    -9999
CAPE SHMID 031029 300  101500-102000   00      83.90 1011.4     76.19    -1.20    -9999
CAPE SHMID 031029 300  102000-102500   00      80.71 1011.3     73.25    -5.00    -9999
CAPE SHMID 031029 300  102500-103000   00      82.28 1011.3     74.65    -3.20    -9999
CAPE SHMID 031029 300  103000-103500   00      79.89 1011.2     72.45    -6.10    -9999
CAPE SHMID 031029 300  103500-104000   00      80.17 1011.2     72.68    -5.80    -9999
CAPE SHMID 031029 300  104000-104500   00      80.43 1011.1     72.88    -5.50    -9999
CAPE SHMID 031029 300  104500-105000   00      77.32 1011.1     70.04    -9.20    -9999
CAPE SHMID 031029 300  105000-105500   00      77.05 1011.0     69.76    -9.60    -9999
CAPE SHMID 031029 300  105500-110000   00      75.13 1010.9     67.99   -11.90    -9999
CAPE SHMID 031029 300  110000-110500   00      74.39 1010.9     67.31   -12.70    -9999
CAPE SHMID 031029 300  110500-111000   00      74.39 1010.9     67.31   -12.70    -9999
CAPE SHMID 031029 300  111000-111500   00      74.92 1010.9     67.79   -12.10    -9999
CAPE SHMID 031029 300  111500-112000   00      73.72 1010.9     66.70   -13.50    -9999
CAPE SHMID 031029 300  112000-112500   00      72.48 1010.9     65.58   -15.00    -9999
CAPE SHMID 031029 300  112500-113000   00      70.89 1010.9     64.14   -16.90    -9999
CAPE SHMID 031029 300  113000-113500   00      70.59 1010.9     63.87   -17.20    -9999
CAPE SHMID 031029 300  113500-114000   00      71.65 1010.9     64.82   -16.00    -9999
CAPE SHMID 031029 300  114000-114500   00      71.36 1010.9     64.57   -16.30    -9999
CAPE SHMID 031029 300  114500-115000   00      69.74 1010.9     63.10   -18.20    -9999
CAPE SHMID 031029 300  115000-115500   00      69.39 1010.9     62.78   -18.60    -9999
CAPE SHMID 031029 300  115500-120000   00      70.40 1010.9     63.70   -17.40    -9999
CAPE SHMID 031029 3600 120000-130000   00      70.20 1010.6     63.37   -17.80    -9999
CAPE SHMID 031029 3600 130000-140000   00      69.36 1010.2     62.44   -19.00    -9999
CAPE SHMID 031029 3600 140000-150000   00      69.17 1010.3     62.31   -19.20    -9999
CAPE SHMID 031029 3600 150000-160000   00      69.99 1010.5     63.14   -18.10    -9999
CAPE SHMID 031029 3600 160000-170000   00      70.47 1010.7     63.67   -17.50    -9999
CAPE SHMID 031029 3600 170000-180000   00      68.16 1011.0     61.72   -20.00    -9999
CAPE SHMID 031029 3600 180000-190000   00      69.53 1011.2     63.04   -18.30    -9999
CAPE SHMID 031029 3600 190000-200000   00      68.72 1011.4     62.40   -19.10    -9999
CAPE SHMID 031029 3600 200000-210000   00      69.63 1011.7     63.36   -17.80    -9999
CAPE SHMID 031029 3600 210000-220000   00      75.50 1012.0     68.85   -10.70    -9999
CAPE SHMID 031029 3600 220000-230000   00      74.63 1012.2     68.16   -11.60    -9999
CAPE SHMID 031029 3600 230000-240000   00      74.82 1011.9     68.19   -11.60    -9999
*
Comments: The clock is fast on 64 sec.	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065CAPS_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
