JUNGFRAU2  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU2  INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU2  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU2  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
JUNGFRAU2  PRE-INCREASE AVERAGE COUNTING RATE    309.66      COUNTS PER SECOND
JUNGFRAU2  TIME INTERVALS    60          3600     
JUNGFRAU2  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU2  010415 60   095800-095900   30     284.27  492.1    313.22     1.10    -9999
JUNGFRAU2  010415 60   095900-100000   30     277.62  492.0    305.58    -1.30    -9999
JUNGFRAU2  010415 60   100000-100100   30     277.92  491.8    305.33    -1.40    -9999
JUNGFRAU2  010415 60   100100-100200   30     287.70  492.3    317.62     2.60    -9999
JUNGFRAU2  010415 60   100200-100300   30     280.68  491.9    308.67    -0.30    -9999
JUNGFRAU2  010415 60   100300-100400   30     279.25  491.7    306.50    -1.00    -9999
JUNGFRAU2  010415 60   100400-100500   30     286.42  492.0    315.28     1.80    -9999
JUNGFRAU2  010415 60   100500-100600   30     277.80  492.0    305.80    -1.20    -9999
JUNGFRAU2  010415 60   100600-100700   30     278.85  492.0    306.95    -0.90    -9999
JUNGFRAU2  010415 60   100700-100800   30     278.18  492.3    307.10    -0.80    -9999
JUNGFRAU2  010415 60   100800-100900   30     278.30  492.1    306.63    -1.00    -9999
JUNGFRAU2  010415 60   100900-101000   30     281.80  492.1    310.50     0.30    -9999
JUNGFRAU2  010415 60   101000-101100   30     280.33  492.3    309.47    -0.10    -9999
JUNGFRAU2  010415 60   101100-101200   30     282.15  492.1    310.87     0.40    -9999
JUNGFRAU2  010415 60   101200-101300   30     279.55  492.0    307.72    -0.60    -9999
JUNGFRAU2  010415 60   101300-101400   30     277.10  492.1    305.30    -1.40    -9999
JUNGFRAU2  010415 60   101400-101500   30     283.05  492.3    312.47     0.90    -9999
JUNGFRAU2  010415 60   101500-101600   30     286.67  492.3    316.47     2.20    -9999
JUNGFRAU2  010415 60   101600-101700   30     284.92  492.3    314.53     1.60    -9999
JUNGFRAU2  010415 60   101700-101800   30     287.60  491.9    316.28     2.10    -9999
JUNGFRAU2  010415 60   101800-101900   30     276.25  492.1    304.38    -1.70    -9999
JUNGFRAU2  010415 60   101900-102000   30     274.85  492.1    302.83    -2.20    -9999
JUNGFRAU2  010415 60   102000-102100   30     278.48  492.3    307.43    -0.70    -9999
JUNGFRAU2  010415 60   102100-102200   30     278.30  492.3    307.23    -0.80    -9999
JUNGFRAU2  010415 60   102200-102300   30     287.58  492.1    316.87     2.30    -9999
JUNGFRAU2  010415 60   102300-102400   30     280.47  492.1    309.02    -0.20    -9999
JUNGFRAU2  010415 60   102400-102500   30     275.67  492.3    304.32    -1.70    -9999
JUNGFRAU2  010415 60   102500-102600   30     280.38  492.2    309.23    -0.10    -9999
JUNGFRAU2  010415 60   102600-102700   30     279.03  492.0    307.15    -0.80    -9999
JUNGFRAU2  010415 60   102700-102800   30     275.62  492.0    303.38    -2.00    -9999
JUNGFRAU2  010415 60   102800-102900   30     281.70  492.0    310.08     0.10    -9999
JUNGFRAU2  010415 60   102900-103000   30     279.58  492.0    307.75    -0.60    -9999
JUNGFRAU2  010415 60   103000-103100   30     284.87  492.0    313.57     1.30    -9999
JUNGFRAU2  010415 60   103100-103200   30     278.27  492.0    306.32    -1.10    -9999
JUNGFRAU2  010415 60   103200-103300   30     278.10  491.9    305.83    -1.20    -9999
JUNGFRAU2  010415 60   103300-103400   30     284.68  492.0    313.37     1.20    -9999
JUNGFRAU2  010415 60   103400-103500   30     280.67  491.9    308.65    -0.30    -9999
JUNGFRAU2  010415 60   103500-103600   30     285.75  491.8    313.93     1.40    -9999
JUNGFRAU2  010415 60   103600-103700   30     280.38  492.0    308.63    -0.30    -9999
JUNGFRAU2  010415 60   103700-103800   30     276.68  491.9    304.28    -1.70    -9999
JUNGFRAU2  010415 60   103800-103900   30     276.98  491.5    303.43    -2.00    -9999
JUNGFRAU2  010415 60   103900-104000   30     279.35  492.0    307.48    -0.70    -9999
JUNGFRAU2  010415 60   104000-104100   30     281.55  492.4    311.10     0.50    -9999
JUNGFRAU2  010415 60   104100-104200   30     277.48  491.7    304.55    -1.70    -9999
JUNGFRAU2  010415 60   104200-104300   30     287.27  492.0    316.22     2.10    -9999
JUNGFRAU2  010415 60   104300-104400   30     277.27  492.0    305.22    -1.40    -9999
JUNGFRAU2  010415 60   104400-104500   30     280.58  492.0    308.85    -0.30    -9999
JUNGFRAU2  010415 60   104500-104600   30     276.40  491.4    302.50    -2.30    -9999
JUNGFRAU2  010415 60   104600-104700   30     281.52  491.7    308.98    -0.20    -9999
JUNGFRAU2  010415 60   104700-104800   30     276.93  492.1    305.13    -1.50    -9999
JUNGFRAU2  010415 60   104800-104900   30     280.87  492.0    309.17    -0.20    -9999
JUNGFRAU2  010415 60   104900-105000   30     282.00  492.3    311.32     0.50    -9999
JUNGFRAU2  010415 60   105000-105100   30     285.88  491.7    313.78     1.30    -9999
JUNGFRAU2  010415 60   105100-105200   30     277.80  492.0    305.80    -1.20    -9999
JUNGFRAU2  010415 60   105200-105300   30     279.55  492.2    308.30    -0.40    -9999
JUNGFRAU2  010415 60   105300-105400   30     282.52  492.0    310.98     0.40    -9999
JUNGFRAU2  010415 60   105400-105500   30     278.97  492.0    307.08    -0.80    -9999
JUNGFRAU2  010415 60   105500-105600   30     281.32  492.4    310.85     0.40    -9999
JUNGFRAU2  010415 60   105600-105700   30     276.93  492.0    304.83    -1.60    -9999
JUNGFRAU2  010415 60   105700-105800   30     279.02  491.8    306.55    -1.00    -9999
JUNGFRAU2  010415 60   105800-105900   30     282.85  492.0    311.35     0.50    -9999
JUNGFRAU2  010415 60   105900-110000   30     283.38  491.8    311.33     0.50    -9999
JUNGFRAU2  010415 60   110000-110100   30     284.90  492.1    313.90     1.40    -9999
JUNGFRAU2  010415 60   110100-110200   30     287.98  492.0    317.00     2.40    -9999
JUNGFRAU2  010415 60   110200-110300   30     282.42  491.9    310.58     0.30    -9999
JUNGFRAU2  010415 60   110300-110400   30     280.58  491.6    307.67    -0.60    -9999
JUNGFRAU2  010415 60   110400-110500   30     279.35  492.0    307.48    -0.70    -9999
JUNGFRAU2  010415 60   110500-110600   30     276.58  491.8    303.87    -1.90    -9999
JUNGFRAU2  010415 60   110600-110700   30     282.05  492.0    310.47     0.30    -9999
JUNGFRAU2  010415 60   110700-110800   30     277.63  491.9    305.32    -1.40    -9999
JUNGFRAU2  010415 60   110800-110900   30     279.25  491.8    306.80    -0.90    -9999
JUNGFRAU2  010415 60   110900-111000   30     278.23  492.2    306.85    -0.90    -9999
