IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    428.23      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   120517 300  021000-021500   00     445.60  710.3    430.80     0.60    -9999
IRKUTSK3   120517 300  021500-022000   00     447.60  710.3    432.60     1.00    -9999
IRKUTSK3   120517 300  022000-022500   00     446.60  710.2    431.20     0.70    -9999
IRKUTSK3   120517 300  022500-023000   00     444.80  710.2    429.80     0.40    -9999
IRKUTSK3   120517 300  023000-023500   00     446.00  710.1    430.80     0.60    -9999
IRKUTSK3   120517 300  023500-024000   00     448.00  710.2    432.80     1.10    -9999
IRKUTSK3   120517 300  024000-024500   00     446.60  710.2    431.40     0.70    -9999
IRKUTSK3   120517 300  024500-025000   00     446.60  710.2    431.40     0.70    -9999
IRKUTSK3   120517 300  025000-025500   00     449.80  710.2    434.40     1.40    -9999
IRKUTSK3   120517 300  025500-030000   00     446.80  710.3    432.00     0.90    -9999
IRKUTSK3   120517 300  030000-030500   00     447.00  710.6    433.40     1.20    -9999
IRKUTSK3   120517 300  030500-031000   00     445.80  710.8    432.40     1.00    -9999
IRKUTSK3   120517 300  031000-031500   00     444.60  710.9    431.80     0.80    -9999
IRKUTSK3   120517 300  031500-032000   00     444.00  710.8    430.60     0.60    -9999
IRKUTSK3   120517 300  032000-032500   00     444.60  710.8    431.40     0.70    -9999
IRKUTSK3   120517 300  032500-033000   00     444.60  710.9    431.60     0.80    -9999
IRKUTSK3   120517 300  033000-033500   00     441.40  710.9    428.20     0.00    -9999
IRKUTSK3   120517 300  033500-034000   00     445.80  710.9    432.80     1.10    -9999
IRKUTSK3   120517 300  034000-034500   00     443.80  711.0    431.20     0.70    -9999
IRKUTSK3   120517 300  034500-035000   00     446.20  710.9    433.40     1.20    -9999
IRKUTSK3   120517 300  035000-035500   00     444.20  711.0    431.20     0.70    -9999
IRKUTSK3   120517 300  035500-040000   00     445.60  710.9    432.40     1.00    -9999
IRKUTSK3   120517 300  040000-040500   00     444.40  710.9    431.60     0.80    -9999
IRKUTSK3   120517 300  040500-041000   00     445.60  711.0    432.60     1.00    -9999
IRKUTSK3   120517 300  041000-041500   00     446.40  711.1    434.20     1.40    -9999
IRKUTSK3   120517 300  041500-042000   00     444.80  711.3    433.00     1.10    -9999
IRKUTSK3   120517 300  042000-042500   00     443.40  711.3    431.40     0.70    -9999
IRKUTSK3   120517 300  042500-043000   00     444.60  711.4    433.40     1.20    -9999
IRKUTSK3   120517 300  043000-043500   00     445.00  711.4    433.60     1.30    -9999
IRKUTSK3   120517 300  043500-044000   00     441.00  711.4    429.60     0.30    -9999
IRKUTSK3   120517 300  044000-044500   00     446.40  711.5    435.40     1.70    -9999
IRKUTSK3   120517 300  044500-045000   00     445.60  711.6    434.80     1.50    -9999
IRKUTSK3   120517 300  045000-045500   00     441.20  711.7    430.80     0.60    -9999
IRKUTSK3   120517 300  045500-050000   00     439.80  711.7    429.40     0.30    -9999
IRKUTSK3   120517 300  050000-050500   00     445.80  711.8    435.60     1.70    -9999
IRKUTSK3   120517 300  050500-051000   00     441.60  711.7    431.40     0.70    -9999
IRKUTSK3   120517 300  051000-051500   00     444.60  711.9    434.60     1.50    -9999
IRKUTSK3   120517 300  051500-052000   00     444.00  711.8    433.80     1.30    -9999
IRKUTSK3   120517 300  052000-052500   00     444.80  711.7    434.20     1.40    -9999
IRKUTSK3   120517 300  052500-053000   00     441.20  711.8    431.20     0.70    -9999
IRKUTSK3   120517 300  053000-053500   00     443.60  711.9    433.60     1.30    -9999
IRKUTSK3   120517 300  053500-054000   00     441.20  711.9    431.40     0.70    -9999
IRKUTSK3   120517 300  054000-054500   00     442.80  711.9    433.00     1.10    -9999
IRKUTSK3   120517 300  054500-055000   00     440.80  711.9    430.80     0.60    -9999
IRKUTSK3   120517 300  055000-055500   00     434.80  712.0    425.40    -0.70    -9999
IRKUTSK3   120517 300  055500-060000   00     441.40  712.1    432.00     0.90    -9999
IRKUTSK3   120517 300  060000-060500   00     441.40  712.1    432.20     0.90    -9999
IRKUTSK3   120517 300  060500-061000   00     441.00  712.0    431.60     0.80    -9999
IRKUTSK3   120517 300  061000-061500   00     439.80  712.0    430.00     0.40    -9999
IRKUTSK3   120517 300  061500-062000   00     439.40  712.0    429.80     0.40    -9999
IRKUTSK3   120517 300  062000-062500   00     442.20  712.0    432.60     1.00    -9999
IRKUTSK3   120517 300  062500-063000   00     444.80  711.9    434.80     1.50    -9999
IRKUTSK3   120517 300  063000-063500   00     441.80  711.9    431.80     0.80    -9999
IRKUTSK3   120517 300  063500-064000   00     440.80  711.9    431.20     0.70    -9999
IRKUTSK3   120517 300  064000-064500   00     439.40  712.0    430.20     0.50    -9999
IRKUTSK3   120517 300  064500-065000   00     439.80  712.0    430.20     0.50    -9999
IRKUTSK3   120517 300  065000-065500   00     438.00  712.1    429.00     0.20    -9999
IRKUTSK3   120517 300  065500-070000   00     442.20  712.1    432.80     1.10    -9999
IRKUTSK3   120517 300  070000-070500   00     443.20  712.1    434.00     1.30    -9999
IRKUTSK3   120517 300  070500-071000   00     442.00  712.1    433.00     1.10    -9999
IRKUTSK3   120517 300  071000-071500   00     441.80  712.1    432.80     1.10    -9999
IRKUTSK3   120517 300  071500-072000   00     442.20  712.2    433.60     1.30    -9999
