INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1008.14 MB     COEFFICIENT   -0.74     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    193.10      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     120517 300  031500-032000   00     174.74 1028.6    196.07     1.50     1.50
INUVIK     120517 300  032000-032500   00     175.84 1028.6    197.33     2.20     2.20
INUVIK     120517 300  032500-033000   00     173.78 1028.6    195.03     1.00     1.00
INUVIK     120517 300  033000-033500   00     175.30 1028.6    196.69     1.90     1.90
INUVIK     120517 300  033500-034000   00     173.36 1028.6    194.48     0.70     0.70
INUVIK     120517 300  034000-034500   00     172.87 1028.6    193.92     0.40     0.40
INUVIK     120517 300  034500-035000   00     174.83 1028.6    196.10     1.60     1.60
INUVIK     120517 300  035000-035500   00     174.28 1028.6    195.52     1.30     1.30
INUVIK     120517 300  035500-040000   00     175.42 1028.6    196.82     1.90     1.90
INUVIK     120517 300  040000-040500   00     175.37 1028.6    196.78     1.90     1.90
INUVIK     120517 300  040500-041000   00     174.04 1028.6    195.28     1.10     1.10
INUVIK     120517 300  041000-041500   00     174.63 1028.6    195.93     1.50     1.50
INUVIK     120517 300  041500-042000   00     173.79 1028.6    195.00     1.00     1.00
INUVIK     120517 300  042000-042500   00     173.89 1028.6    195.16     1.10     1.10
INUVIK     120517 300  042500-043000   00     174.99 1028.6    196.37     1.70     1.70
INUVIK     120517 300  043000-043500   00     173.57 1028.6    194.74     0.80     0.80
INUVIK     120517 300  043500-044000   00     172.13 1028.6    193.13     0.00     0.00
INUVIK     120517 300  044000-044500   00     174.30 1028.5    195.48     1.20     1.20
INUVIK     120517 300  044500-045000   00     172.18 1028.5    193.08     0.00     0.00
INUVIK     120517 300  045000-045500   00     174.27 1028.5    195.42     1.20     1.20
INUVIK     120517 300  045500-050000   00     174.33 1028.5    195.45     1.20     1.20
INUVIK     120517 300  050000-050500   00     173.71 1028.5    194.80     0.90     0.90
INUVIK     120517 300  050500-051000   00     172.61 1028.6    193.62     0.30     0.30
INUVIK     120517 300  051000-051500   00     172.88 1028.6    193.93     0.40     0.40
INUVIK     120517 300  051500-052000   00     172.33 1028.6    193.34     0.10     0.10
INUVIK     120517 300  052000-052500   00     171.22 1028.6    192.11    -0.50    -0.50
INUVIK     120517 300  052500-053000   00     173.61 1028.6    194.78     0.90     0.90
INUVIK     120517 300  053000-053500   00     172.56 1028.6    193.60     0.30     0.30
INUVIK     120517 300  053500-054000   00     171.86 1028.6    192.82    -0.10    -0.10
INUVIK     120517 300  054000-054500   00     172.44 1028.6    193.47     0.20     0.20
INUVIK     120517 300  054500-055000   00     173.29 1028.6    194.46     0.70     0.70
INUVIK     120517 300  055000-055500   00     173.46 1028.6    194.61     0.80     0.80
INUVIK     120517 300  055500-060000   00     175.72 1028.6    197.10     2.10     2.10
INUVIK     120517 300  060000-060500   00     174.68 1028.6    195.98     1.50     1.50
INUVIK     120517 300  060500-061000   00     173.28 1028.6    194.46     0.70     0.70
INUVIK     120517 300  061000-061500   00     171.32 1028.7    192.30    -0.40    -0.40
INUVIK     120517 300  061500-062000   00     173.37 1028.6    194.55     0.80     0.80
INUVIK     120517 300  062000-062500   00     173.48 1028.6    194.61     0.80     0.80
INUVIK     120517 300  062500-063000   00     172.66 1028.6    193.69     0.30     0.30
INUVIK     120517 300  063000-063500   00     170.62 1028.6    191.38    -0.90    -0.90
INUVIK     120517 300  063500-064000   00     172.28 1028.6    193.24     0.10     0.10
INUVIK     120517 300  064000-064500   00     173.11 1028.6    194.24     0.60     0.60
INUVIK     120517 300  064500-065000   00     173.47 1028.6    194.66     0.80     0.80
INUVIK     120517 300  065000-065500   00     172.46 1028.6    193.57     0.20     0.20
INUVIK     120517 300  065500-070000   00     170.73 1028.6    191.63    -0.80    -0.80
INUVIK     120517 300  070000-070500   00     172.86 1028.6    194.02     0.50    -9999
INUVIK     120517 300  070500-071000   00     172.09 1028.6    193.15     0.00    -9999
INUVIK     120517 300  071000-071500   00     172.11 1028.7    193.19     0.00    -9999
INUVIK     120517 300  071500-072000   00     173.19 1028.6    194.38     0.70    -9999
INUVIK     120517 300  072000-072500   00     173.72 1028.6    194.99     1.00    -9999
INUVIK     120517 300  072500-073000   00     172.84 1028.6    193.96     0.40    -9999
