THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    996.4   MB     COEFFICIENT   -0.56     % / MB
THULE      PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE    128.92      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
THULE      211028 300  173000-173500   00     134.86 1001.3    131.17     1.74     1.62
THULE      211028 300  173500-174000   00     134.69 1001.2    130.99     1.60     1.47
THULE      211028 300  174000-174500   00     134.98 1001.3    131.28     1.83     1.70
THULE      211028 300  174500-175000   00     135.10 1001.3    131.41     1.93     1.80
THULE      211028 300  175000-175500   00     135.83 1001.3    132.11     2.48     2.35
THULE      211028 300  175500-180000   00     136.99 1001.3    133.24     3.35     3.22
THULE      211028 300  180000-180500   00     136.11 1001.2    132.32     2.64     2.51
THULE      211028 300  180500-181000   00     134.54 1001.1    130.73     1.41     1.28
THULE      211028 300  181000-181500   00     135.54 1001.1    131.65     2.12     1.99
THULE      211028 300  181500-182000   00     134.53 1001.1    130.66     1.35     1.22
THULE      211028 300  182000-182500   00     136.36 1001.1    132.45     2.74     2.60
THULE      211028 300  182500-183000   00     135.80 1001.1    131.93     2.33     2.19
THULE      211028 300  183000-183500   00     134.70 1001.1    130.88     1.52     1.38
THULE      211028 300  183500-184000   00     135.53 1001.1    131.66     2.13     1.99
THULE      211028 300  184000-184500   00     134.95 1001.0    131.03     1.64     1.50
THULE      211028 300  184500-185000   00     134.79 1001.0    130.87     1.51     1.37
THULE      211028 300  185000-185500   00     134.74 1001.0    130.81     1.47     1.33
THULE      211028 300  185500-190000   00     136.13 1001.1    132.25     2.58     2.44
THULE      211028 300  190000-190500   00     135.70 1001.1    131.86     2.28     2.14
THULE      211028 300  190500-191000   00     136.43 1001.1    132.58     2.84     2.70
THULE      211028 300  191000-191500   00     135.67 1001.1    131.82     2.25     2.11
THULE      211028 300  191500-192000   00     133.60 1001.1    129.78     0.67     0.53
THULE      211028 300  192000-192500   00     136.33 1001.1    132.41     2.71     2.57
THULE      211028 300  192500-193000   00     133.17 1001.1    129.34     0.33     0.19
THULE      211028 300  193000-193500   00     135.08 1001.1    131.22     1.78     1.64
THULE      211028 300  193500-194000   00     134.76 1001.1    130.93     1.56     1.42
THULE      211028 300  194000-194500   00     134.63 1001.1    130.83     1.48     1.34
THULE      211028 300  194500-195000   00     134.21 1001.1    130.42     1.16     1.02
THULE      211028 300  195000-195500   00     134.64 1001.1    130.82     1.47     1.33
THULE      211028 300  195500-200000   00     135.41 1001.2    131.60     2.08     1.94
THULE      211028 300  200000-200500   00     134.14 1001.2    130.38     1.13     0.99
THULE      211028 300  200500-201000   00     134.59 1001.2    130.81     1.47     1.33
THULE      211028 300  201000-201500   00     134.87 1001.2    131.10     1.69     1.55
THULE      211028 300  201500-202000   00     134.04 1001.2    130.27     1.05     0.91
THULE      211028 300  202000-202500   00     134.39 1001.1    130.57     1.28     1.15
THULE      211028 300  202500-203000   00     134.44 1001.1    130.63     1.33     1.20
THULE      211028 300  203000-203500   00     134.92 1001.1    131.08     1.68     1.55
THULE      211028 300  203500-204000   00     134.56 1001.1    130.72     1.40     1.27
THULE      211028 300  204000-204500   00     134.25 1001.1    130.39     1.14     1.01
THULE      211028 300  204500-205000   00     133.90 1001.1    130.04     0.87     0.74
THULE      211028 300  205000-205500   00     133.79 1001.1    129.97     0.81     0.68
THULE      211028 300  205500-210000   00     132.88 1001.1    129.05     0.10    -0.03
THULE      211028 300  210000-210500   00     134.80 1001.1    130.90     1.54     1.42
THULE      211028 300  210500-211000   00     133.07 1001.0    129.22     0.23     0.11
THULE      211028 300  211000-211500   00     133.91 1001.1    130.04     0.87     0.75
THULE      211028 300  211500-212000   00     134.83 1001.1    130.95     1.57     1.45
THULE      211028 300  212000-212500   00     133.03 1001.1    129.23     0.24     0.12
THULE      211028 300  212500-213000   00     135.10 1001.1    131.24     1.80     1.68
THULE      211028 300  213000-213500   00     134.10 1001.1    130.24     1.03     0.92
THULE      211028 300  213500-214000   00     134.06 1001.1    130.18     0.98     0.87
THULE      211028 300  214000-214500   00     134.05 1001.0    130.14     0.94     0.83
THULE      211028 300  214500-215000   00     132.99 1001.0    129.09     0.14     0.03
THULE      211028 300  215000-215500   00     133.46 1001.0    129.52     0.46     0.35
THULE      211028 300  215500-220000   00     134.75 1000.9    130.75     1.42     1.32
THULE      211028 300  220000-220500   00     133.04 1001.0    129.10     0.14     0.04
THULE      211028 300  220500-221000   00     133.57 1001.0    129.61     0.54     0.44
THULE      211028 300  221000-221500   00     133.84 1000.9    129.83     0.71     0.61
THULE      211028 300  221500-222000   00     134.29 1000.9    130.29     1.06     0.97
THULE      211028 300  222000-222500   00     133.92 1000.9    129.93     0.78     0.69
THULE      211028 300  222500-223000   00     133.42 1001.0    129.46     0.42     0.33
THULE      211028 300  223000-223500   00     132.57 1001.0    128.65    -0.21    -0.30
THULE      211028 300  223500-224000   00     132.58 1001.0    128.68    -0.19    -0.27
THULE      211028 300  224000-224500   00     132.90 1000.9    128.94     0.02    -0.06
THULE      211028 300  224500-225000   00     133.83 1000.9    129.83     0.71     0.63
THULE      211028 300  225000-225500   00     134.96 1001.0    130.95     1.58     1.51
THULE      211028 300  225500-230000   00     133.73 1001.0    129.77     0.66     0.59
THULE      211028 300  230000-230500   00     133.43 1001.0    129.51     0.46     0.39
THULE      211028 300  230500-231000   00     133.38 1001.0    129.50     0.45     0.38
THULE      211028 300  231000-231500   00     133.72 1001.1    129.86     0.73     0.67
THULE      211028 300  231500-232000   00     134.01 1001.1    130.14     0.95     0.89
THULE      211028 300  232000-232500   00     134.58 1001.1    130.69     1.37     1.31
THULE      211028 300  232500-233000   00     133.58 1001.1    129.72     0.62     0.57
THULE      211028 300  233000-233500   00     132.06 1001.0    128.23    -0.54    -0.59
THULE      211028 300  233500-234000   00     133.87 1001.0    129.98     0.82     0.78
THULE      211028 300  234000-234500   00     133.82 1001.0    129.93     0.78     0.74
THULE      211028 300  234500-235000   00     132.40 1001.0    128.53    -0.30    -0.34
THULE      211028 300  235000-235500   00     134.26 1001.0    130.31     1.08     1.05
THULE      211028 300  235500-240000   00     134.24 1001.0    130.28     1.05     1.02
THULE      211029 3600 000000-010000   00     133.08 1001.0    129.15     0.18     0.18
THULE      211029 3600 010000-020000   00     133.47 1000.7    129.24     0.25     0.31
THULE      211029 3600 020000-030000   00     133.15 1000.3    128.62    -0.23    -0.10
THULE      211029 3600 030000-040000   00     133.38 1000.1    128.59    -0.26    -9999
THULE      211029 3600 040000-050000   00     133.42  999.9    128.47    -0.35    -9999
THULE      211029 3600 050000-060000   00     133.31  999.8    128.21    -0.55    -9999
THULE      211029 3600 060000-070000   00     133.73  999.6    128.47    -0.35    -9999
THULE      211029 3600 070000-080000   00     134.20  999.5    128.84    -0.06    -9999
THULE      211029 3600 080000-090000   00     134.05  999.4    128.56    -0.28    -9999
THULE      211029 3600 090000-100000   00     134.09  999.2    128.42    -0.38    -9999
THULE      211029 3600 100000-110000   00     134.45  999.0    128.60    -0.25    -9999
THULE      211029 3600 110000-120000   00     134.65  998.8    128.60    -0.25    -9999
THULE      211029 3600 120000-130000   00     134.82  998.5    128.42    -0.39    -9999
THULE      211029 3600 130000-140000   00     135.43  998.2    128.78    -0.11    -9999
THULE      211029 3600 140000-150000   00     135.69  998.1    128.92     0.00    -9999
THULE      211029 3600 150000-160000   00     136.01  998.0    129.12     0.16    -9999
THULE      211029 3600 160000-170000   00     136.40  998.0    129.48     0.44    -9999
THULE      211029 3600 170000-180000   00     136.50  998.0    129.57     0.51    -9999
THULE      211029 3600 180000-190000   00     137.28  997.9    130.19     0.99    -9999
THULE      211029 3600 190000-200000   00     136.32  997.9    129.33     0.32    -9999
THULE      211029 3600 200000-210000   00     136.99  997.9    129.90     0.76    -9999
THULE      211029 3600 210000-220000   00     136.81  998.0    129.87     0.74    -9999
THULE      211029 3600 220000-230000   00     136.81  998.2    130.09     0.91    -9999
THULE      211029 3600 230000-240000   00     136.37  998.2    129.65     0.57    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (15.05.2022)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073THUL_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
