ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,450.22      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 120517 300  080000-080500   00    1384.52  677.6   1460.18     0.70    -9999
ALMA-ATA-B 120517 300  080500-081000   00    1382.32  677.6   1457.74     0.50    -9999
ALMA-ATA-B 120517 300  081000-081500   00    1380.24  677.7   1455.90     0.40    -9999
ALMA-ATA-B 120517 300  081500-082000   00    1379.28  677.7   1454.96     0.30    -9999
ALMA-ATA-B 120517 300  082000-082500   00    1381.94  677.7   1457.86     0.50    -9999
ALMA-ATA-B 120517 300  082500-083000   00    1376.76  677.7   1452.26     0.10    -9999
ALMA-ATA-B 120517 300  083000-083500   00    1378.12  677.7   1453.52     0.20    -9999
ALMA-ATA-B 120517 300  083500-084000   00    1382.82  677.6   1458.36     0.60    -9999
ALMA-ATA-B 120517 300  084000-084500   00    1371.36  677.7   1446.54    -0.30    -9999
ALMA-ATA-B 120517 300  084500-085000   00    1382.86  677.6   1458.10     0.50    -9999
ALMA-ATA-B 120517 300  085000-085500   00    1387.34  677.6   1462.26     0.80    -9999
ALMA-ATA-B 120517 300  085500-090000   00    1379.40  677.5   1453.76     0.20    -9999
ALMA-ATA-B 120517 300  090000-090500   00    1383.72  677.5   1458.04     0.50    -9999
ALMA-ATA-B 120517 300  090500-091000   00    1380.52  677.5   1454.90     0.30    -9999
ALMA-ATA-B 120517 300  091000-091500   00    1382.50  677.5   1457.08     0.50    -9999
ALMA-ATA-B 120517 300  091500-092000   00    1391.66  677.5   1466.68     1.10    -9999
ALMA-ATA-B 120517 300  092000-092500   00    1388.54  677.6   1463.52     0.90    -9999
ALMA-ATA-B 120517 300  092500-093000   00    1381.70  677.5   1456.20     0.40    -9999
ALMA-ATA-B 120517 300  093000-093500   00    1377.64  677.5   1451.76     0.10    -9999
ALMA-ATA-B 120517 300  093500-094000   00    1386.86  677.5   1461.36     0.80    -9999
ALMA-ATA-B 120517 300  094000-094500   00    1385.28  677.5   1459.98     0.70    -9999
ALMA-ATA-B 120517 300  094500-095000   00    1380.18  677.5   1454.52     0.30    -9999
ALMA-ATA-B 120517 300  095000-095500   00    1372.72  677.5   1446.62    -0.20    -9999
ALMA-ATA-B 120517 300  095500-100000   00    1373.52  677.5   1447.44    -0.20    -9999
ALMA-ATA-B 120517 300  100000-100500   00    1375.10  677.5   1449.28    -0.10    -9999
ALMA-ATA-B 120517 300  100500-101000   00    -999.00 -999.0   -999.00    -9999    -9999
ALMA-ATA-B 120517 300  101000-101500   00    -999.00 -999.0   -999.00    -9999    -9999
ALMA-ATA-B 120517 300  101500-102000   00    -999.00 -999.0   -999.00    -9999    -9999
ALMA-ATA-B 120517 300  102000-102500   00    1380.20  677.6   1455.40     0.40    -9999
ALMA-ATA-B 120517 300  102500-103000   00    1382.78  677.6   1458.34     0.60    -9999
ALMA-ATA-B 120517 300  103000-103500   00    1386.30  677.7   1462.30     0.80    -9999
ALMA-ATA-B 120517 300  103500-104000   00    -999.00 -999.0   -999.00    -9999    -9999
ALMA-ATA-B 120517 300  104000-104500   00    -999.00 -999.0   -999.00    -9999    -9999
ALMA-ATA-B 120517 300  104500-105000   00    1384.70  677.7   1461.17     0.80    -9999
ALMA-ATA-B 120517 300  105000-105500   00    1381.34  677.7   1457.64     0.50    -9999
ALMA-ATA-B 120517 300  105500-110000   00    1381.10  677.8   1458.00     0.50    -9999
ALMA-ATA-B 120517 300  110000-110500   00    1369.06  677.8   1445.82    -0.30    -9999
ALMA-ATA-B 120517 300  110500-111000   00    1374.44  677.9   1452.36     0.10    -9999
ALMA-ATA-B 120517 300  111000-111500   00    1362.34  678.0   1440.36    -0.70    -9999
ALMA-ATA-B 120517 300  111500-112000   00    1363.90  678.0   1442.48    -0.50    -9999
ALMA-ATA-B 120517 300  112000-112500   00    1359.60  678.0   1437.96    -0.80    -9999
ALMA-ATA-B 120517 300  112500-113000   00    1366.46  678.0   1445.28    -0.30    -9999
ALMA-ATA-B 120517 300  113000-113500   00    1356.78  678.1   1435.64    -1.00    -9999
ALMA-ATA-B 120517 300  113500-114000   00    1366.90  678.1   1446.34    -0.30    -9999
ALMA-ATA-B 120517 300  114000-114500   00    1361.60  678.0   1439.88    -0.70    -9999
ALMA-ATA-B 120517 300  114500-115000   00    1359.44  678.0   1437.14    -0.90    -9999
ALMA-ATA-B 120517 300  115000-115500   00    1367.60  678.0   1445.56    -0.30    -9999
ALMA-ATA-B 120517 300  115500-120000   00    1368.68  678.0   1446.90    -0.20    -9999
ALMA-ATA-B 120517 300  120000-120500   00    1364.74  678.0   1442.50    -0.50    -9999
ALMA-ATA-B 120517 300  120500-121000   00    1357.90  677.9   1434.92    -1.10    -9999
ALMA-ATA-B 120517 300  121000-121500   00    1357.06  677.9   1434.22    -1.10    -9999
ALMA-ATA-B 120517 300  121500-122000   00    1366.48  677.9   1444.18    -0.40    -9999
ALMA-ATA-B 120517 300  122000-122500   00    1360.32  678.0   1437.80    -0.90    -9999
ALMA-ATA-B 120517 300  122500-123000   00    1364.64  677.9   1442.16    -0.60    -9999
ALMA-ATA-B 120517 300  123000-123500   00    1355.54  678.0   1432.94    -1.20    -9999
