MCMURDO    LATITUDE    -77.85    LONGITUDE     166.72    ALTITUDE    48 M
MCMURDO    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
MCMURDO    STANDARD PRESSURE    730     MMHG   COEFFICIENT   -0.99     % / MMHG
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    225.22      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    60          3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
MCMURDO    000714 60   100300-100400   00     218.89  732.5    224.38    -0.60    -0.77
MCMURDO    000714 60   100400-100500   00     210.60  732.5    215.88    -4.40    -4.57
MCMURDO    000714 60   100500-100600   00     222.21  732.5    227.78     0.90     0.72
MCMURDO    000714 60   100600-100700   00     220.55  732.5    226.08     0.20     0.02
MCMURDO    000714 60   100700-100800   00     217.24  732.5    222.68    -1.30    -1.48
MCMURDO    000714 60   100800-100900   00     220.55  732.5    226.08     0.20     0.02
MCMURDO    000714 60   100900-101000   00     222.21  732.5    227.78     0.90     0.71
MCMURDO    000714 60   101000-101100   00     213.92  732.5    219.28    -2.80    -2.99
MCMURDO    000714 60   101100-101200   00     213.92  732.5    219.28    -2.80    -2.99
MCMURDO    000714 60   101200-101300   00     215.58  732.5    220.98    -2.10    -2.30
MCMURDO    000714 60   101300-101400   00     227.18  732.5    232.88     3.20     3.00
MCMURDO    000714 60   101400-101500   00     218.89  732.5    224.38    -0.60    -0.80
MCMURDO    000714 60   101500-101600   00     222.21  732.5    227.78     0.90     0.70
MCMURDO    000714 60   101600-101700   00     220.55  732.5    226.08     0.20    -0.01
MCMURDO    000714 60   101700-101800   00     217.24  732.5    222.68    -1.30    -1.51
MCMURDO    000714 60   101800-101900   00     223.87  732.5    229.48     1.70     1.49
MCMURDO    000714 60   101900-102000   00     220.55  732.5    226.08     0.20    -0.01
MCMURDO    000714 60   102000-102100   00     222.21  732.5    227.78     0.90     0.68
MCMURDO    000714 60   102100-102200   00     225.53  732.5    231.18     2.40     2.18
MCMURDO    000714 60   102200-102300   00     220.55  732.5    226.08     0.20    -0.02
MCMURDO    000714 60   102300-102400   00     225.53  732.5    231.18     2.40     2.17
MCMURDO    000714 60   102400-102500   00     218.89  732.5    224.38    -0.60    -0.83
MCMURDO    000714 60   102500-102600   00     223.87  732.5    229.48     1.70     1.47
MCMURDO    000714 60   102600-102700   00     222.21  732.5    227.78     0.90     0.67
MCMURDO    000714 60   102700-102800   00     223.87  732.5    229.48     1.70     1.46
MCMURDO    000714 60   102800-102900   00     218.89  732.5    224.38    -0.60    -0.84
MCMURDO    000714 60   102900-103000   00     223.87  732.5    229.48     1.70     1.46
MCMURDO    000714 60   103000-103100   00     217.24  732.5    222.68    -1.30    -1.55
MCMURDO    000714 60   103100-103200   00     222.21  732.5    227.78     0.90     0.65
MCMURDO    000714 60   103200-103300   00     218.89  732.5    224.38    -0.60    -0.85
MCMURDO    000714 60   103300-103400   00     223.87  732.5    229.48     1.70     1.45
MCMURDO    000714 60   103400-103500   00     217.24  732.5    222.68    -1.30    -1.56
MCMURDO    000714 60   103500-103600   00     218.89  732.5    224.38    -0.60    -0.86
MCMURDO    000714 60   103600-103700   00     225.53  732.5    231.18     2.40     2.14
MCMURDO    000714 60   103700-103800   00     223.87  732.5    229.48     1.70     1.44
MCMURDO    000714 60   103800-103900   00     225.53  732.5    231.18     2.40     2.13
MCMURDO    000714 60   103900-104000   00     230.50  732.5    236.28     4.70     4.43
MCMURDO    000714 60   104000-104100   00     233.82  732.5    239.68     6.20     5.93
MCMURDO    000714 60   104100-104200   00     238.79  732.5    244.78     8.50     8.23
MCMURDO    000714 60   104200-104300   00     248.74  732.5    254.98    13.00    12.72
MCMURDO    000714 60   104300-104400   00     252.06  732.5    258.38    14.50    14.22
MCMURDO    000714 60   104400-104500   00     260.35  732.5    266.87    18.20    17.92
MCMURDO    000714 60   104500-104600   00     258.69  732.5    265.17    17.50    17.21
MCMURDO    000714 60   104600-104700   00     260.35  732.5    266.87    18.20    17.91
MCMURDO    000714 60   104700-104800   00     270.30  732.5    277.07    22.80    22.51
MCMURDO    000714 60   104800-104900   00     268.64  732.5    275.37    22.00    21.71
MCMURDO    000714 60   104900-105000   00     278.59  732.5    285.57    26.50    26.20
MCMURDO    000714 60   105000-105100   00     278.59  732.5    285.57    26.50    26.20
MCMURDO    000714 60   105100-105200   00     288.54  732.5    295.77    31.00    30.70
MCMURDO    000714 60   105200-105300   00     285.22  732.5    292.37    29.50    29.20
MCMURDO    000714 60   105300-105400   00     280.25  732.5    287.27    27.30    26.99
MCMURDO    000714 60   105400-105500   00     276.93  732.5    283.87    25.80    25.49
MCMURDO    000714 60   105500-105600   00     275.28  732.5    282.17    25.00    24.69
MCMURDO    000714 60   105600-105700   00     275.28  732.5    282.17    25.00    24.69
MCMURDO    000714 60   105700-105800   00     270.30  732.5    277.07    22.80    22.48
MCMURDO    000714 60   105800-105900   00     281.91  732.5    288.97    28.00    27.68
MCMURDO    000714 60   105900-110000   00     285.22  732.5    292.32    29.50    29.18
MCMURDO    000714 60   110000-110100   00     276.93  732.4    283.59    25.60    25.28
MCMURDO    000714 60   110100-110200   00     278.59  732.4    285.29    26.40    26.07
MCMURDO    000714 60   110200-110300   00     276.93  732.4    283.59    25.60    25.27
MCMURDO    000714 60   110300-110400   00     275.28  732.4    281.94    24.90    24.57
MCMURDO    000714 60   110400-110500   00     275.28  732.5    282.17    25.00    24.67
MCMURDO    000714 60   110500-110600   00     276.93  732.5    283.83    25.80    25.46
MCMURDO    000714 60   110600-110700   00     268.64  732.4    275.10    21.90    21.56
MCMURDO    000714 60   110700-110800   00     283.57  732.4    290.38    28.70    28.36
MCMURDO    000714 60   110800-110900   00     281.91  732.4    288.69    27.90    27.56
MCMURDO    000714 60   110900-111000   00     285.22  732.4    292.08    29.40    29.05
MCMURDO    000714 60   111000-111100   00     286.88  732.4    293.78    30.20    29.85
MCMURDO    000714 60   111100-111200   00     281.91  732.4    288.69    27.90    27.55
MCMURDO    000714 60   111200-111300   00     276.93  732.4    283.59    25.60    25.25
MCMURDO    000714 60   111300-111400   00     281.91  732.4    288.73    27.90    27.54
MCMURDO    000714 60   111400-111500   00     280.25  732.5    287.27    27.30    26.94
MCMURDO    000714 60   111500-111600   00     281.91  732.5    288.93    28.00    27.64
MCMURDO    000714 60   111600-111700   00     281.91  732.4    288.69    27.90    27.54
MCMURDO    000714 60   111700-111800   00     290.20  732.4    297.18    31.70    31.33
MCMURDO    000714 60   111800-111900   00     285.22  732.4    292.08    29.40    29.03
MCMURDO    000714 60   111900-112000   00     280.25  732.4    286.99    27.20    26.83
MCMURDO    000714 60   112000-112100   00     283.57  732.4    290.38    28.70    28.33
MCMURDO    000714 60   112100-112200   00     293.52  732.4    300.57    33.20    32.82
MCMURDO    000714 60   112200-112300   00     288.54  732.4    295.48    30.90    30.52
MCMURDO    000714 60   112300-112400   00     288.54  732.4    295.48    30.90    30.52
MCMURDO    000714 60   112400-112500   00     296.83  732.4    303.97    34.70    34.32
MCMURDO    000714 60   112500-112600   00     288.54  732.4    295.48    30.90    30.51
MCMURDO    000714 60   112600-112700   00     286.88  732.4    293.78    30.20    29.81
MCMURDO    000714 60   112700-112800   00     290.20  732.4    297.23    31.70    31.31
MCMURDO    000714 60   112800-112900   00     285.22  732.5    292.37    29.50    29.11
MCMURDO    000714 60   112900-113000   00     286.88  732.5    294.07    30.30    29.90
MCMURDO    000714 60   113000-113100   00     285.22  732.5    292.37    29.50    29.10
MCMURDO    000714 60   113100-113200   00     283.57  732.5    290.67    28.80    28.40
MCMURDO    000714 60   113200-113300   00     285.22  732.5    292.37    29.50    29.10
MCMURDO    000714 60   113300-113400   00     290.20  732.5    297.42    31.80    31.39
MCMURDO    000714 60   113400-113500   00     283.57  732.4    290.38    28.70    28.29
MCMURDO    000714 60   113500-113600   00     275.28  732.4    281.94    24.90    24.49
MCMURDO    000714 60   113600-113700   00     278.59  732.5    285.57    26.50    26.09
MCMURDO    000714 60   113700-113800   00     276.93  732.5    283.83    25.80    25.38
MCMURDO    000714 60   113800-113900   00     280.25  732.4    286.99    27.20    26.78
