NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    993.3   mb     COEFFICIENT   -0.718    % / mb
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    173.57      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NOVOSIBIRS 061213 300  055000-055500   00     173.93  996.0    177.36     2.20     2.20
NOVOSIBIRS 061213 300  055500-060000   00     172.81  996.1    176.28     1.60     1.60
NOVOSIBIRS 061213 300  060000-060500   00     175.47  996.1    179.05     3.20     3.20
NOVOSIBIRS 061213 300  060500-061000   00     173.12  996.1    176.70     1.80     1.80
NOVOSIBIRS 061213 300  061000-061500   00     173.40  996.2    177.03     2.00     2.00
NOVOSIBIRS 061213 300  061500-062000   00     172.96  996.2    176.62     1.80     1.80
NOVOSIBIRS 061213 300  062000-062500   00     174.11  996.2    177.84     2.50     2.50
NOVOSIBIRS 061213 300  062500-063000   00     171.34  996.3    175.05     0.90     0.90
NOVOSIBIRS 061213 300  063000-063500   00     172.49  996.3    176.27     1.60     1.60
NOVOSIBIRS 061213 300  063500-064000   00     176.10  996.3    180.00     3.70     3.70
NOVOSIBIRS 061213 300  064000-064500   00     174.05  996.4    177.94     2.50     2.50
NOVOSIBIRS 061213 300  064500-065000   00     173.99  996.4    177.92     2.50     2.50
NOVOSIBIRS 061213 300  065000-065500   00     174.15  996.4    178.12     2.60     2.60
NOVOSIBIRS 061213 300  065500-070000   00     173.99  996.5    178.01     2.60     2.60
NOVOSIBIRS 061213 300  070000-070500   00     171.56  996.5    175.55     1.10     1.10
NOVOSIBIRS 061213 300  070500-071000   00     170.77  996.5    174.73     0.70     0.70
NOVOSIBIRS 061213 300  071000-071500   00     169.01  996.5    172.94    -0.40    -0.40
NOVOSIBIRS 061213 300  071500-072000   00     170.18  996.5    174.14     0.30     0.30
NOVOSIBIRS 061213 300  072000-072500   00     172.58  996.5    176.59     1.70     1.70
NOVOSIBIRS 061213 300  072500-073000   00     170.57  996.5    174.53     0.60     0.60
NOVOSIBIRS 061213 300  073000-073500   00     173.36  996.5    177.39     2.20     2.20
