MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982     mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    180.38      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    120517 300  045500-050000   00     183.65  978.4    181.49     0.60     0.60
MAGADAN    120517 300  050000-050500   00     182.50  978.4    180.38     0.00     0.00
MAGADAN    120517 300  050500-051000   00     182.08  978.4    179.95    -0.20    -0.20
MAGADAN    120517 300  051000-051500   00     181.20  978.4    179.10    -0.70    -0.70
MAGADAN    120517 300  051500-052000   00     181.96  978.4    179.82    -0.30    -0.30
MAGADAN    120517 300  052000-052500   00     184.35  978.4    182.18     1.00     1.00
MAGADAN    120517 300  052500-053000   00     183.07  978.3    180.88     0.30     0.30
MAGADAN    120517 300  053000-053500   00     184.76  978.3    182.53     1.20     1.20
MAGADAN    120517 300  053500-054000   00     183.98  978.3    181.77     0.80     0.80
MAGADAN    120517 300  054000-054500   00     181.77  978.3    179.55    -0.50    -0.50
MAGADAN    120517 300  054500-055000   00     182.24  978.3    180.03    -0.20    -0.20
MAGADAN    120517 300  055000-055500   00     183.41  978.3    181.18     0.40     0.40
MAGADAN    120517 300  055500-060000   00     183.10  978.3    180.91     0.30     0.30
MAGADAN    120517 300  060000-060500   00     182.38  978.3    180.21    -0.10    -9999
MAGADAN    120517 300  060500-061000   00     180.95  978.3    178.81    -0.90    -9999
MAGADAN    120517 300  061000-061500   00     182.86  978.4    180.72     0.20    -9999
MAGADAN    120517 300  061500-062000   00     182.93  978.4    180.81     0.20    -9999
MAGADAN    120517 300  062000-062500   00     182.64  978.4    180.60     0.10    -9999
MAGADAN    120517 300  062500-063000   00     182.79  978.4    180.75     0.20    -9999
MAGADAN    120517 300  063000-063500   00     183.11  978.5    181.13     0.40    -9999
