DOURBES    LATITUDE    50.1      LONGITUDE     4.6       ALTITUDE    225 M
DOURBES    INSTRUMENT   9-NM-64  NEUTRON MONITOR	
DOURBES    STANDARD PRESSURE    -9999   MB     COEFFICIENT   -9999     % / MB
DOURBES    PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOURBES    PRE-INCREASE AVERAGE COUNTING RATE    112.75      COUNTS PER SECOND
DOURBES    TIME INTERVALS    300         3600     
DOURBES    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOURBES    211028 300  205000-205500   00     111.17  985.7    110.44    -2.05    -9999
DOURBES    211028 300  205500-210000   00     113.03  985.7    112.27    -0.43    -9999
DOURBES    211028 300  210000-210500   00     113.01  985.7    112.25    -0.45    -9999
DOURBES    211028 300  210500-211000   00     112.12  985.7    111.36    -1.24    -9999
DOURBES    211028 300  211000-211500   00     110.55  985.6    109.77    -2.65    -9999
DOURBES    211028 300  211500-212000   00     112.99  985.6    112.15    -0.53    -9999
DOURBES    211028 300  212000-212500   00     113.53  985.6    112.70    -0.05    -9999
DOURBES    211028 300  212500-213000   00     114.16  985.6    113.34     0.52    -9999
DOURBES    211028 300  213000-213500   00     111.86  985.7    111.09    -1.47    -9999
DOURBES    211028 300  213500-214000   00     112.61  985.7    111.86    -0.79    -9999
DOURBES    211028 300  214000-214500   00     112.75  985.7    112.01    -0.66    -9999
DOURBES    211028 300  214500-215000   00     111.18  985.7    110.46    -2.03    -9999
DOURBES    211028 300  215000-215500   00     111.99  985.7    111.24    -1.34    -9999
DOURBES    211028 300  215500-220000   00     111.60  985.6    110.80    -1.73    -9999
DOURBES    211028 300  220000-220500   00     112.62  985.6    111.83    -0.82    -9999
DOURBES    211028 300  220500-221000   00     112.17  985.6    111.38    -1.22    -9999
DOURBES    211028 300  221000-221500   00     113.48  985.6    112.63    -0.11    -9999
DOURBES    211028 300  221500-222000   00     113.31  985.5    112.40    -0.32    -9999
DOURBES    211028 300  222000-222500   00     112.80  985.4    111.84    -0.81    -9999
DOURBES    211028 300  222500-223000   00     113.40  985.4    112.44    -0.28    -9999
DOURBES    211028 300  223000-223500   00     112.21  985.4    111.21    -1.37    -9999
DOURBES    211028 300  223500-224000   00     113.05  985.3    112.01    -0.66    -9999
DOURBES    211028 300  224000-224500   00     113.45  985.3    112.36    -0.35    -9999
DOURBES    211028 300  224500-225000   00     112.56  985.2    111.45    -1.16    -9999
DOURBES    211028 300  225000-225500   00     114.33  985.2    113.18     0.38    -9999
DOURBES    211028 300  225500-230000   00     111.83  985.2    110.71    -1.81    -9999
DOURBES    211028 300  230000-230500   00     112.03  985.2    110.88    -1.66    -9999
DOURBES    211028 300  230500-231000   00     113.74  985.2    112.55    -0.18    -9999
DOURBES    211028 300  231000-231500   00     114.30  985.0    113.01     0.23    -9999
DOURBES    211028 300  231500-232000   00     112.28  985.0    111.02    -1.54    -9999
DOURBES    211028 300  232000-232500   00     113.56  985.0    112.23    -0.46    -9999
DOURBES    211028 300  232500-233000   00     113.86  984.9    112.45    -0.27    -9999
DOURBES    211028 300  233000-233500   00     114.05  984.8    112.58    -0.16    -9999
DOURBES    211028 300  233500-234000   00     111.60  984.8    110.13    -2.32    -9999
DOURBES    211028 300  234000-234500   00     112.45  984.8    110.97    -1.58    -9999
DOURBES    211028 300  234500-235000   00     110.77  984.8    109.29    -3.07    -9999
DOURBES    211028 300  235000-235500   00     112.44  984.7    110.91    -1.63    -9999
DOURBES    211028 300  235500-000000   00     113.48  984.7    111.92    -0.74    -9999
DOURBES    211029 3600 000000-010000   00     113.40  984.6    111.73    -0.91    -9999
DOURBES    211029 3600 010000-020000   00     113.94  984.2    111.96    -0.70    -9999
DOURBES    211029 3600 020000-030000   00     114.33  983.7    111.90    -0.75    -9999
DOURBES    211029 3600 030000-040000   00     115.08  983.2    112.29    -0.41    -9999
DOURBES    211029 3600 040000-050000   00     116.23  982.8    113.04     0.26    -9999
DOURBES    211029 3600 050000-060000   00     116.69  982.2    113.00     0.22    -9999
DOURBES    211029 3600 060000-070000   00     116.61  981.9    112.62    -0.12    -9999
DOURBES    211029 3600 070000-080000   00     116.50  981.9    112.50    -0.22    -9999
DOURBES    211029 3600 080000-090000   00     116.79  981.5    112.46    -0.26    -9999
DOURBES    211029 3600 090000-100000   00     117.49  981.1    112.86     0.09    -9999
DOURBES    211029 3600 100000-110000   00     117.72  980.9    112.92     0.15    -9999
DOURBES    211029 3600 110000-120000   00     118.21  980.3    112.86     0.10    -9999
DOURBES    211029 3600 120000-130000   00     118.90  980.0    113.22     0.41    -9999
DOURBES    211029 3600 130000-140000   00     118.95  979.7    113.08     0.29    -9999
DOURBES    211029 3600 140000-150000   00     119.24  979.7    113.36     0.54    -9999
DOURBES    211029 3600 150000-160000   00     119.04  980.2    113.58     0.74    -9999
DOURBES    211029 3600 160000-170000   00     118.13  980.7    113.09     0.30    -9999
DOURBES    211029 3600 170000-180000   00     117.35  981.1    112.70    -0.05    -9999
DOURBES    211029 3600 180000-190000   00     117.41  981.4    112.99     0.21    -9999
DOURBES    211029 3600 190000-200000   00     118.01  981.2    113.41     0.59    -9999
DOURBES    211029 3600 200000-210000   00     117.28  981.1    112.64    -0.10    -9999
DOURBES    211029 3600 210000-220000   00     117.46  980.9    112.68    -0.07    -9999
DOURBES    211029 3600 220000-230000   00     117.58  980.7    112.57    -0.16    -9999
DOURBES    211029 3600 230000-000000   00     118.05  979.9    112.39    -0.32    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (30.10.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073DRBS.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
