HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    1012.3  mb     COEFFICIENT   -0.73     % / mb
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    110.14      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
HERMANUS   031028 300  150500-151000   00     112.68 1011.5    112.01     1.70    -9999
HERMANUS   031028 300  151000-151500   00     111.74 1011.5    111.05     0.80    -9999
HERMANUS   031028 300  151500-152000   00     113.32 1011.4    112.61     2.20    -9999
HERMANUS   031028 300  152000-152500   00     111.42 1011.4    110.71     0.50    -9999
HERMANUS   031028 300  152500-153000   00     112.45 1011.4    111.72     1.40    -9999
HERMANUS   031028 300  153000-153500   00     111.93 1011.4    111.19     0.90    -9999
HERMANUS   031028 300  153500-154000   00     112.64 1011.4    111.88     1.60    -9999
HERMANUS   031028 300  154000-154500   00     112.96 1011.4    112.19     1.90    -9999
HERMANUS   031028 300  154500-155000   00     111.71 1011.3    110.93     0.70    -9999
HERMANUS   031028 300  155000-155500   00     113.75 1011.3    112.95     2.50    -9999
HERMANUS   031028 300  155500-160000   00     112.55 1011.3    111.74     1.40    -9999
HERMANUS   031028 300  160000-160500   00     111.10 1011.3    110.30     0.20    -9999
HERMANUS   031028 300  160500-161000   00     113.00 1011.3    112.22     1.90    -9999
HERMANUS   031028 300  161000-161500   00     113.07 1011.4    112.31     2.00    -9999
HERMANUS   031028 300  161500-162000   00     110.60 1011.4    109.89    -0.20    -9999
HERMANUS   031028 300  162000-162500   00     113.27 1011.4    112.57     2.20    -9999
HERMANUS   031028 300  162500-163000   00     113.28 1011.5    112.60     2.20    -9999
HERMANUS   031028 300  163000-163500   00     113.86 1011.5    113.21     2.80    -9999
HERMANUS   031028 300  163500-164000   00     113.03 1011.5    112.41     2.10    -9999
HERMANUS   031028 300  164000-164500   00     110.19 1011.6    109.61    -0.50    -9999
HERMANUS   031028 300  164500-165000   00     111.65 1011.6    111.09     0.80    -9999
HERMANUS   031028 300  165000-165500   00     112.68 1011.6    112.15     1.80    -9999
HERMANUS   031028 300  165500-170000   00     111.82 1011.7    111.32     1.10    -9999
HERMANUS   031028 300  170000-170500   00     111.39 1011.7    110.91     0.70    -9999
HERMANUS   031028 300  170500-171000   00     111.89 1011.7    111.44     1.10    -9999
HERMANUS   031028 300  171000-171500   00     109.93 1011.8    109.51    -0.60    -9999
HERMANUS   031028 300  171500-172000   00     113.37 1011.8    112.97     2.50    -9999
HERMANUS   031028 300  172000-172500   00     111.78 1011.8    111.41     1.20    -9999
HERMANUS   031028 300  172500-173000   00     112.09 1011.9    111.75     1.50    -9999
HERMANUS   031028 300  173000-173500   00     110.98 1011.9    110.66     0.50    -9999
HERMANUS   031028 300  173500-174000   00     112.57 1011.9    112.27     1.90    -9999
HERMANUS   031028 300  174000-174500   00     110.43 1012.0    110.18     0.00    -9999
HERMANUS   031028 300  174500-175000   00     112.78 1012.0    112.54     2.20    -9999
HERMANUS   031028 300  175000-175500   00     111.24 1012.0    111.03     0.80    -9999
HERMANUS   031028 300  175500-180000   00     110.69 1012.1    110.51     0.30    -9999
HERMANUS   031028 300  180000-180500   00     111.77 1012.1    111.61     1.30    -9999
HERMANUS   031028 300  180500-181000   00     109.91 1012.1    109.74    -0.40    -9999
HERMANUS   031028 300  181000-181500   00     112.54 1012.1    112.36     2.00    -9999
