JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    159.14      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   120517 300  065500-070000   00     170.98  654.9    160.50     0.90    -9999
JUNGFRAU   120517 300  070000-070500   00     170.59  654.9    160.34     0.80    -9999
JUNGFRAU   120517 300  070500-071000   00     172.12  655.0    161.72     1.60    -9999
JUNGFRAU   120517 300  071000-071500   00     171.12  655.0    160.73     1.00    -9999
JUNGFRAU   120517 300  071500-072000   00     171.57  655.0    161.28     1.30    -9999
JUNGFRAU   120517 300  072000-072500   00     172.27  655.1    162.00     1.80    -9999
JUNGFRAU   120517 300  072500-073000   00     172.84  655.1    162.52     2.10    -9999
JUNGFRAU   120517 300  073000-073500   00     172.75  655.2    162.59     2.20    -9999
JUNGFRAU   120517 300  073500-074000   00     171.02  655.2    160.97     1.10    -9999
JUNGFRAU   120517 300  074000-074500   00     171.75  655.2    161.72     1.60    -9999
JUNGFRAU   120517 300  074500-075000   00     170.92  655.3    160.98     1.20    -9999
JUNGFRAU   120517 300  075000-075500   00     172.32  655.3    162.27     2.00    -9999
JUNGFRAU   120517 300  075500-080000   00     172.89  655.3    163.01     2.40    -9999
JUNGFRAU   120517 300  080000-080500   00     172.18  655.3    162.19     1.90    -9999
JUNGFRAU   120517 300  080500-081000   00     171.62  655.4    161.67     1.60    -9999
JUNGFRAU   120517 300  081000-081500   00     171.50  655.4    161.58     1.50    -9999
JUNGFRAU   120517 300  081500-082000   00     172.57  655.4    162.53     2.10    -9999
JUNGFRAU   120517 300  082000-082500   00     171.63  655.4    161.73     1.60    -9999
JUNGFRAU   120517 300  082500-083000   00     172.22  655.4    162.40     2.00    -9999
JUNGFRAU   120517 300  083000-083500   00     171.14  655.4    161.32     1.40    -9999
JUNGFRAU   120517 300  083500-084000   00     171.01  655.4    161.18     1.30    -9999
JUNGFRAU   120517 300  084000-084500   00     171.36  655.4    161.68     1.60    -9999
JUNGFRAU   120517 300  084500-085000   00     172.02  655.4    162.17     1.90    -9999
JUNGFRAU   120517 300  085000-085500   00     171.16  655.5    161.39     1.40    -9999
