HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    760     MMHG   COEFFICIENT   -0.95     % / MMHG
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    118.24      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
HERMANUS   010415 300  154000-154500   00     111.86  755.9    116.33    -1.60     0.26
HERMANUS   010415 300  154500-155000   00     113.46  755.9    117.96    -0.20     1.74
HERMANUS   010415 300  155000-155500   00     112.17  755.8    116.69    -1.30     0.71
HERMANUS   010415 300  155500-160000   00     112.48  755.8    117.06    -1.00     1.08
HERMANUS   010415 300  160000-160500   00     113.61  755.8    118.23     0.00     2.15
HERMANUS   010415 300  160500-161000   00     113.63  755.8    118.26     0.00     2.22
HERMANUS   010415 300  161000-161500   00     112.62  755.8    117.21    -0.90     1.39
HERMANUS   010415 300  161500-162000   00     111.04  755.9    115.45    -2.40    -0.04
HERMANUS   010415 300  162000-162500   00     114.97  756.0    119.44     1.00     3.43
HERMANUS   010415 300  162500-163000   00     110.91  756.1    115.12    -2.60    -0.10
HERMANUS   010415 300  163000-163500   00     112.68  756.2    116.87    -1.20     1.37
HERMANUS   010415 300  163500-164000   00     111.37  756.2    115.51    -2.30     0.34
HERMANUS   010415 300  164000-164500   00     111.90  756.1    116.08    -1.80     0.91
HERMANUS   010415 300  164500-165000   00     112.30  756.2    116.40    -1.60     1.18
HERMANUS   010415 300  165000-165500   00     111.39  756.3    115.38    -2.40     0.45
HERMANUS   010415 300  165500-170000   00     111.69  756.3    115.64    -2.20     0.73
HERMANUS   010415 300  170000-170500   00     111.94  756.4    115.81    -2.10     0.90
HERMANUS   010415 300  170500-171000   00     111.95  756.5    115.71    -2.10     0.97
HERMANUS   010415 300  171000-171500   00     110.73  756.6    114.36    -3.30    -0.16
HERMANUS   010415 300  171500-172000   00     109.66  756.7    113.17    -4.30    -1.09
HERMANUS   010415 300  172000-172500   00     112.34  756.7    115.91    -2.00     1.28
HERMANUS   010415 300  172500-173000   00     111.79  756.7    115.35    -2.40     0.95
HERMANUS   010415 300  173000-173500   00     110.02  756.7    113.52    -4.00    -0.58
HERMANUS   010415 300  173500-174000   00     110.80  756.7    114.28    -3.30     0.19
HERMANUS   010415 300  174000-174500   00     109.45  756.8    112.82    -4.60    -1.04
HERMANUS   010415 300  174500-175000   00     111.44  756.8    114.88    -2.80     0.83
HERMANUS   010415 300  175000-175500   00     112.09  756.9    115.49    -2.30     1.40
HERMANUS   010415 300  175500-180000   00     112.19  756.9    115.54    -2.30     1.47
HERMANUS   010415 300  180000-180500   00     110.70  756.9    114.01    -3.60     0.24
HERMANUS   010415 300  180500-181000   00     110.85  756.9    114.12    -3.50     0.42
HERMANUS   010415 300  181000-181500   00     110.33  757.0    113.52    -4.00    -0.01
HERMANUS   010415 300  181500-182000   00     110.85  757.1    113.94    -3.60     0.46
HERMANUS   010415 300  182000-182500   00     110.53  757.2    113.55    -4.00     0.13
HERMANUS   010415 300  182500-183000   00     111.29  757.2    114.25    -3.40     0.80
HERMANUS   010415 300  183000-183500   00     110.30  757.4    113.10    -4.30    -0.03
HERMANUS   010415 300  183500-184000   00     110.56  757.4    113.33    -4.20     0.14
HERMANUS   010415 300  184000-184500   00     108.94  757.5    111.54    -5.70    -1.29
HERMANUS   010415 300  184500-185000   00     109.07  757.6    111.59    -5.60    -1.12
HERMANUS   010415 300  185000-185500   00     109.84  757.6    112.37    -5.00    -0.45
HERMANUS   010415 300  185500-190000   00     111.55  757.6    114.12    -3.50     1.12
HERMANUS   010415 300  190000-190500   00     110.15  757.6    112.69    -4.70    -9999
HERMANUS   010415 300  190500-191000   00     110.00  757.6    112.51    -4.80    -9999
HERMANUS   010415 300  191000-191500   00     110.43  757.7    112.89    -4.50    -9999
HERMANUS   010415 300  191500-192000   00     110.38  757.8    112.73    -4.70    -9999
HERMANUS   010415 300  192000-192500   00     109.09  757.8    111.40    -5.80    -9999
HERMANUS   010415 300  192500-193000   00     107.96  757.9    110.15    -6.80    -9999
HERMANUS   010415 300  193000-193500   00     109.57  758.0    111.71    -5.50    -9999
HERMANUS   010415 300  193500-194000   00     109.20  758.0    111.31    -5.90    -9999
HERMANUS   010415 300  194000-194500   00     108.88  758.0    110.97    -6.10    -9999
HERMANUS   010415 300  194500-195000   00     110.33  758.1    112.34    -5.00    -9999
HERMANUS   010415 300  195000-195500   00     108.83  758.3    110.63    -6.40    -9999
HERMANUS   010415 300  195500-200000   00     109.79  758.3    111.62    -5.60    -9999
HERMANUS   010415 3600 200000-210000   00     108.15  758.6    109.64    -7.30    -9999
HERMANUS   010415 3600 210000-220000   00     108.04  758.9    109.20    -7.60    -9999
HERMANUS   010415 3600 220000-230000   00     107.94  759.0    108.99    -7.80    -9999
HERMANUS   010415 3600 230000-240000   00     108.11  758.9    109.20    -7.60    -9999
HERMANUS   010416 3600 000000-010000   00     109.20  758.9    110.39    -6.60    -9999
HERMANUS   010416 3600 010000-020000   00     108.72  758.8    109.97    -7.00    -9999
HERMANUS   010416 3600 020000-030000   00     108.34  759.0    109.38    -7.50    -9999
HERMANUS   010416 3600 030000-040000   00     108.55  759.5    109.11    -7.70    -9999
HERMANUS   010416 3600 040000-050000   00     107.43  760.0    107.46    -9.10    -9999
HERMANUS   010416 3600 050000-060000   00     107.19  760.3    106.93    -9.60    -9999
HERMANUS   010416 3600 060000-070000   00     107.44  760.5    106.91    -9.60    -9999
HERMANUS   010416 3600 070000-080000   00     107.18  760.8    106.33   -10.10    -9999
HERMANUS   010416 3600 080000-090000   00     106.75  761.1    105.69   -10.60    -9999
HERMANUS   010416 3600 090000-100000   00     106.72  760.9    105.79   -10.50    -9999
HERMANUS   010416 3600 100000-110000   00     107.62  760.6    107.06    -9.50    -9999
HERMANUS   010416 3600 110000-120000   00     108.36  760.2    108.12    -8.60    -9999
HERMANUS   010416 3600 120000-130000   00     108.91  760.0    108.90    -7.90    -9999
HERMANUS   010416 3600 130000-140000   00     107.93  760.4    107.52    -9.10    -9999
HERMANUS   010416 3600 140000-150000   00     107.94  760.6    107.37    -9.20    -9999
HERMANUS   010416 3600 150000-160000   00     108.52  760.6    107.94    -8.70    -9999
HERMANUS   010416 3600 160000-170000   00     107.72  761.0    106.72    -9.70    -9999
HERMANUS   010416 3600 170000-180000   00     106.94  761.6    105.37   -10.90    -9999
HERMANUS   010416 3600 180000-190000   00     106.65  761.9    104.71   -11.40    -9999
HERMANUS   010416 3600 190000-200000   00     106.57  762.2    104.35   -11.70    -9999
HERMANUS   010416 3600 200000-210000   00     106.35  762.3    104.00   -12.00    -9999
HERMANUS   010416 3600 210000-220000   00     106.26  762.3    103.98   -12.10    -9999
HERMANUS   010416 3600 220000-230000   00     106.92  762.1    104.78   -11.40    -9999
HERMANUS   010416 3600 230000-240000   00     106.51  761.8    104.66   -11.50    -9999
*
*	
COMMENT    DATA INCONSISTENT WITH WDCCR	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060HRMS_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
