GOOSE BAY  LATITUDE    53.27     LONGITUDE     299.6     ALTITUDE    46 M
GOOSE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
GOOSE BAY  STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
GOOSE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
GOOSE BAY  PRE-INCREASE AVERAGE COUNTING RATE    168.03      COUNTS PER SECOND
GOOSE BAY  TIME INTERVALS    60          300         3600     
GOOSE BAY  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
GOOSE BAY  000714 60   111800-111900   00     222.17  755.0    215.68    28.40    28.40
GOOSE BAY  000714 60   111900-112000   00     225.50  755.1    219.14    30.40    30.40
GOOSE BAY  000714 60   112000-112100   00     220.50  755.1    214.28    27.50    27.50
GOOSE BAY  000714 60   112100-112200   00     225.50  755.0    218.92    30.30    30.30
GOOSE BAY  000714 60   112200-112300   00     223.83  755.0    217.30    29.30    29.30
GOOSE BAY  000714 60   112300-112400   00     224.21  755.1    217.88    29.70    29.70
GOOSE BAY  000714 60   112400-112500   00     223.83  755.0    217.30    29.30    29.30
GOOSE BAY  000714 60   112500-112600   00     228.83  755.0    222.16    32.20    32.20
GOOSE BAY  000714 60   112600-112700   00     225.50  755.0    218.92    30.30    30.30
GOOSE BAY  000714 60   112700-112800   00     223.83  755.0    217.30    29.30    29.30
GOOSE BAY  000714 60   112800-112900   00     222.17  755.0    215.68    28.40    28.40
GOOSE BAY  000714 60   112900-113000   00     218.83  755.0    212.45    26.40    26.40
GOOSE BAY  000714 60   113000-113100   00     222.17  755.0    215.68    28.40    28.40
GOOSE BAY  000714 60   113100-113200   00     218.83  755.0    212.45    26.40    26.40
GOOSE BAY  000714 60   113200-113300   00     215.50  755.0    209.21    24.50    24.50
GOOSE BAY  000714 60   113300-113400   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   113400-113500   00     220.50  755.0    214.07    27.40    27.40
GOOSE BAY  000714 60   113500-113600   00     208.83  755.0    202.74    20.70    20.70
GOOSE BAY  000714 60   113600-113700   00     218.83  755.0    212.45    26.40    26.40
GOOSE BAY  000714 60   113700-113800   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   113800-113900   00     208.83  755.0    202.74    20.70    20.70
GOOSE BAY  000714 60   113900-114000   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   114000-114100   00     212.17  755.0    205.98    22.60    22.60
GOOSE BAY  000714 60   114100-114200   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   114200-114300   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   114300-114400   00     214.19  755.0    207.94    23.80    23.80
GOOSE BAY  000714 60   114400-114500   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   114500-114600   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   114600-114700   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   114700-114800   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   114800-114900   00     212.17  755.0    205.98    22.60    22.60
GOOSE BAY  000714 60   114900-115000   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   115000-115100   00     213.83  755.0    207.59    23.50    23.50
GOOSE BAY  000714 60   115100-115200   00     212.17  754.9    205.77    22.50    22.50
GOOSE BAY  000714 60   115200-115300   00     213.83  754.9    207.39    23.40    23.40
GOOSE BAY  000714 60   115300-115400   00     218.83  755.0    212.45    26.40    26.40
GOOSE BAY  000714 60   115400-115500   00     203.83  754.9    197.69    17.70    17.70
GOOSE BAY  000714 60   115500-115600   00     212.17  754.9    205.77    22.50    22.50
GOOSE BAY  000714 60   115600-115700   00     212.17  754.9    205.77    22.50    22.50
GOOSE BAY  000714 60   115700-115800   00     213.83  754.9    207.39    23.40    23.40
GOOSE BAY  000714 60   115800-115900   00     208.83  754.9    202.54    20.50    20.50
GOOSE BAY  000714 60   115900-120000   00     207.17  754.9    200.92    19.60    19.60
