TIXIE BAY  LATITUDE    71.58     LONGITUDE     128.92    ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR
TIXIE BAY  STANDARD PRESSURE    1007.8  MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE    134.42      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  000714 300  151500-152000   00     141.00 1008.8    142.01     5.70     4.85
TIXIE BAY  000714 300  152000-152500   00     140.00 1008.8    141.01     4.90     4.05
TIXIE BAY  000714 300  152500-153000   00     141.67 1008.8    142.69     6.20     5.34
TIXIE BAY  000714 300  153000-153500   00     138.00 1008.8    139.00     3.40     2.53
TIXIE BAY  000714 300  153500-154000   00     142.33 1008.8    143.37     6.70     5.82
TIXIE BAY  000714 300  154000-154500   00     139.33 1008.8    140.36     4.40     3.51
TIXIE BAY  000714 300  154500-155000   00     140.33 1008.8    141.37     5.20     4.31
TIXIE BAY  000714 300  155000-155500   00     139.67 1008.8    140.71     4.70     3.80
TIXIE BAY  000714 300  155500-160000   00     138.67 1008.8    139.71     3.90     2.99
TIXIE BAY  000714 300  160000-160500   00     136.33 1008.9    137.39     2.20     1.29
TIXIE BAY  000714 300  160500-161000   00     138.00 1008.9    139.08     3.50     2.58
TIXIE BAY  000714 300  161000-161500   00     137.00 1008.9    138.07     2.70     1.77
TIXIE BAY  000714 300  161500-162000   00     138.67 1008.9    139.76     4.00     3.07
TIXIE BAY  000714 300  162000-162500   00     137.00 1008.9    138.09     2.70     1.76
TIXIE BAY  000714 300  162500-163000   00     138.00 1008.9    139.10     3.50     2.55
TIXIE BAY  000714 300  163000-163500   00     134.33 1008.9    135.41     0.70    -0.25
TIXIE BAY  000714 300  163500-164000   00     138.33 1008.9    139.44     3.70     2.74
TIXIE BAY  000714 300  164000-164500   00     137.00 1008.9    138.10     2.70     1.73
TIXIE BAY  000714 300  164500-165000   00     133.67 1008.9    134.74     0.20    -0.77
TIXIE BAY  000714 300  165000-165500   00     138.00 1008.9    139.11     3.50     2.52
TIXIE BAY  000714 300  165500-170000   00     138.33 1008.9    139.45     3.70     2.72
TIXIE BAY  000714 300  170000-170500   00     136.00 1008.9    137.12     2.00     1.01
TIXIE BAY  000714 300  170500-171000   00     137.33 1008.9    138.46     3.00     2.01
TIXIE BAY  000714 300  171000-171500   00     136.00 1008.9    137.12     2.00     1.00
TIXIE BAY  000714 300  171500-172000   00     137.67 1008.9    138.79     3.30     2.30
TIXIE BAY  000714 300  172000-172500   00     136.67 1008.9    137.77     2.50     1.49
TIXIE BAY  000714 300  172500-173000   00     137.67 1008.9    138.77     3.20     2.19
TIXIE BAY  000714 300  173000-173500   00     137.33 1008.9    138.42     3.00     1.98
TIXIE BAY  000714 300  173500-174000   00     136.33 1008.9    137.40     2.20     1.18
TIXIE BAY  000714 300  174000-174500   00     138.00 1008.9    139.06     3.50     2.47
TIXIE BAY  000714 300  174500-175000   00     137.00 1008.8    138.04     2.70     1.67
TIXIE BAY  000714 300  175000-175500   00     136.00 1008.8    137.01     1.90     0.86
TIXIE BAY  000714 300  175500-180000   00     136.67 1008.8    137.66     2.40     1.36
TIXIE BAY  000714 300  180000-180500   00     136.67 1008.7    137.55     2.30     1.25
TIXIE BAY  000714 300  180500-181000   00     136.67 1008.7    137.52     2.30     1.25
