SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     MB     COEFFICIENT   -0.69     % / MB
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    324.85      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH POLE 211028 300  204500-205000   00     323.68  682.7    330.60     1.77     2.18
SOUTH POLE 211028 300  205000-205500   00     321.99  682.8    328.97     1.27     1.68
SOUTH POLE 211028 300  205500-210000   00     322.49  682.8    329.51     1.43     1.85
SOUTH POLE 211028 300  210000-210500   00     320.74  682.7    327.60     0.85     1.27
SOUTH POLE 211028 300  210500-211000   00     324.47  682.8    331.52     2.05     2.48
SOUTH POLE 211028 300  211000-211500   00     320.50  682.8    327.65     0.86     1.29
SOUTH POLE 211028 300  211500-212000   00     323.24  682.9    330.50     1.74     2.18
SOUTH POLE 211028 300  212000-212500   00     323.05  682.9    330.32     1.68     2.12
SOUTH POLE 211028 300  212500-213000   00     320.51  682.9    327.69     0.87     1.32
SOUTH POLE 211028 300  213000-213500   00     319.47  682.9    326.67     0.56     1.01
SOUTH POLE 211028 300  213500-214000   00     321.14  682.9    328.45     1.11     1.57
SOUTH POLE 211028 300  214000-214500   00     320.64  682.9    328.04     0.98     1.44
SOUTH POLE 211028 300  214500-215000   00     320.68  683.0    328.11     1.00     1.47
SOUTH POLE 211028 300  215000-215500   00     321.54  682.9    328.92     1.25     1.72
SOUTH POLE 211028 300  215500-220000   00     320.23  682.9    327.50     0.82     1.30
SOUTH POLE 211028 300  220000-220500   00     322.16  682.9    329.42     1.41     1.89
SOUTH POLE 211028 300  220500-221000   00     324.10  682.8    331.30     1.98     2.47
SOUTH POLE 211028 300  221000-221500   00     322.55  682.8    329.54     1.44     1.93
SOUTH POLE 211028 300  221500-222000   00     321.24  682.8    328.18     1.02     1.52
SOUTH POLE 211028 300  222000-222500   00     320.67  682.7    327.60     0.85     1.35
SOUTH POLE 211028 300  222500-223000   00     320.54  682.8    327.49     0.81     1.32
SOUTH POLE 211028 300  223000-223500   00     320.68  682.8    327.66     0.87     1.38
SOUTH POLE 211028 300  223500-224000   00     318.09  682.8    325.12     0.08     0.60
SOUTH POLE 211028 300  224000-224500   00     319.63  682.8    326.75     0.58     1.10
SOUTH POLE 211028 300  224500-225000   00     316.95  682.8    324.01    -0.26     0.27
SOUTH POLE 211028 300  225000-225500   00     318.05  682.8    325.09     0.07     0.60
SOUTH POLE 211028 300  225500-230000   00     320.23  682.8    327.28     0.75     1.29
SOUTH POLE 211028 300  230000-230500   00     319.06  682.8    326.04     0.37     0.91
SOUTH POLE 211028 300  230500-231000   00     319.17  682.8    326.17     0.41     0.96
SOUTH POLE 211028 300  231000-231500   00     320.03  682.8    327.01     0.66     1.21
SOUTH POLE 211028 300  231500-232000   00     319.67  682.7    326.47     0.50     1.06
SOUTH POLE 211028 300  232000-232500   00     319.40  682.7    326.10     0.38     0.94
SOUTH POLE 211028 300  232500-233000   00     317.49  682.7    324.13    -0.22     0.35
SOUTH POLE 211028 300  233000-233500   00     319.68  682.7    326.37     0.47     1.04
SOUTH POLE 211028 300  233500-234000   00     319.48  682.7    326.20     0.42     1.00
SOUTH POLE 211028 300  234000-234500   00     318.93  682.7    325.63     0.24     0.82
SOUTH POLE 211028 300  234500-235000   00     318.00  682.7    324.70    -0.04     0.55
SOUTH POLE 211028 300  235000-235500   00     319.19  682.7    325.95     0.34     0.93
SOUTH POLE 211028 300  235500-240000   00     317.79  682.7    324.61    -0.07     0.53
SOUTH POLE 211029 3600 000000-010000   00     317.50  682.8    324.59    -0.08     0.55
SOUTH POLE 211029 3600 010000-020000   00     316.70  682.8    323.65    -0.37     0.32
SOUTH POLE 211029 3600 020000-030000   00     315.43  682.8    322.25    -0.80    -0.05
SOUTH POLE 211029 3600 030000-040000   00     315.81  682.5    321.91    -0.91    -0.10
SOUTH POLE 211029 3600 040000-050000   00     316.14  682.5    322.31    -0.78    -9999
SOUTH POLE 211029 3600 050000-060000   00     315.27  682.6    321.67    -0.98    -9999
SOUTH POLE 211029 3600 060000-070000   00     315.40  682.5    321.54    -1.02    -9999
SOUTH POLE 211029 3600 070000-080000   00     315.52  682.5    321.85    -0.92    -9999
SOUTH POLE 211029 3600 080000-090000   00     315.75  682.5    322.00    -0.88    -9999
SOUTH POLE 211029 3600 090000-100000   00     316.05  682.5    322.27    -0.79    -9999
SOUTH POLE 211029 3600 100000-110000   00     315.41  682.5    321.66    -0.98    -9999
SOUTH POLE 211029 3600 110000-120000   00     316.28  682.2    321.93    -0.90    -9999
SOUTH POLE 211029 3600 120000-130000   00     317.38  682.2    322.90    -0.60    -9999
SOUTH POLE 211029 3600 130000-140000   00     317.49  682.1    322.65    -0.68    -9999
SOUTH POLE 211029 3600 140000-150000   00     318.13  682.0    323.23    -0.50    -9999
SOUTH POLE 211029 3600 150000-160000   00     318.47  682.1    323.84    -0.31    -9999
SOUTH POLE 211029 3600 160000-170000   00     320.26  681.8    324.86     0.00    -9999
SOUTH POLE 211029 3600 170000-180000   00     319.40  681.9    324.36    -0.15    -9999
SOUTH POLE 211029 3600 180000-190000   00     320.14  682.1    325.66     0.25    -9999
SOUTH POLE 211029 3600 190000-200000   00     319.54  682.3    325.25     0.12    -9999
