POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.99      % / MMHG
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     49.61      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
POTCHEFSTR 010415 300  171000-171500   00      52.23  653.3     48.86    -1.50    -9999
POTCHEFSTR 010415 300  171500-172000   00      52.29  653.3     48.93    -1.40    -9999
POTCHEFSTR 010415 300  172000-172500   00      53.27  653.3     49.86     0.50    -9999
POTCHEFSTR 010415 300  172500-173000   00      54.00  653.4     50.59     2.00    -9999
POTCHEFSTR 010415 300  173000-173500   00      52.14  653.4     48.85    -1.50    -9999
POTCHEFSTR 010415 300  173500-174000   00      52.39  653.4     49.08    -1.10    -9999
POTCHEFSTR 010415 300  174000-174500   00      52.34  653.4     49.03    -1.20    -9999
POTCHEFSTR 010415 300  174500-175000   00      51.87  653.4     48.59    -2.10    -9999
POTCHEFSTR 010415 300  175000-175500   00      52.18  653.5     48.91    -1.40    -9999
POTCHEFSTR 010415 300  175500-180000   00      52.63  653.5     49.35    -0.50    -9999
POTCHEFSTR 010415 300  180000-180500   00      51.32  653.5     48.13    -3.00    -9999
POTCHEFSTR 010415 300  180500-181000   00      52.35  653.5     49.09    -1.00    -9999
POTCHEFSTR 010415 300  181000-181500   00      51.92  653.5     48.68    -1.90    -9999
POTCHEFSTR 010415 300  181500-182000   00      51.33  653.5     48.13    -3.00    -9999
POTCHEFSTR 010415 300  182000-182500   00      53.37  653.5     50.04     0.90    -9999
POTCHEFSTR 010415 300  182500-183000   00      52.54  653.5     49.26    -0.70    -9999
POTCHEFSTR 010415 300  183000-183500   00      53.48  653.5     50.15     1.10    -9999
