NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  MB     COEFFICIENT   -0.72     % / MB
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    226.45      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NAIN       211029 3600 040000-050000   00     218.13 1015.3    222.37    -1.80    -9999
NAIN       211029 3600 050000-060000   00     218.72 1015.1    222.72    -1.65    -9999
NAIN       211029 3600 060000-070000   00     218.93 1015.1    222.91    -1.56    -9999
NAIN       211029 3600 070000-080000   00     219.04 1014.8    222.44    -1.77    -9999
NAIN       211029 3600 080000-090000   00     218.50 1015.0    222.33    -1.82    -9999
NAIN       211029 3600 090000-100000   00     219.55 1015.0    223.29    -1.39    -9999
NAIN       211029 3600 100000-110000   00     220.96 1014.8    224.46    -0.88    -9999
NAIN       211029 3600 110000-120000   00     221.55 1014.7    224.85    -0.71    -9999
NAIN       211029 3600 120000-130000   00     220.91 1014.5    223.80    -1.17    -9999
NAIN       211029 3600 130000-140000   00     223.08 1013.8    224.81    -0.72    -9999
NAIN       211029 3600 140000-150000   00     224.83 1013.3    225.84    -0.27    -9999
NAIN       211029 3600 150000-160000   00     225.71 1013.0    226.14    -0.13    -9999
NAIN       211029 3600 160000-170000   00     226.24 1012.2    225.33    -0.49    -9999
NAIN       211029 3600 170000-180000   00     227.00 1012.0    225.74    -0.31    -9999
NAIN       211029 3600 180000-190000   00     227.48 1011.8    225.91    -0.24    -9999
NAIN       211029 3600 190000-200000   00     227.32 1011.7    225.52    -0.41    -9999
NAIN       211029 3600 200000-210000   00     227.89 1011.5    225.74    -0.31    -9999
NAIN       211029 3600 210000-220000   00     227.37 1011.7    225.70    -0.33    -9999
NAIN       211029 3600 220000-230000   00     227.06 1011.9    225.57    -0.39    -9999
NAIN       211029 3600 230000-240000   00     227.35 1011.6    225.39    -0.47    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (15.05.2022)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073NAIN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
