SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    676.4   MB     COEFFICIENT   -0.75     % / MB
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    250.08      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH POLE 010415 300  130500-131000   00     249.95  676.2    249.62    -0.20    -0.30
SOUTH POLE 010415 300  131000-131500   00     252.46  676.2    252.10     0.80     0.67
SOUTH POLE 010415 300  131500-132000   00     252.18  676.2    251.77     0.70     0.55
SOUTH POLE 010415 300  132000-132500   00     252.73  676.2    252.29     0.90     0.73
SOUTH POLE 010415 300  132500-133000   00     248.67  676.1    248.21    -0.80    -1.00
SOUTH POLE 010415 300  133000-133500   00     251.14  676.1    250.63     0.20    -0.02
SOUTH POLE 010415 300  133500-134000   00     249.78  676.1    249.25    -0.30    -0.54
SOUTH POLE 010415 300  134000-134500   00     251.38  676.1    250.81     0.30     0.04
SOUTH POLE 010415 300  134500-135000   00     249.70  676.1    249.11    -0.40    -0.69
SOUTH POLE 010415 300  135000-135500   00     255.19  676.1    254.56     1.80     1.49
SOUTH POLE 010415 300  135500-140000   00     257.60  676.1    256.94     2.80     2.47
SOUTH POLE 010415 300  140000-140500   00     345.97  676.1    345.15    38.00    37.65
SOUTH POLE 010415 300  140500-141000   00     552.86  676.1    551.49   120.50   120.12
SOUTH POLE 010415 300  141000-141500   00     686.46  676.1    684.70   173.80   173.40
SOUTH POLE 010415 300  141500-142000   00     669.54  676.0    667.76   167.00   166.58
SOUTH POLE 010415 300  142000-142500   00     754.84  676.0    752.75   201.00   200.56
SOUTH POLE 010415 300  142500-143000   00     767.24  676.0    765.02   205.90   205.44
SOUTH POLE 010415 300  143000-143500   00     816.10  676.0    813.64   225.40   224.91
SOUTH POLE 010415 300  143500-144000   00     807.79  676.0    805.26   222.00   221.49
SOUTH POLE 010415 300  144000-144500   00     746.97  676.0    744.53   197.70   197.17
SOUTH POLE 010415 300  144500-145000   00     723.50  675.9    721.03   188.30   187.75
SOUTH POLE 010415 300  145000-145500   00     700.85  675.9    698.35   179.20   178.63
SOUTH POLE 010415 300  145500-150000   00     687.55  675.9    684.99   173.90   173.30
SOUTH POLE 010415 300  150000-150500   00     655.10  675.8    652.39   160.90   160.28
SOUTH POLE 010415 300  150500-151000   00     634.28  675.8    631.56   152.50   151.86
SOUTH POLE 010415 300  151000-151500   00     618.61  675.8    615.86   146.30   145.64
SOUTH POLE 010415 300  151500-152000   00     621.95  675.8    619.09   147.60   146.92
SOUTH POLE 010415 300  152000-152500   00     615.72  675.8    612.80   145.00   144.30
SOUTH POLE 010415 300  152500-153000   00     600.73  675.7    597.80   139.00   138.28
SOUTH POLE 010415 300  153000-153500   00     570.55  675.7    567.69   127.00   126.26
SOUTH POLE 010415 300  153500-154000   00     552.21  675.7    549.38   119.70   118.94
SOUTH POLE 010415 300  154000-154500   00     525.27  675.7    522.52   108.90   108.11
SOUTH POLE 010415 300  154500-155000   00     509.57  675.7    506.85   102.70   101.89
SOUTH POLE 010415 300  155000-155500   00     488.40  675.7    485.74    94.20    93.37
SOUTH POLE 010415 300  155500-160000   00     479.70  675.7    477.05    90.80    89.95
SOUTH POLE 010415 300  160000-160500   00     469.60  675.6    466.96    86.70    85.83
