HOBART     LATITUDE    -42.9     LONGITUDE     147.33    ALTITUDE    18 M
HOBART     INSTRUMENT   IGY     NEUTRON MONITOR
HOBART     STANDARD PRESSURE    1012.5  MB     COEFFICIENT   -0.739    % / MB
HOBART     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
HOBART     PRE-INCREASE AVERAGE COUNTING RATE     74.00      COUNTS PER SECOND
HOBART     TIME INTERVALS    60          3600     
HOBART     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
HOBART     000714 60   050300-050400   00      85.07  997.1     75.92     2.60    -9999
HOBART     000714 60   050400-050500   00      86.93  997.1     77.58     4.80    -9999
HOBART     000714 60   050500-050600   00      82.67  997.1     73.77    -0.30    -9999
HOBART     000714 60   050600-050700   00      83.20  997.1     74.25     0.30    -9999
HOBART     000714 60   050700-050800   00      84.00  997.1     74.96     1.30    -9999
HOBART     000714 60   050800-050900   00      80.80  997.1     72.11    -2.60    -9999
HOBART     000714 60   050900-051000   00      84.53  997.1     75.44     1.90    -9999
HOBART     000714 60   051000-051100   00      80.80  997.1     72.11    -2.60    -9999
HOBART     000714 60   051100-051200   00      81.87  997.0     73.01    -1.30    -9999
HOBART     000714 60   051200-051300   00      82.93  997.0     73.96    -0.10    -9999
