JUNGFRAUJ  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3550 M
JUNGFRAUJ  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAUJ  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAUJ  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
JUNGFRAUJ  PRE-INCREASE AVERAGE COUNTING RATE    131.87      COUNTS PER SECOND
JUNGFRAUJ  TIME INTERVALS    60          300         3600     
JUNGFRAUJ  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAUJ  000714 60   113600-113700   30     124.03  489.5    133.30     1.10    -9999
JUNGFRAUJ  000714 60   113700-113800   30     122.05  489.3    130.90    -0.70    -9999
JUNGFRAUJ  000714 60   113800-113900   30     124.30  489.5    133.58     1.30    -9999
JUNGFRAUJ  000714 60   113900-114000   30     126.02  489.3    135.17     2.50    -9999
JUNGFRAUJ  000714 60   114000-114100   30     121.68  489.2    130.38    -1.10    -9999
JUNGFRAUJ  000714 60   114100-114200   30     125.17  489.4    134.38     1.90    -9999
JUNGFRAUJ  000714 60   114200-114300   30     120.73  489.5    129.73    -1.60    -9999
JUNGFRAUJ  000714 60   114300-114400   30     123.13  489.4    132.20     0.30    -9999
JUNGFRAUJ  000714 60   114400-114500   30     123.93  489.3    132.93     0.80    -9999
JUNGFRAUJ  000714 60   114500-114600   30     121.92  489.3    130.77    -0.80    -9999
JUNGFRAUJ  000714 60   114600-114700   30     121.82  489.6    131.03    -0.60    -9999
JUNGFRAUJ  000714 60   114700-114800   30     122.32  489.4    131.32    -0.40    -9999
JUNGFRAUJ  000714 60   114800-114900   30     122.68  489.6    131.98     0.10    -9999
JUNGFRAUJ  000714 60   114900-115000   30     123.35  489.3    132.30     0.30    -9999
JUNGFRAUJ  000714 60   115000-115100   30     125.48  489.5    134.85     2.30    -9999
JUNGFRAUJ  000714 60   115100-115200   30     125.75  489.2    134.75     2.20    -9999
JUNGFRAUJ  000714 60   115200-115300   30     123.13  489.2    131.95     0.10    -9999
JUNGFRAUJ  000714 60   115300-115400   30     123.87  489.4    133.00     0.90    -9999
JUNGFRAUJ  000714 60   115400-115500   30     122.43  489.1    131.07    -0.60    -9999
JUNGFRAUJ  000714 60   115500-115600   30     122.40  489.4    131.40    -0.40    -9999
JUNGFRAUJ  000714 60   115600-115700   30     123.45  489.2    132.28     0.30    -9999
JUNGFRAUJ  000714 60   115700-115800   30     120.98  489.5    130.02    -1.40    -9999
JUNGFRAUJ  000714 60   115800-115900   30     123.47  489.3    132.42     0.40    -9999
JUNGFRAUJ  000714 60   115900-120000   30     123.98  489.3    132.98     0.80    -9999
JUNGFRAUJ  000714 60   120000-120100   30     123.58  489.3    132.55     0.50    -9999
JUNGFRAUJ  000714 60   120100-120200   30     124.70  489.0    133.37     1.10    -9999
JUNGFRAUJ  000714 60   120200-120300   30     125.82  489.2    134.82     2.20    -9999
JUNGFRAUJ  000714 60   120300-120400   30     121.63  489.3    130.47    -1.10    -9999
JUNGFRAUJ  000714 60   120400-120500   30     124.28  489.3    133.30     1.10    -9999
JUNGFRAUJ  000714 60   120500-120600   30     125.75  489.1    134.62     2.10    -9999
JUNGFRAUJ  000714 60   120600-120700   30     126.88  489.3    136.08     3.20    -9999
JUNGFRAUJ  000714 60   120700-120800   30     123.80  489.1    132.53     0.50    -9999
JUNGFRAUJ  000714 60   120800-120900   30     125.83  489.2    134.83     2.20    -9999
JUNGFRAUJ  000714 60   120900-121000   30     124.55  489.1    133.35     1.10    -9999
JUNGFRAUJ  000714 60   121000-121100   30     125.73  489.2    134.73     2.20    -9999
