CALGARY    LATITUDE    51.08     LONGITUDE     -114.13   ALTITUDE    1128 M
CALGARY    INSTRUMENT   12NM64    NEUTRON MONITOR     	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.7718   % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    275.36      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    010416 3600 130000-140000   00     251.67  898.7    284.25     3.20    -9999
CALGARY    010416 3600 140000-150000   00     250.19  898.5    282.17     2.50    -9999
CALGARY    010416 3600 150000-160000   00     250.28  898.4    281.97     2.40    -9999
CALGARY    010416 3600 160000-170000   00     250.97  898.2    282.22     2.50    -9999
CALGARY    010416 3600 170000-180000   00     252.47  897.9    283.28     2.90    -9999
CALGARY    010416 3600 180000-190000   00     254.17  897.5    284.39     3.30    -9999
CALGARY    010416 3600 190000-200000   00     254.28  897.0    283.42     2.90    -9999
CALGARY    010416 3600 200000-210000   00     257.06  896.5    285.33     3.60    -9999
CALGARY    010416 3600 210000-220000   00     259.33  895.8    286.36     4.00    -9999
CALGARY    010416 3600 220000-230000   00     261.14  895.2    287.11     4.30    -9999
CALGARY    010416 3600 230000-240000   00     262.53  894.7    287.33     4.30    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060CALG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
