FORTHSM5   LATITUDE    60        LONGITUDE     -112      ALTITUDE    0 M
FORTHSM5   INSTRUMENT   18-NM-64  NEUTRON MONITOR	
FORTHSM5   STANDARD PRESSURE    1006.7  mb     COEFFICIENT   -0.74     % / mb
FORTHSM5   PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
FORTHSM5   PRE-INCREASE AVERAGE COUNTING RATE    193.67      COUNTS PER SECOND
FORTHSM5   TIME INTERVALS    300         3600     
FORTHSM5   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
FORTHSM5   010415 300  223500-224000   00     205.95 1006.1    205.09     5.90     4.30
FORTHSM5   010415 300  224000-224500   00     205.94 1006.1    205.05     5.90     4.29
FORTHSM5   010415 300  224500-225000   00     206.42 1006.1    205.50     6.10     4.48
FORTHSM5   010415 300  225000-225500   00     205.74 1006.0    204.79     5.70     4.08
FORTHSM5   010415 300  225500-230000   00     204.91 1006.0    203.93     5.30     3.67
FORTHSM5   010415 300  230000-230500   00     207.50 1006.0    206.45     6.60     4.96
FORTHSM5   010415 300  230500-231000   00     206.37 1006.0    205.29     6.00     4.35
FORTHSM5   010415 300  231000-231500   00     206.42 1005.9    205.31     6.00     4.34
FORTHSM5   010415 300  231500-232000   00     203.21 1005.9    202.08     4.30     2.63
FORTHSM5   010415 300  232000-232500   00     204.80 1005.9    203.64     5.10     3.43
FORTHSM5   010415 300  232500-233000   00     204.30 1005.9    203.11     4.90     3.22
FORTHSM5   010415 300  233000-233500   00     204.70 1005.9    203.49     5.10     3.41
FORTHSM5   010415 300  233500-234000   00     205.43 1005.8    204.18     5.40     3.70
FORTHSM5   010415 300  234000-234500   00     203.46 1005.8    202.20     4.40     2.69
FORTHSM5   010415 300  234500-235000   00     204.66 1005.8    203.37     5.00     3.29
FORTHSM5   010415 300  235000-235500   00     203.56 1005.8    202.26     4.40     2.68
FORTHSM5   010415 300  235500-240000   00     202.96 1005.8    201.65     4.10     2.37
FORTHSM5   010416 3600 000000-010000   00     202.89 1005.7    201.49     4.00     2.22
FORTHSM5   010416 3600 010000-020000   00     202.22 1005.6    200.63     3.60     1.74
FORTHSM5   010416 3600 020000-030000   00     201.67 1005.5    199.88     3.20     1.27
FORTHSM5   010416 3600 030000-040000   00     200.08 1005.5    198.31     2.40     0.41
FORTHSM5   010416 3600 040000-050000   00     201.08 1005.6    199.50     3.00     0.96
FORTHSM5   010416 3600 050000-060000   00     200.03 1005.6    198.45     2.50     0.42
FORTHSM5   010416 3600 060000-070000   00     199.89 1005.5    198.12     2.30     0.19
FORTHSM5   010416 3600 070000-080000   00     199.50 1005.3    197.53     2.00    -0.12
FORTHSM5   010416 3600 080000-090000   00     200.03 1005.1    197.67     2.10    -9999
FORTHSM5   010416 3600 090000-100000   00     199.92 1004.9    197.36     1.90    -9999
FORTHSM5   010416 3600 100000-110000   00     201.00 1004.7    198.04     2.30    -9999
FORTHSM5   010416 3600 110000-120000   00     201.08 1004.4    197.73     2.10    -9999
FORTHSM5   010416 3600 120000-130000   00     201.94 1004.1    198.18     2.30    -9999
FORTHSM5   010416 3600 130000-140000   00     201.56 1004.0    197.60     2.00    -9999
FORTHSM5   010416 3600 140000-150000   00     202.11 1003.6    197.56     2.00    -9999
FORTHSM5   010416 3600 150000-160000   00     202.75 1003.2    197.60     2.00    -9999
FORTHSM5   010416 3600 160000-170000   00     203.86 1002.8    198.09     2.30    -9999
FORTHSM5   010416 3600 170000-180000   00     205.17 1002.4    198.77     2.60    -9999
FORTHSM5   010416 3600 180000-190000   00     206.17 1001.7    198.75     2.60    -9999
FORTHSM5   010416 3600 190000-200000   00     207.11 1001.2    198.87     2.70    -9999
FORTHSM5   010416 3600 200000-210000   00     207.86 1000.4    198.41     2.40    -9999
FORTHSM5   010416 3600 210000-220000   00     209.69  999.6    198.98     2.70    -9999
FORTHSM5   010416 3600 220000-230000   00     212.25  998.9    200.41     3.50    -9999
FORTHSM5   010416 3600 230000-240000   00     213.64  998.1    200.52     3.50    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060FRSM_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
