IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    956.5   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    221.08      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    061213 300  072000-072500   00     223.58  955.4    221.80     0.33     0.13
IRKUTSK    061213 300  072500-073000   00     224.70  955.4    222.92     0.83     0.63
IRKUTSK    061213 300  073000-073500   00     223.40  955.4    221.63     0.25     0.06
IRKUTSK    061213 300  073500-074000   00     223.30  955.4    221.52     0.20     0.01
IRKUTSK    061213 300  074000-074500   00     222.77  955.4    221.00    -0.04    -0.22
IRKUTSK    061213 300  074500-075000   00     223.67  955.4    221.89     0.37     0.19
IRKUTSK    061213 300  075000-075500   00     222.42  955.4    220.65    -0.19    -0.36
IRKUTSK    061213 300  075500-080000   00     224.53  955.4    222.74     0.75     0.58
IRKUTSK    061213 3600 080000-090000   00     223.02  955.9    222.03     0.43    -9999
IRKUTSK    061213 3600 090000-100000   00     221.36  956.4    221.19     0.05    -9999
IRKUTSK    061213 3600 100000-110000   00     220.38  956.9    221.04    -0.02    -9999
IRKUTSK    061213 3600 110000-120000   00     218.91  957.3    220.14    -0.43    -9999
IRKUTSK    061213 3600 120000-130000   00     218.00  957.6    219.68    -0.63    -9999
IRKUTSK    061213 3600 130000-140000   00     217.39  958.0    219.71    -0.62    -9999
IRKUTSK    061213 3600 140000-150000   00     216.42  958.5    219.49    -0.72    -9999
IRKUTSK    061213 3600 150000-160000   00     216.14  958.8    219.80    -0.58    -9999
IRKUTSK    061213 3600 160000-170000   00     213.99  959.0    217.85    -1.46    -9999
IRKUTSK    061213 3600 170000-180000   00     215.51  959.3    219.85    -0.56    -9999
IRKUTSK    061213 3600 180000-190000   00     215.41  959.5    220.03    -0.48    -9999
IRKUTSK    061213 3600 190000-200000   00     214.06  959.7    219.07    -0.91    -9999
IRKUTSK    061213 3600 200000-210000   00     213.39  960.0    218.75    -1.05    -9999
IRKUTSK    061213 3600 210000-220000   00     213.44  960.3    219.35    -0.78    -9999
IRKUTSK    061213 3600 220000-230000   00     212.88  960.6    219.15    -0.88    -9999
IRKUTSK    061213 3600 230000-240000   00     212.83  960.8    219.40    -0.76    -9999
*
"Comment: The Clock of Regisrator is slow on -8 sec;"
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070IRKT_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
