,Rigidity,initialLatitude,initialLongitude,Filter,Lat,Long,Xpla,Ypla,Zpla,initialZenith,initialAzimuth,THETApla,PHIpla,angleDiffRad,weightingFactor,Rlower,Reffective,Rupper,angleBetweenIMFinRadians,PitchAngleWeightingFactor,RigidityWeightingFactor,fullRigidityPitchWeightingFactor,Energy,fullEnergyPitchWeightingFactor
29,3.1,65.02,25.5,1.0,3.02244956,71.08081172,6.95976127,11.49882783,3.28027054,0.0,0.0,76.2851121107748,58.815228009390154,1.2798954523333357,0.5495301421305879,0.8,0.8,0.8,0.4812474857841097,0.5659443151954527,0.06643211714434707,0.0375968790442416,2300.609587691062,3.928123955349954e-05
30,3.2,65.02,25.5,1.0,3.99094667,71.06157541,6.8589015,11.40791129,3.49652802,0.0,0.0,75.28215945071219,58.98399888507318,1.2458391041039154,0.6051182948759529,0.8,0.8,0.8,0.49626650489751223,0.5464228049830312,0.05407606377288369,0.029548394449220382,2396.4474667818317,3.079237774844311e-05
31,3.3,65.02,25.5,1.0,5.18113418,70.96065084,6.82483727,11.38155754,3.76216647,0.0,0.0,74.1725636876305,59.05141201149491,1.2061300421573653,0.6663721342159352,0.8,0.8,0.8,0.5143085959630346,0.5232757486318353,0.04408275772308132,0.023067438049301198,2492.522937786461,2.3981712644596715e-05
32,3.4,65.02,25.5,1.0,6.52142863,70.58270805,6.80008842,11.2321938,4.02975906,0.0,0.0,72.938405738976,58.80884582437742,1.1616861371786564,0.7299305775517921,0.8,0.8,0.8,0.5330371093679258,0.4996710174501086,0.03598414332112431,0.017980233505336715,2588.81658523714,1.865231704312303e-05
33,3.5,65.02,25.5,1.0,7.86584465,70.0041708,6.81414885,11.06120722,4.27829205,0.0,0.0,71.77272008047565,58.36525898215877,1.1183592837364593,0.786347373528847,0.8,0.8,0.8,0.5509732420712662,0.4775368191749527,0.029408979494801746,0.014043870523129035,2685.3110156136254,1.4539751983722701e-05
34,3.6,65.02,25.5,1.0,9.08235257,69.33227718,6.89265132,10.97106854,4.50403351,0.0,0.0,70.83126232529331,57.860617363334356,1.0811000841493679,0.8301588178648741,0.8,0.8,0.8,0.5668221774167377,0.45841160112757795,0.02406177801781919,0.011030198187124854,2781.990605508406,1.139867633953923e-05
35,3.7,65.02,25.5,1.0,10.12728367,68.55687315,6.99072614,10.8783557,4.6848343,0.0,0.0,70.08470715548185,57.274101102604504,1.0501414421476443,0.8630665190777219,0.8,0.8,0.8,0.5798327780107315,0.44304353575783895,0.01970658793213789,0.00873087639517713,2878.841285824066,9.0072283937882e-06
36,3.8,65.02,25.5,1.0,10.93866778,67.80876565,7.13303666,10.88289955,4.83711778,0.0,0.0,69.60805116400009,56.75775115176121,1.0278306217734607,0.8847379179762184,0.8,0.8,0.8,0.5896236643030531,0.43168887039912035,0.016154442936247706,0.006973693223075821,2975.8503562450087,7.183128728089557e-06
37,3.9,65.02,25.5,1.0,11.57252376,67.02229917,7.23527123,10.80873056,4.92768111,0.0,0.0,69.2506493621607,56.201988424744485,1.0106151506844978,0.9002582535838185,0.8,0.8,0.8,0.5966967025003402,0.42360345398388344,0.013253595267547626,0.005614268733037627,3073.0063252316686,5.774460250601686e-06
38,4.0,65.02,25.5,1.0,12.02196605,66.3127366,7.3244982,10.75128477,4.98188939,0.0,0.0,69.04554596953727,55.73467720994902,0.9991846128407275,0.909974858994836,0.8,0.8,0.8,0.601359806072398,0.4183282870196822,0.010881882041201557,0.0045521990738460905,3170.298771602413,4.675758115971113e-06
39,4.1,65.02,25.5,1.0,12.32318591,65.71398124,7.39473323,10.7117615,5.00956403,0.0,0.0,68.94984720999778,55.38121690373326,0.9921848307765605,0.9156906060573234,0.8,0.8,0.8,0.6042052603546514,0.4151313606834228,0.008940732628280667,0.0037115785014848286,3267.718224434128,3.807527615290549e-06
40,4.2,65.02,25.5,1.0,12.51876106,65.24359896,7.44280406,10.68929739,5.02089524,0.0,0.0,68.91960457831011,55.15106025563856,0.9881331661381362,0.9189171046782281,0.8,0.8,0.8,0.6058828876714878,0.41325441568864846,0.007350445461560368,0.0030376040442684077,3365.256058556644,3.112479643790192e-06
41,4.3,65.02,25.5,1.0,12.65141045,64.90496628,7.46795767,10.68159133,5.02530483,0.0,0.0,68.91463833209093,55.04095545807377,0.98560688844271,0.9208983510312068,0.8,0.8,0.8,0.6070263596134459,0.4119784708244506,0.006046451558611241,0.0024910078670307752,3462.904403362359,2.5496198291286655e-06
42,4.4,65.02,25.5,1.0,12.75969924,64.69061188,7.47130924,10.68551071,5.03075099,0.0,0.0,68.90137544312489,55.03875365348552,0.9833654148149101,0.9226365570477482,0.8,0.8,0.8,0.6081995244611051,0.4106722555202798,0.004976348469401785,0.0020436482501841233,3560.6560630195327,2.0895969646409438e-06
43,4.5,65.02,25.5,1.0,12.87571972,64.58571789,7.45527178,10.69758138,5.0434327,0.0,0.0,68.85394598929446,55.12690049214807,0.9804097210312955,0.9249002714532273,0.8,0.8,0.8,0.6098649516322259,0.40882295094686105,0.004097538293442199,0.001675167696742805,3658.5044464805787,1.7111936800961397e-06
44,4.6,65.02,25.5,1.0,13.02408098,64.57132745,7.42303223,10.71436511,5.06773238,0.0,0.0,68.75427633666344,55.285348938329335,0.9760024597669962,0.9282156656510655,0.8,0.8,0.8,0.6123678842646919,0.40605477563621767,0.003375341184890416,0.0013705734075263628,3756.4435059275443,1.3987939890282496e-06
45,4.7,65.02,25.5,1.0,13.22204228,64.62684142,7.37812932,10.73269958,5.10636271,0.0,0.0,68.59135550848039,55.493658040349224,0.969654089033505,0.9328644505928223,0.8,0.8,0.8,0.6159363588965222,0.4021313880802927,0.0027814844983882953,0.0011185222222607019,3854.4676825051292,1.1405927530440457e-06
46,4.8,65.02,25.5,1.0,13.5031518,64.68130583,7.28258228,10.6619349,5.13724799,0.0,0.0,68.30365777264701,55.665162305158425,0.9597259923053758,0.9398328358526283,0.8,0.8,0.8,0.620928992009108,0.396688593002309,0.0022928897036335687,0.0009095631904438816,3952.5718583651455,9.267774217110228e-07
47,4.9,65.02,25.5,1.0,13.82597382,64.81765963,7.22312169,10.67568958,5.20658488,0.0,0.0,68.00452319542045,55.91790174847614,0.9488802088661973,0.9470217474721265,0.8,0.8,0.8,0.6268896226651984,0.3902624165323134,0.001890696087463086,0.0007378676240215341,4050.7513141912104,7.512732335269774e-07
48,5.0,65.02,25.5,1.0,14.23677556,64.9182656,7.1199542,10.5965062,5.26607654,0.0,0.0,67.58401675708022,56.10224424013185,0.9344288316703996,0.9559076077159276,0.8,0.8,0.8,0.6342502158917167,0.38243677623832534,0.0015594733065960485,0.0005963999440043143,4149.001691493931,6.068099594966131e-07
49,5.1,65.02,25.5,1.0,14.68673131,65.0683883,7.05810633,10.5988501,5.3626424,0.0,0.0,67.16254054553829,56.33911051626239,0.9192838965388853,0.9643629226571092,0.8,0.8,0.8,0.6424369125133763,0.3738781127789232,0.0012865849731618214,0.00048102596169546333,4247.318959068917,4.890988079576504e-07
50,5.2,65.02,25.5,1.0,15.21559088,65.15759648,6.9578755,10.50650875,5.44425821,0.0,0.0,66.63414650371561,56.485709786919045,0.9009415303793659,0.9734180691908974,0.8,0.8,0.8,0.6517860339617533,0.3642950770546538,0.0010616733378862983,0.00038676237043216055,4345.69938309597,3.930079483893218e-07
51,5.3,65.02,25.5,1.0,15.77028513,65.27417054,6.90228352,10.49442671,5.56032544,0.0,0.0,66.12238202437932,56.66670290737946,0.8824397268162326,0.9812249164983997,0.8,0.8,0.8,0.6616630358859935,0.3543964389058204,0.0008762413009241906,0.0003105367966697365,4444.139500430491,3.1536544399316036e-07
52,5.4,65.02,25.5,1.0,16.38803406,65.31437798,6.81180116,10.38766268,5.65509071,0.0,0.0,65.52255964186715,56.74478842017255,0.8613439228978158,0.9884866442037181,0.8,0.8,0.8,0.6723824124470386,0.3439208145116459,0.0007233128201195371,0.0002487623342422268,4542.636094699793,2.524895395191569e-07
53,5.5,65.02,25.5,1.0,17.01389572,65.36890986,6.76765749,10.36106508,5.78173655,0.0,0.0,64.958377185633,56.84816783912867,0.8407229671696377,0.993884575429539,0.8,0.8,0.8,0.6832864750252751,0.3335551871589066,0.0005971565992489735,0.00019918468122566755,4641.186174869272,2.020622937432343e-07
54,5.6,65.02,25.5,1.0,17.68519222,65.33976983,6.69046565,10.24106598,5.88067099,0.0,0.0,64.32504878817123,56.843503880348614,0.818143810016288,0.9978562116646228,0.8,0.8,0.8,0.6947180614166001,0.32300771791967536,0.0004930609524577426,0.000159262493048677,4739.786955988076,1.614824712664458e-07
55,5.7,65.02,25.5,1.0,18.34664312,65.31908636,6.66012517,10.20180537,6.00964571,0.0,0.0,63.74439900037873,56.86197514046022,0.7966423958756704,0.999747145128601,0.8,0.8,0.8,0.7060142207767478,0.31291103342697063,0.0004071501305631335,0.00012740176811443612,4838.4358418618995,1.2911628143864225e-07
56,5.8,65.02,25.5,1.0,19.03715877,65.21357842,6.59725741,10.07123536,6.10512806,0.0,0.0,63.11114251493123,56.772819590339054,0.773755814288172,0.9997289236623843,0.8,0.8,0.8,0.7175738251263628,0.30291807139980714,0.0003362342950235471,0.00010185144418700666,4937.1304094331645,1.031755568254517e-07
57,5.9,65.02,25.5,1.0,19.70203161,65.1158442,6.58099098,10.02222879,6.22978417,0.0,0.0,62.543983147562756,56.70951724204832,0.7524478767425374,0.9978293429655892,0.8,0.8,0.8,0.728733770155091,0.2935990978273706,0.00027768684054242404,8.152860586178862e-05,5035.868394676848,8.255310928990203e-08
58,6.0,65.02,25.5,1.0,20.35831554,64.98114832,6.57142207,9.96935986,6.35091557,0.0,0.0,61.99205465985127,56.60865132106221,0.7315594533669603,0.9942083857206918,0.8,0.8,0.8,0.7396641578807012,0.28478679607621743,0.00022934397862220504,6.531413687119028e-05,5134.647679844196,6.610791882550282e-08
59,6.1,65.02,25.5,1.0,21.00035457,64.81172379,6.56819214,9.91343312,6.46753889,0.0,0.0,61.45996311639883,56.473346968092855,0.7112667519626509,0.9890291863630329,0.8,0.8,0.8,0.7502826458538256,0.2765258652055871,0.0001894224651922118,5.2380211076651576e-05,5233.466281907397,5.29962227128364e-08
60,6.2,65.02,25.5,1.0,21.62337081,64.61032009,6.57085457,9.85523471,6.57887857,0.0,0.0,60.95140041523116,56.307122798397344,0.6917147032962038,0.9824981109142551,0.8,0.8,0.8,0.760522790004937,0.2688400384371877,0.00015645213525331857,4.206059805508225e-05,5332.322342076115,4.253950837227149e-08
61,6.3,65.02,25.5,1.0,22.22342238,64.38008263,6.57889845,9.79551779,6.68434753,0.0,0.0,60.46921921937732,56.11376876710757,0.6730190463200824,0.9748480180779328,0.8,0.8,0.8,0.7703325222588295,0.26173610371922595,0.0001292205352336478,3.3821679412567933e-05,5431.214116272363,3.419471752989212e-08
62,6.4,65.02,25.5,1.0,22.82172674,64.08215923,6.55151191,9.652061,6.74477029,0.0,0.0,59.964379242338396,55.83258720742272,0.6539942941390638,0.9656643549007072,0.8,0.8,0.8,0.7800014960147981,0.2549819041970625,0.00010672745010779816,2.721356845858336e-05,5530.139966463621,2.7504464730352542e-08
63,6.5,65.02,25.5,1.0,23.36725125,63.80519383,6.56840531,9.59188759,6.83654561,0.0,0.0,59.541349345770726,55.59714197236281,0.6372668353752762,0.9564342752746059,0.8,0.8,0.8,0.78885344213547,0.2490138282047899,8.814753154550651e-05,2.1949954276949056e-05,5629.0983527658145,2.2177458600631034e-08
64,6.6,65.02,25.5,1.0,23.88262029,63.50993912,6.58894818,9.53212614,6.92171088,0.0,0.0,59.14883384812935,55.34637831641019,0.6215856505237788,0.9468092685781538,0.8,0.8,0.8,0.7971922257820409,0.24357960612659657,7.279956464856383e-05,1.773248928328488e-05,5728.0878262379665,1.7910781173549038e-08
65,6.7,65.02,25.5,1.0,24.36677055,63.19997618,6.61257283,9.47328719,7.00025722,0.0,0.0,58.78701969280251,55.08407111117562,0.6069704801118564,0.9369999677755341,0.8,0.8,0.8,0.8050099593990981,0.2386499541121408,6.012117949051551e-05,1.4347916726579306e-05,5827.10702229922,1.4487924791720256e-08
66,6.8,65.02,25.5,1.0,24.79508257,62.91875673,6.68008084,9.49661926,7.11422899,0.0,0.0,58.50301701559929,54.87680531882763,0.5946212457807017,0.9280871654286872,0.8,0.8,0.8,0.8119544427323256,0.23440438654645324,4.964803187404732e-05,1.163771645467482e-05,5926.154654706727,1.174797824419818e-08
