,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
24,-90.0,120.0,15.24,10.182800915468782,10.450449322902536,6.359211679702666,4.353814927428439,2.722000394003907,1.7829243898584861,2.7220003940039067e-13,2.722000394003907e-08,2012-05-17 03:20:00+00:00
25,-90.0,125.0,15.24,10.18280091329057,10.450449321326936,6.359211678277487,4.3538149270327695,2.72200039376345,1.7829243897056346,2.72200039376345e-13,2.72200039376345e-08,2012-05-17 03:20:00+00:00
26,-90.0,130.0,15.24,10.182800917673314,10.450449320898217,6.35921167938094,4.353814925905787,2.7220003930563217,1.7829243892726232,2.722000393056322e-13,2.7220003930563216e-08,2012-05-17 03:20:00+00:00
27,-90.0,135.0,15.24,10.182800915961144,10.450449319126458,6.359211679344982,4.3538149248724585,2.7220003924322365,1.7829243888755992,2.7220003924322363e-13,2.7220003924322364e-08,2012-05-17 03:20:00+00:00
28,-90.0,140.0,15.24,10.182800908673464,10.450449312694571,6.359211674022701,4.353814922771848,2.7220003911101895,1.7829243880036212,2.7220003911101897e-13,2.7220003911101897e-08,2012-05-17 03:20:00+00:00
29,-90.0,145.0,15.24,10.182800913625915,10.450449323215,6.359211678304043,4.353814928261562,2.7220003945050175,1.7829243901569212,2.7220003945050174e-13,2.7220003945050176e-08,2012-05-17 03:20:00+00:00
30,-90.0,150.0,15.24,10.182800909758422,10.450449316031941,6.35921167601079,4.3538149244443884,2.722000392175116,1.7829243886964616,2.722000392175116e-13,2.722000392175116e-08,2012-05-17 03:20:00+00:00
31,-90.0,155.0,15.24,10.182800909816171,10.450449314135549,6.359211675556674,4.353814923088642,2.722000391298196,1.7829243881157257,2.722000391298196e-13,2.7220003912981962e-08,2012-05-17 03:20:00+00:00
32,-90.0,160.0,15.24,10.182800908736105,10.450449311021483,6.359211673408492,4.353814921730598,2.722000390447836,1.782924387571874,2.722000390447836e-13,2.722000390447836e-08,2012-05-17 03:20:00+00:00
33,-90.0,165.0,15.24,10.182800917399854,10.450449320349188,6.35921167918993,4.353814925681751,2.722000392934807,1.7829243892068036,2.722000392934807e-13,2.7220003929348068e-08,2012-05-17 03:20:00+00:00
34,-90.0,170.0,15.24,10.182800914748004,10.450449320860175,6.359211677954003,4.353814926640542,2.722000393507597,1.7829243895432731,2.7220003935075973e-13,2.7220003935075973e-08,2012-05-17 03:20:00+00:00
35,-90.0,175.0,15.24,10.182800911430622,10.450449315006757,6.3592116759239055,4.353814923528704,2.722000391589378,1.7829243883228711,2.722000391589378e-13,2.7220003915893777e-08,2012-05-17 03:20:00+00:00
36,-90.0,180.0,15.24,10.182800920137673,10.450449326834198,6.35921168223681,4.353814928914789,2.722000394924144,1.7829243904637961,2.722000394924144e-13,2.722000394924144e-08,2012-05-17 03:20:00+00:00
37,-90.0,185.0,15.24,10.182800912721609,10.45044931577414,6.359211676625195,4.353814923722946,2.7220003917147886,1.7829243884131452,2.722000391714789e-13,2.7220003917147885e-08,2012-05-17 03:20:00+00:00
38,-90.0,190.0,15.24,10.182800914059165,10.4504493193479,6.359211676973413,4.353814925947306,2.7220003930726633,1.782924389263884,2.722000393072663e-13,2.7220003930726634e-08,2012-05-17 03:20:00+00:00
39,-90.0,195.0,15.24,10.18280090082815,10.450449307107085,6.359211669335156,4.353814921051784,2.7220003900145224,1.78292438725412,2.7220003900145223e-13,2.7220003900145224e-08,2012-05-17 03:20:00+00:00
40,-90.0,200.0,15.24,10.182800919819917,10.450449324429146,6.35921168147834,4.353814927535023,2.722000394076686,1.7829243899310376,2.722000394076686e-13,2.722000394076686e-08,2012-05-17 03:20:00+00:00
41,-90.0,205.0,15.24,10.182800916143568,10.450449321580969,6.359211679453441,4.353814926542031,2.7220003934633983,1.7829243895291205,2.7220003934633984e-13,2.7220003934633984e-08,2012-05-17 03:20:00+00:00
42,-90.0,210.0,15.24,10.18280092079873,10.450449326828368,6.359211681900174,4.353814928966374,2.722000394955786,1.782924390488713,2.722000394955786e-13,2.7220003949557857e-08,2012-05-17 03:20:00+00:00
43,-90.0,215.0,15.24,10.182800910917264,10.450449315702025,6.359211676243649,4.353814923935049,2.7220003918331206,1.7829243884680042,2.7220003918331205e-13,2.7220003918331207e-08,2012-05-17 03:20:00+00:00
44,-90.0,220.0,15.24,10.182800919021126,10.450449322142232,6.359211680329988,4.353814926382057,2.7220003933650707,1.7829243894870204,2.722000393365071e-13,2.7220003933650708e-08,2012-05-17 03:20:00+00:00
45,-90.0,225.0,15.24,10.18280092267657,10.450449326328487,6.359211681875279,4.353814928484268,2.7220003946669253,1.7829243903254066,2.7220003946669255e-13,2.7220003946669253e-08,2012-05-17 03:20:00+00:00
46,-90.0,230.0,15.24,10.182800907349803,10.450449312072477,6.3592116735030215,4.353814922641085,2.722000391031805,1.7829243879475727,2.722000391031805e-13,2.722000391031805e-08,2012-05-17 03:20:00+00:00
47,-90.0,235.0,15.24,10.182800907146373,10.450449312679794,6.359211673331334,4.353814923110286,2.722000391312348,1.7829243881181245,2.722000391312348e-13,2.722000391312348e-08,2012-05-17 03:20:00+00:00
48,-90.0,240.0,15.24,10.182800914718678,10.450449319582631,6.359211677686456,4.353814925810949,2.7220003929894694,1.7829243892122817,2.7220003929894695e-13,2.7220003929894696e-08,2012-05-17 03:20:00+00:00
49,-90.0,245.0,15.24,10.18280091103007,10.450449313425544,6.3592116756579715,4.353814922509823,2.7220003909544093,1.7829243879161996,2.7220003909544093e-13,2.7220003909544094e-08,2012-05-17 03:20:00+00:00
50,-90.0,250.0,15.24,10.1828009110545,10.450449314381421,6.359211675443602,4.35381492322324,2.7220003913827684,1.7829243881787402,2.7220003913827686e-13,2.7220003913827685e-08,2012-05-17 03:20:00+00:00
51,-90.0,255.0,15.24,10.182800924997235,10.450449328782238,6.359211684319219,4.353814929264517,2.7220003951769214,1.7829243906720096,2.7220003951769214e-13,2.7220003951769216e-08,2012-05-17 03:20:00+00:00
52,-90.0,260.0,15.24,10.182800906162347,10.450449310545723,6.359211672821507,4.35381492187466,2.722000390549813,1.782924387629956,2.722000390549813e-13,2.722000390549813e-08,2012-05-17 03:20:00+00:00
53,-90.0,265.0,15.24,10.182800921143347,10.450449326641067,6.359211682327714,4.353814928751647,2.722000394851488,1.7829243904478467,2.722000394851488e-13,2.722000394851488e-08,2012-05-17 03:20:00+00:00
54,-90.0,270.0,15.24,10.182800909378987,10.450449313489019,6.359211674305436,4.353814923142605,2.7220003913308513,1.7829243881365524,2.722000391330851e-13,2.7220003913308513e-08,2012-05-17 03:20:00+00:00
55,-90.0,275.0,15.24,10.182800915816381,10.450449322062923,6.359211679234644,4.353814926984951,2.7220003937328485,1.782924389698323,2.7220003937328486e-13,2.7220003937328485e-08,2012-05-17 03:20:00+00:00
56,-90.0,280.0,15.24,10.182800905981038,10.450449310012804,6.359211672945081,4.353814921411797,2.722000390251984,1.7829243874364507,2.7220003902519843e-13,2.722000390251984e-08,2012-05-17 03:20:00+00:00
57,-90.0,285.0,15.24,10.182800914572011,10.45044931727336,6.359211677780703,4.353814924256384,2.722000392056615,1.7829243886413948,2.7220003920566153e-13,2.7220003920566153e-08,2012-05-17 03:20:00+00:00
58,-90.0,290.0,15.24,10.182800922273595,10.450449326363293,6.359211682745255,4.353814928260715,2.7220003945315563,1.7829243902376601,2.7220003945315565e-13,2.7220003945315562e-08,2012-05-17 03:20:00+00:00
59,-90.0,295.0,15.24,10.182800904140233,10.450449307336184,6.359211671495665,4.353814920201697,2.722000389500894,1.7829243869516407,2.7220003895008943e-13,2.7220003895008942e-08,2012-05-17 03:20:00+00:00
60,-90.0,300.0,15.24,10.182800912710468,10.45044931915467,6.359211676948566,4.353814925886495,2.722000393018077,1.7829243892055282,2.7220003930180775e-13,2.722000393018077e-08,2012-05-17 03:20:00+00:00
61,-90.0,305.0,15.24,10.18280091082038,10.45044931508798,6.359211675579134,4.353814923697325,2.7220003916768327,1.7829243883632082,2.7220003916768327e-13,2.722000391676833e-08,2012-05-17 03:20:00+00:00
62,-90.0,310.0,15.24,10.182800910073778,10.450449313434703,6.359211674899894,4.3538149227904475,2.722000391105984,1.7829243879933383,2.722000391105984e-13,2.722000391105984e-08,2012-05-17 03:20:00+00:00
63,-90.0,315.0,15.24,10.182800920420393,10.450449326373567,6.35921168169693,4.353814928770819,2.7220003948412925,1.7829243904176937,2.722000394841293e-13,2.7220003948412927e-08,2012-05-17 03:20:00+00:00
64,-90.0,320.0,15.24,10.182800919093427,10.450449325217463,6.359211681329034,4.3538149282034375,2.7220003944902627,1.7829243901899519,2.7220003944902626e-13,2.7220003944902627e-08,2012-05-17 03:20:00+00:00
65,-90.0,325.0,15.24,10.182800907035912,10.4504493133718,6.359211673794317,4.353814923413857,2.722000391494465,1.7829243882259926,2.7220003914944647e-13,2.722000391494465e-08,2012-05-17 03:20:00+00:00
66,-90.0,330.0,15.24,10.182800918263903,10.450449324971252,6.359211680394056,4.353814928427073,2.722000394626977,1.782924390273866,2.722000394626977e-13,2.7220003946269768e-08,2012-05-17 03:20:00+00:00
