,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
2468,80.0,100.0,11.89,8.707430092563897,10.073127681276858,5.421840976657486,4.626742576956145,2.945551374971605,1.967087764864018,2.945551374971605e-13,2.9455513749716048e-08,100.0,1.0603984949897778,0.00010603984949897777
2469,80.0,105.0,11.89,8.7322469319303,10.08719861571706,5.43463336096809,4.630502012860119,2.948096502026607,1.969053011296888,2.9480965020266075e-13,2.9480965020266074e-08,105.0,1.0613147407295787,0.00010613147407295787
2470,80.0,110.0,11.89,8.78042270955517,10.129281332966334,5.462150641082028,4.647308397030609,2.9589377299001054,1.976540828780458,2.958937729900105e-13,2.958937729900105e-08,110.0,1.0652175827640378,0.00010652175827640379
2471,80.0,115.0,11.89,8.84846668445052,10.195162634949027,5.502196509706795,4.675196301646828,2.9768265616213228,1.9887218360820653,2.976826561621323e-13,2.9768265616213227e-08,115.0,1.0716575621836764,0.00010716575621836762
2472,80.0,120.0,11.89,8.931814085322143,10.279565280800442,5.551924967965267,4.711740081711164,3.000218591187861,2.004564461739116,3.0002185911878614e-13,3.0002185911878616e-08,120.0,1.08007869282763,0.00010800786928276301
2473,80.0,125.0,11.89,9.026687458882408,10.377994125244415,5.60898400087592,4.754857881922772,3.027789640125419,2.0231866984123177,3.027789640125419e-13,3.027789640125419e-08,125.0,1.090004270445151,0.0001090004270445151
2474,80.0,130.0,11.89,9.12816620530638,10.484621541200031,5.670272796135141,4.801848292316396,3.0578208030278318,2.0434422417613494,3.0578208030278316e-13,3.0578208030278315e-08,130.0,1.1008154890900193,0.00011008154890900193
2475,80.0,135.0,11.89,9.232109871134703,10.594653439340094,5.7332359041822745,4.850504121059461,3.088908716603111,2.064396348689957,3.088908716603111e-13,3.0889087166031114e-08,135.0,1.11200713797712,0.00011120071379771201
2476,80.0,140.0,11.89,9.334502290214937,10.703416556961727,5.795350450730387,4.89867629576215,3.1196842647407914,2.0851336357712995,3.1196842647407915e-13,3.1196842647407915e-08,140.0,1.123086335306685,0.0001123086335306685
2477,80.0,145.0,11.89,9.432339355577563,10.807522459923904,5.8547332889903165,4.944821916035312,3.1491620023366114,2.1049912624920544,3.1491620023366117e-13,3.149162002336612e-08,145.0,1.1336983208411802,0.00011336983208411803
2478,80.0,150.0,11.89,9.52339213350594,10.904459163348948,5.910037657172395,4.987796795403005,3.1766149579096092,2.123485462786529,3.1766149579096096e-13,3.176614957909609e-08,150.0,1.1435813848474594,0.00011435813848474592
2479,80.0,155.0,11.89,9.60606037971888,10.99244585164798,5.96025386442044,5.02679952055857,3.2015317122828257,2.1402727877964884,3.201531712282826e-13,3.201531712282826e-08,155.0,1.1525514164218174,0.00011525514164218173
2480,80.0,160.0,11.89,9.679536993917246,11.07062480768194,6.0048880256948145,5.061449842898126,3.223668691635999,2.1551883191007484,3.2236686916359993e-13,3.223668691635999e-08,160.0,1.1605207289889596,0.00011605207289889596
2481,80.0,165.0,11.89,9.743274303209581,11.138408684564467,6.04359646396016,5.091485470859292,3.242858468407964,2.168119340884414,3.242858468407965e-13,3.242858468407964e-08,165.0,1.1674290486268675,0.0001167429048626867
2482,80.0,170.0,11.89,9.798032469506529,11.196845442078002,6.076883463531792,5.117420994166676,3.259425512883759,2.1792780269633565,3.2594255128837594e-13,3.259425512883759e-08,170.0,1.1733931846381533,0.00011733931846381532
2483,80.0,175.0,11.89,9.844355488159504,11.246535454317776,6.10508708611837,5.139526346923246,3.2735428148092534,2.188781468708733,3.273542814809253e-13,3.273542814809253e-08,175.0,1.1784754133313313,0.00011784754133313312
2484,80.0,180.0,11.89,9.88347434104292,11.288958290039174,6.128962655884491,5.158489107079978,3.2856461462736704,2.19691765726182,3.2856461462736707e-13,3.2856461462736704e-08,180.0,1.1828326126585214,0.00011828326126585214
2485,80.0,185.0,11.89,9.915945539372366,11.3246617804264,6.148842981936077,5.174543444846465,3.295885984093992,2.2037893632777084,3.295885984093992e-13,3.295885984093992e-08,-175.0,1.186518954273837,0.0001186518954273837
2486,80.0,190.0,11.89,9.942584477290984,11.354477246926487,6.16522478266723,5.188051246873524,3.3044943156461275,2.2095541561237306,3.3044943156461277e-13,3.304494315646127e-08,-170.0,1.189617953632606,0.00011896179536326058
2487,80.0,195.0,11.89,9.963984957588778,11.379005759843961,6.178461487105721,5.199272946186124,3.3116379454534597,2.214325148961872,3.3116379454534597e-13,3.31163794545346e-08,-165.0,1.1921896603632456,0.00011921896603632455
2488,80.0,200.0,11.89,9.980438634108094,11.398377935002234,6.188712489188311,5.208230562983832,3.3173337363092825,2.2181182416463296,3.317333736309282e-13,3.317333736309282e-08,-160.0,1.1942401450713416,0.00011942401450713416
2489,80.0,205.0,11.89,9.991644803751544,11.412060466971196,6.195759078774521,5.214645562342668,3.3214066325897873,2.2208203909034574,3.321406632589787e-13,3.3214066325897875e-08,-155.0,1.1957063877323235,0.00011957063877323236
2490,80.0,210.0,11.89,9.99692997297019,11.419089956407163,6.199166898447422,5.218041366765047,3.3235560797904444,2.2222353731217104,3.3235560797904446e-13,3.3235560797904447e-08,-150.0,1.1964801887245602,0.00011964801887245601
2491,80.0,215.0,11.89,9.995172829273054,11.417960249810971,6.198201698728367,5.217688097642752,3.3233191961792103,2.222057316679128,3.3233191961792103e-13,3.32331919617921e-08,-145.0,1.1963949106245158,0.00011963949106245156
2492,80.0,220.0,11.89,9.984681749759861,11.406719447920002,6.191812421412555,5.212690527369134,3.32012668575279,2.2199070105543135,3.3201266857527894e-13,3.3201266857527897e-08,-140.0,1.195245606871004,0.00011952456068710043
2493,80.0,225.0,11.89,9.963879183446434,11.38357285457073,6.179012774443668,5.2022295736931605,3.3134560924619176,2.215434064924547,3.3134560924619185e-13,3.3134560924619184e-08,-135.0,1.1928441932862905,0.00011928441932862906
2494,80.0,230.0,11.89,9.930107981558644,11.345161002283035,6.15811446311163,5.184709815265162,3.302295509738982,2.2079688124729198,3.302295509738982e-13,3.3022955097389816e-08,-130.0,1.1888263835060335,0.00011888263835060334
2495,80.0,235.0,11.89,9.883862045086719,11.292726745632073,6.129524338100869,5.160826164061451,3.2870786794588405,2.197786600768169,3.2870786794588407e-13,3.28707867945884e-08,-125.0,1.1833483246051828,0.00011833483246051824
2496,80.0,240.0,11.89,9.822763943066771,11.223586762853994,6.091757643668632,5.129354981727973,3.267025646155824,2.184365186696653,3.2670256461558245e-13,3.267025646155824e-08,-120.0,1.1761292326160968,0.00011761292326160967
2497,80.0,245.0,11.89,9.74754931720824,11.13913232284035,6.045352287562822,5.0910384113650275,3.242602432407716,2.168004747841959,3.242602432407716e-13,3.2426024324077164e-08,-115.0,1.1673368756667777,0.0001167336875666778
2498,80.0,250.0,11.89,9.660804288612049,11.04243615785644,5.9919056013850085,5.047299139183729,3.2147118102408565,2.1493040942801995,3.2147118102408565e-13,3.214711810240857e-08,-110.0,1.1572962516867082,0.00011572962516867085
2499,80.0,255.0,11.89,9.564058781901663,10.93630121031114,5.9325655133736745,4.999615421700642,3.1842840647710235,2.1288653518079896,3.1842840647710235e-13,3.184284064771024e-08,-105.0,1.1463422633175684,0.00011463422633175686
2500,80.0,260.0,11.89,9.46145804302733,10.825953118291526,5.869915569421033,4.950463520774028,3.1528903041499534,2.1077284668854883,3.1528903041499536e-13,3.1528903041499535e-08,-100.0,1.1350405094939833,0.00011350405094939832
2501,80.0,265.0,11.89,9.358117224658631,10.717387966264768,5.807200806678418,4.902614344928855,3.12229195691777,2.087066620198538,3.12229195691777e-13,3.1222919569177704e-08,-95.0,1.1240251044903973,0.00011240251044903974
2502,80.0,270.0,11.89,9.258818808303417,10.616796868740598,5.747503765726171,4.8590346870560275,3.094372895468851,2.0681287137403674,3.094372895468851e-13,3.0943728954688514e-08,-90.0,1.1139742423687864,0.00011139742423687865
2503,80.0,275.0,11.89,9.170564728952094,10.532215140697309,5.695145674999436,4.823398048689761,3.0714717563119662,2.0524756293069353,3.071471756311966e-13,3.0714717563119666e-08,-85.0,1.105729832272308,0.00011057298322723079
2504,80.0,280.0,11.89,9.097229326958447,10.468101531297432,5.652565519062328,4.797758502514912,3.054895518274583,2.0409803365401613,3.054895518274583e-13,3.0548955182745836e-08,-80.0,1.09976238657885,0.000109976238657885
2505,80.0,285.0,11.89,9.043434107571986,10.429531664724381,5.62265917826663,4.784388574320287,3.0460988499854325,2.034625973851141,3.046098849985432e-13,3.0460988499854325e-08,-75.0,1.0965955859947556,0.00010965955859947557
2506,80.0,290.0,11.89,9.013362899407555,10.420910479285654,5.6079402278875135,4.785227541869552,3.046320643773582,2.034246062255486,3.0463206437735826e-13,3.046320643773582e-08,-70.0,1.0966754317584897,0.00010966754317584895
2507,80.0,295.0,11.89,9.006928741321449,10.44118316947443,5.608234991710932,4.799637196489194,3.0551691910629257,2.0396041463736085,3.0551691910629253e-13,3.055169191062925e-08,-65.0,1.099860908782653,0.00010998609087826531
2508,80.0,300.0,11.89,9.026753670806047,10.493115987855564,5.62516729332981,4.828824082230932,3.0734150969735397,2.0512186097409337,3.0734150969735395e-13,3.07341509697354e-08,-60.0,1.1064294349104742,0.00011064294349104744
