,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
30,-90.0,150.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,150.0,1.974397510492362,0.00019743975104923622
31,-90.0,155.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,155.0,1.974397510492362,0.00019743975104923622
32,-90.0,160.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,160.0,1.974397510492362,0.00019743975104923622
33,-90.0,165.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,165.0,1.974397510492362,0.00019743975104923622
34,-90.0,170.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,170.0,1.974397510492362,0.00019743975104923622
35,-90.0,175.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,175.0,1.974397510492362,0.00019743975104923622
36,-90.0,180.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,180.0,1.974397510492362,0.00019743975104923622
37,-90.0,185.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-175.0,1.974397510492362,0.00019743975104923622
38,-90.0,190.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-170.0,1.974397510492362,0.00019743975104923622
39,-90.0,195.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-165.0,1.974397510492362,0.00019743975104923622
40,-90.0,200.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-160.0,1.974397510492362,0.00019743975104923622
41,-90.0,205.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-155.0,1.974397510492362,0.00019743975104923622
42,-90.0,210.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-150.0,1.974397510492362,0.00019743975104923622
43,-90.0,215.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-145.0,1.974397510492362,0.00019743975104923622
44,-90.0,220.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-140.0,1.974397510492362,0.00019743975104923622
45,-90.0,225.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-135.0,1.974397510492362,0.00019743975104923622
46,-90.0,230.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-130.0,1.974397510492362,0.00019743975104923622
47,-90.0,235.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-125.0,1.974397510492362,0.00019743975104923622
48,-90.0,240.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-120.0,1.974397510492362,0.00019743975104923622
49,-90.0,245.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-115.0,1.974397510492362,0.00019743975104923622
50,-90.0,250.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-110.0,1.974397510492362,0.00019743975104923622
51,-90.0,255.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-105.0,1.974397510492362,0.00019743975104923622
52,-90.0,260.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-100.0,1.974397510492362,0.00019743975104923622
53,-90.0,265.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-95.0,1.974397510492362,0.00019743975104923622
54,-90.0,270.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-90.0,1.974397510492362,0.00019743975104923622
55,-90.0,275.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-85.0,1.974397510492362,0.00019743975104923622
56,-90.0,280.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-80.0,1.974397510492362,0.00019743975104923622
57,-90.0,285.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-75.0,1.974397510492362,0.00019743975104923622
58,-90.0,290.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-70.0,1.974397510492362,0.00019743975104923622
59,-90.0,295.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-65.0,1.974397510492362,0.00019743975104923622
60,-90.0,300.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-60.0,1.974397510492362,0.00019743975104923622
61,-90.0,305.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-55.0,1.974397510492362,0.00019743975104923622
62,-90.0,310.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-50.0,1.974397510492362,0.00019743975104923622
63,-90.0,315.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-45.0,1.974397510492362,0.00019743975104923622
64,-90.0,320.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-40.0,1.974397510492362,0.00019743975104923622
65,-90.0,325.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-35.0,1.974397510492362,0.00019743975104923622
66,-90.0,330.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-30.0,1.974397510492362,0.00019743975104923622
67,-90.0,335.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-25.0,1.974397510492362,0.00019743975104923622
68,-90.0,340.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-20.0,1.974397510492362,0.00019743975104923622
69,-90.0,345.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-15.0,1.974397510492362,0.00019743975104923622
70,-90.0,350.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-10.0,1.974397510492362,0.00019743975104923622
71,-90.0,355.0,11.89,16.699601478439572,18.90609953980368,10.326807244996235,8.607669977437105,5.48443752914545,3.6703474454893255,5.48443752914545e-13,5.48443752914545e-08,-5.0,1.974397510492362,0.00019743975104923622
72,-85.0,0.0,11.89,16.699601478505432,18.90609953986813,10.326807245034876,8.607669977464512,5.484437529163017,3.6703474455012643,5.484437529163018e-13,5.4844375291630176e-08,0.0,1.9743975104986866,0.00019743975104986864
73,-85.0,5.0,11.89,16.69960147857,18.906099539938683,10.326807245074397,8.607669977496155,5.484437529183208,3.670347445514827,5.484437529183208e-13,5.4844375291832075e-08,5.0,1.974397510505955,0.00019743975105059546
74,-85.0,10.0,11.89,16.69960147863066,18.906099540004895,10.326807245111512,8.607669977525834,5.484437529202147,3.6703474455275495,5.484437529202146e-13,5.484437529202146e-08,10.0,1.9743975105127725,0.00019743975105127726
75,-85.0,15.0,11.89,16.699601478686986,18.906099540066247,10.326807245145938,8.607669977553309,5.4844375292196785,3.6703474455393295,5.484437529219679e-13,5.484437529219679e-08,15.0,1.9743975105190843,0.00019743975105190843
76,-85.0,20.0,11.89,16.699601478738956,18.90609954012257,10.326807245177612,8.607669977578478,5.484437529235744,3.670347445550129,5.484437529235744e-13,5.484437529235744e-08,20.0,1.9743975105248681,0.0001974397510524868
77,-85.0,25.0,11.89,16.69960147878618,18.906099540173447,10.326807245206302,8.607669977601152,5.484437529250218,3.6703474455598637,5.484437529250219e-13,5.484437529250218e-08,25.0,1.9743975105300788,0.00019743975105300784
78,-85.0,30.0,11.89,16.699601478828324,18.906099540218488,10.326807245231821,8.607669977621155,5.4844375292629906,3.670347445568461,5.48443752926299e-13,5.484437529262991e-08,30.0,1.9743975105346763,0.00019743975105346767
79,-85.0,35.0,11.89,16.699601478865908,18.906099540258076,10.326807245254455,8.607669977638622,5.484437529274149,3.6703474455759824,5.484437529274149e-13,5.484437529274149e-08,35.0,1.9743975105386935,0.00019743975105386937
80,-85.0,40.0,11.89,16.699601478899485,18.906099540292665,10.326807245274534,8.60766997765373,5.484437529283808,3.670347445582506,5.484437529283808e-13,5.484437529283807e-08,40.0,1.974397510542171,0.00019743975105421705
81,-85.0,45.0,11.89,16.69960147892877,18.906099540322018,10.326807245291894,8.607669977666388,5.484437529291909,3.670347445587993,5.484437529291909e-13,5.484437529291909e-08,45.0,1.9743975105450873,0.00019743975105450872
82,-85.0,50.0,11.89,16.69960147895433,18.90609954034675,10.326807245306885,8.607669977676865,5.4844375292986225,3.670347445592558,5.484437529298624e-13,5.4844375292986236e-08,50.0,1.9743975105475047,0.00019743975105475045
83,-85.0,55.0,11.89,16.699601478976227,18.906099540366988,10.326807245319563,8.607669977685234,5.484437529303998,3.670347445596231,5.484437529303998e-13,5.484437529303998e-08,55.0,1.9743975105494393,0.00019743975105494392
84,-85.0,60.0,11.89,16.699601478994065,18.90609954038255,10.326807245329741,8.607669977691453,5.484437529308006,3.6703474455989937,5.484437529308007e-13,5.484437529308006e-08,60.0,1.9743975105508824,0.0001974397510550882
85,-85.0,65.0,11.89,16.699601479008855,18.906099540394628,10.326807245338067,8.607669977696075,5.484437529311,3.6703474456010823,5.484437529311e-13,5.4844375293109996e-08,65.0,1.9743975105519602,0.00019743975105519597
86,-85.0,70.0,11.89,16.69960147902,18.906099540402707,10.326807245344217,8.607669977698894,5.484437529312846,3.6703474456024043,5.484437529312847e-13,5.484437529312847e-08,70.0,1.9743975105526248,0.0001974397510552625
87,-85.0,75.0,11.89,16.699601479027418,18.90609954040676,10.326807245348142,8.607669977699922,5.484437529313552,3.670347445602962,5.484437529313552e-13,5.484437529313553e-08,75.0,1.9743975105528788,0.0001974397510552879
88,-85.0,80.0,11.89,16.699601479031898,18.906099540407762,10.32680724535034,8.607669977699615,5.484437529313406,3.6703474456029483,5.484437529313407e-13,5.4844375293134064e-08,80.0,1.9743975105528264,0.00019743975105528263
89,-85.0,85.0,11.89,16.699601479033635,18.906099540405854,10.326807245350917,8.607669977698022,5.4844375293124425,3.6703474456023852,5.484437529312441e-13,5.484437529312442e-08,85.0,1.974397510552479,0.0001974397510552479
