,,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
3,0,90.0,0.0,0.0,0.00703488901321846,0.009916838288155457,0.0008359528815553819,0.00489070467577845,0.00288249422416188,0.0018609594261726407,2.8824942241618797e-16,2.8824942241618798e-11,2012-05-17 02:10:00+00:00
3,1,90.0,0.0,2.0,0.04870297205596949,0.06704774941282748,0.014860455094671505,0.033150890884647524,0.020994765199574265,0.013722542503869086,2.0994765199574265e-15,2.0994765199574265e-10,2012-05-17 02:10:00+00:00
3,2,90.0,0.0,5.0,0.5255533493448648,0.6977217105710343,0.3149118627889166,0.34311438253062165,0.22123122208555143,0.14771025645060845,2.2123122208555144e-14,2.212312220855514e-09,2012-05-17 02:10:00+00:00
3,3,90.0,0.0,12.0,18.616808111724875,20.410728486858297,11.6927246654682,9.139755078446948,5.837174561814976,3.9144807211989336,5.837174561814976e-13,5.837174561814976e-08,2012-05-17 02:10:00+00:00
3,4,90.0,0.0,20.0,253.11667634895144,153.94513138196652,143.34814768042241,37.40416469159851,22.853734227513783,14.957479311314913,2.2853734227513785e-12,2.2853734227513785e-07,2012-05-17 02:10:00+00:00
4,0,90.0,0.0,0.0,0.006427940050601568,0.009063328570256612,0.0007612784799146164,0.0044703771757218435,0.0026307708586925443,0.0016984320548740057,2.630770858692544e-16,2.6307708586925444e-11,2012-05-17 02:15:00+00:00
4,1,90.0,0.0,2.0,0.044653675455992546,0.06159566758292908,0.013391666695604536,0.03045676586813128,0.019270294899504537,0.012577908279805228,1.9270294899504538e-15,1.9270294899504538e-10,2012-05-17 02:15:00+00:00
4,2,90.0,0.0,5.0,0.48377647073092034,0.6436274437557933,0.2877564318797948,0.3166504689441158,0.20410700310931618,0.13617700453374126,2.041070031093162e-14,2.041070031093162e-09,2012-05-17 02:15:00+00:00
4,3,90.0,0.0,12.0,17.15798898739314,18.983936023152463,10.818197682848194,8.533793797389158,5.448598969833563,3.6503345149311035,5.448598969833563e-13,5.4485989698335634e-08,2012-05-17 02:15:00+00:00
4,4,90.0,0.0,20.0,239.4864100357667,146.48495363568117,137.02883904260497,35.48877301850864,21.67156834791526,14.163566913280402,2.1671568347915264e-12,2.1671568347915262e-07,2012-05-17 02:15:00+00:00
